seqnames,start,end,peak,cell_type,peak_access,gene,gene_score,gene_cell_type_rank,gene_name,common_name,og,pfam,gene_list,min_gene_score_in_selected_cell_types
NC_064047.1,989863,990113,peak101721,muscle_tentacle_retractor,17.5136940832028,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,990487,990737,peak101722,muscle_tentacle_retractor,20.3341049908082,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,1008275,1008525,peak101731,muscle_tentacle_retractor,9.28944815142643,Nvec_vc1.1_XM_032382277.2,1.33469082391701,5,Tex56,"","",DUF4523,"",1.33469082391701
NC_064047.1,1402471,1402721,peak101910,muscle_tentacle_retractor,19.2671154762715,Nvec_vc1.1_XM_001638660.3,2.29339066926864,1,Hunk,"","",Pkinase,"",1.41277174036485
NC_064047.1,1402838,1403088,peak101911,muscle_tentacle_retractor,14.4011881255532,Nvec_vc1.1_XM_001638660.3,2.29339066926864,1,Hunk,"","",Pkinase,"",1.41277174036485
NC_064047.1,1402838,1403088,peak101911,muscle_tentacle_retractor,14.4011881255532,Nvec_vc1.1_XM_001638660.3,2.29339066926864,1,Hunk,"","",Pkinase,"",1.41277174036485
NC_064047.1,2142094,2142344,peak102265,muscle_tentacle_retractor,13.6650694491727,Nvec_vc1.1_XM_032363613.2,1.31928628299005,2,"","","",COLFI,"",1.31928628299005
NC_064047.1,2142094,2142344,peak102265,muscle_tentacle_retractor,13.6650694491727,Nvec_vc1.1_XM_032363613.2,1.31928628299005,2,"","","",COLFI,"",1.31928628299005
NC_064047.1,3948938,3949187,peak103008,muscle_tentacle_retractor,5.63826853680125,Nvec_vc1.1_XM_032386548.2,1.27149640338868,10,"","","","","",1.27149640338868
NC_064047.1,3948938,3949187,peak103008,muscle_tentacle_retractor,5.63826853680125,Nvec_vc1.1_XM_032386548.2,1.27149640338868,10,"","","","","",1.27149640338868
NC_064047.1,3949180,3949430,peak103009,muscle_tentacle_retractor,5.21087526383877,Nvec_vc1.1_XM_032386548.2,1.27149640338868,10,"","","","","",1.27149640338868
NC_064047.1,3949180,3949430,peak103009,muscle_tentacle_retractor,5.21087526383877,Nvec_vc1.1_XM_032386548.2,1.27149640338868,10,"","","","","",1.27149640338868
NC_064047.1,3949180,3949430,peak103009,muscle_tentacle_retractor,5.21087526383877,Nvec_vc1.1_XM_032386548.2,1.27149640338868,10,"","","","","",1.27149640338868
NC_064047.1,3955294,3955544,peak103014,muscle_tentacle_retractor,13.7163052359229,Nvec_vc1.1_XM_032386548.2,1.27149640338868,10,"","","","","",1.27149640338868
NC_064047.1,5818161,5818411,peak103841,muscle_tentacle_retractor,9.58135596105399,Nvec_vc1.1_XM_048721841.1,3.45288090143142,2,Chrng/Chrne,"","",Neur_chan_LBD/Neur_chan_memb,"",3.45288090143142
NC_064047.1,5906306,5906556,peak103873,muscle_tentacle_retractor,20.9212313610676,Nvec_vc1.1_XM_001634083.3,1.85222652298015,1,Nsun3,"","",Methyltr_RsmB-F,"",1.85222652298015
NC_064047.1,6465645,6465895,peak104161,muscle_tentacle_retractor,45.4717777626472,Nvec_vc1.1_XM_032373519.2,4.5472775622048,1,Eva1c,"","",Gal_Lectin,"",2.3409214964647
NC_064047.1,6465645,6465895,peak104161,muscle_tentacle_retractor,45.4717777626472,Nvec_vc1.1_XM_032373519.2,4.5472775622048,1,Eva1c,"","",Gal_Lectin,"",2.3409214964647
NC_064047.1,6466724,6466974,peak104163,muscle_tentacle_retractor,9.56163614080479,Nvec_vc1.1_XM_032373519.2,4.5472775622048,1,Eva1c,"","",Gal_Lectin,"",2.3409214964647
NC_064047.1,6468380,6468630,peak104164,muscle_tentacle_retractor,6.03257132157691,Nvec_vc1.1_XM_032373519.2,4.5472775622048,1,Eva1c,"","",Gal_Lectin,"",2.3409214964647
NC_064047.1,6468757,6469007,peak104165,muscle_tentacle_retractor,26.1466688227684,Nvec_vc1.1_XM_032373519.2,4.5472775622048,1,Eva1c,"","",Gal_Lectin,"",2.3409214964647
NC_064047.1,6475785,6476035,peak104166,muscle_tentacle_retractor,33.5494399809355,Nvec_vc1.1_XM_032373519.2,4.5472775622048,1,Eva1c,"","",Gal_Lectin,"",2.3409214964647
NC_064047.1,6475785,6476035,peak104166,muscle_tentacle_retractor,33.5494399809355,Nvec_vc1.1_XM_032373519.2,4.5472775622048,1,Eva1c,"","",Gal_Lectin,"",2.3409214964647
NC_064047.1,6476074,6476324,peak104167,muscle_tentacle_retractor,19.887119561517,Nvec_vc1.1_XM_032373519.2,4.5472775622048,1,Eva1c,"","",Gal_Lectin,"",2.3409214964647
NC_064047.1,6935960,6936210,peak104388,muscle_tentacle_retractor,7.50728535439504,Nvec_vc1.1_XM_001636088.2,7.71661332376344,2,"","","",CH/Calponin,"",7.71661332376344
NC_064047.1,6937596,6937846,peak104390,muscle_tentacle_retractor,4.79714203036699,Nvec_vc1.1_XM_001636088.2,7.71661332376344,2,"","","",CH/Calponin,"",7.71661332376344
NC_064047.1,6937886,6938136,peak104391,muscle_tentacle_retractor,32.3953666507796,Nvec_vc1.1_XM_001636088.2,7.71661332376344,2,"","","",CH/Calponin,"",7.71661332376344
NC_064047.1,6938403,6938653,peak104392,muscle_tentacle_retractor,9.26874106352557,Nvec_vc1.1_XM_001636088.2,7.71661332376344,2,"","","",CH/Calponin,"",7.71661332376344
NC_064047.1,6944289,6944539,peak104395,muscle_tentacle_retractor,13.3319176823041,Nvec_vc1.1_XM_001636088.2,7.71661332376344,2,"","","",CH/Calponin,"",7.71661332376344
NC_064047.1,6945753,6946003,peak104396,muscle_tentacle_retractor,13.2121008374753,Nvec_vc1.1_XM_001636088.2,7.71661332376344,2,"","","",CH/Calponin,"",7.71661332376344
NC_064047.1,7718782,7719032,peak104581,muscle_tentacle_retractor,5.80054640157963,Nvec_vc1.1_XM_001630721.3,2.17181462646827,2,Mpc1,"","",MPC,"",2.17181462646827
NC_064047.1,7726621,7726871,peak104585,muscle_tentacle_retractor,5.45544529175461,Nvec_vc1.1_XM_001630721.3,2.17181462646827,2,Mpc1,"","",MPC,"",2.17181462646827
NC_064047.1,7726621,7726871,peak104585,muscle_tentacle_retractor,5.45544529175461,Nvec_vc1.1_XM_001630721.3,2.17181462646827,2,Mpc1,"","",MPC,"",2.17181462646827
NC_064047.1,7726621,7726871,peak104585,muscle_tentacle_retractor,5.45544529175461,Nvec_vc1.1_XM_001630721.3,2.17181462646827,2,Mpc1,"","",MPC,"",2.17181462646827
NC_064047.1,7726621,7726871,peak104585,muscle_tentacle_retractor,5.45544529175461,Nvec_vc1.1_XM_001630721.3,2.17181462646827,2,Mpc1,"","",MPC,"",2.17181462646827
NC_064047.1,7818836,7819086,peak104636,muscle_tentacle_retractor,12.403545652618,Nvec_vc1.1_XM_048721981.1,2.75095654176176,2,"","","",OATP/Kazal_2,"",2.75095654176176
NC_064047.1,9482811,9483061,peak105345,muscle_tentacle_retractor,10.7394719820249,Nvec_vc1.1_XM_001630326.3,2.07157612054026,2,Vmn2r4/Casr/Vmn2r128/Vmn2r1/Vmn2r7/Gprc6a/Vmn2r3/Vmn2r5/Vmn2r2/Vmn2r56/Vmn2r53/Tas1r2/Vmn2r54/Tas1r1,"","",ANF_receptor/NCD3G/7tm_3,"",2.07157612054026
NC_064047.1,9482811,9483061,peak105345,muscle_tentacle_retractor,10.7394719820249,Nvec_vc1.1_XM_001630326.3,2.07157612054026,2,Vmn2r4/Casr/Vmn2r128/Vmn2r1/Vmn2r7/Gprc6a/Vmn2r3/Vmn2r5/Vmn2r2/Vmn2r56/Vmn2r53/Tas1r2/Vmn2r54/Tas1r1,"","",ANF_receptor/NCD3G/7tm_3,"",2.07157612054026
NC_064047.1,9483968,9484218,peak105346,muscle_tentacle_retractor,28.3553142234629,Nvec_vc1.1_XM_001630326.3,2.07157612054026,2,Vmn2r4/Casr/Vmn2r128/Vmn2r1/Vmn2r7/Gprc6a/Vmn2r3/Vmn2r5/Vmn2r2/Vmn2r56/Vmn2r53/Tas1r2/Vmn2r54/Tas1r1,"","",ANF_receptor/NCD3G/7tm_3,"",2.07157612054026
NC_064047.1,9483968,9484218,peak105346,muscle_tentacle_retractor,28.3553142234629,Nvec_vc1.1_XM_001630326.3,2.07157612054026,2,Vmn2r4/Casr/Vmn2r128/Vmn2r1/Vmn2r7/Gprc6a/Vmn2r3/Vmn2r5/Vmn2r2/Vmn2r56/Vmn2r53/Tas1r2/Vmn2r54/Tas1r1,"","",ANF_receptor/NCD3G/7tm_3,"",2.07157612054026
NC_064047.1,9508247,9508497,peak105356,muscle_tentacle_retractor,10.8397817798053,Nvec_vc1.1_XM_032378953.2,1.42243217498339,3,"","","",MACPF/F5_F8_type_C,"",1.42243217498339
NC_064047.1,9735760,9736010,peak105442,muscle_tentacle_retractor,16.0688108531354,Nvec_vc1.1_XM_001630764.3,3.738980576048,1,"","","",CH,"",3.55669577906379
NC_064047.1,9737454,9737704,peak105443,muscle_tentacle_retractor,10.7281098931027,Nvec_vc1.1_XM_001630764.3,3.738980576048,1,"","","",CH,"",3.55669577906379
NC_064047.1,9740574,9740824,peak105448,muscle_tentacle_retractor,15.3929921018588,Nvec_vc1.1_XM_001630764.3,3.738980576048,1,"","","",CH,"",3.55669577906379
NC_064047.1,9767109,9767359,peak105466,muscle_tentacle_retractor,47.2276588139171,Nvec_vc1.1_XM_032379490.1,2.28192668174944,2,"","","","","",1.23331811035095
NC_064047.1,10021437,10021687,peak105647,muscle_tentacle_retractor,10.7066878872472,Nvec_vc1.1_XM_032379452.2,1.65367041910838,2,Gm1527/Arhgap20/1700006A11Rik/Tagap,"","",RhoGEF/RA/RhoGAP,"",1.4675657840936
NC_064047.1,10022080,10022330,peak105648,muscle_tentacle_retractor,18.5119238101723,Nvec_vc1.1_XM_032379452.2,1.65367041910838,2,Gm1527/Arhgap20/1700006A11Rik/Tagap,"","",RhoGEF/RA/RhoGAP,"",1.4675657840936
NC_064047.1,10022365,10022614,peak105649,muscle_tentacle_retractor,8.9338615782665,Nvec_vc1.1_XM_032379452.2,1.65367041910838,2,Gm1527/Arhgap20/1700006A11Rik/Tagap,"","",RhoGEF/RA/RhoGAP,"",1.4675657840936
NC_064047.1,10022365,10022614,peak105649,muscle_tentacle_retractor,8.9338615782665,Nvec_vc1.1_XM_032379452.2,1.65367041910838,2,Gm1527/Arhgap20/1700006A11Rik/Tagap,"","",RhoGEF/RA/RhoGAP,"",1.4675657840936
NC_064047.1,10024026,10024276,peak105654,muscle_tentacle_retractor,9.26606863212365,Nvec_vc1.1_XM_032379452.2,1.65367041910838,2,Gm1527/Arhgap20/1700006A11Rik/Tagap,"","",RhoGEF/RA/RhoGAP,"",1.4675657840936
NC_064047.1,10260890,10261140,peak105761,muscle_tentacle_retractor,8.02473275685981,Nvec_vc1.1_XM_001630782.3,1.70317449755637,7,Pon2/Pon3/Pon1,"","",Arylesterase,"",1.70317449755637
NC_064047.1,10261358,10261608,peak105762,muscle_tentacle_retractor,17.6305916797168,Nvec_vc1.1_XM_001630782.3,1.70317449755637,7,Pon2/Pon3/Pon1,"","",Arylesterase,"",1.70317449755637
NC_064047.1,10261358,10261608,peak105762,muscle_tentacle_retractor,17.6305916797168,Nvec_vc1.1_XM_001630782.3,1.70317449755637,7,Pon2/Pon3/Pon1,"","",Arylesterase,"",1.70317449755637
NC_064035.1,2222996,2223246,peak10580,muscle_tentacle_retractor,14.5223411860829,Nvec_vc1.1_XM_001635572.3,1.25875726594537,2,Plekhg3/Plekhg1/Plekhg2,"","",RhoGEF,"",1.25875726594537
NC_064047.1,11232559,11232809,peak106213,muscle_tentacle_retractor,11.0931521073058,Nvec_vc1.1_XM_048721357.1,2.94205512322087,2,"","","","","",2.94205512322087
NC_064047.1,11232559,11232809,peak106213,muscle_tentacle_retractor,11.0931521073058,Nvec_vc1.1_XM_048721357.1,2.94205512322087,2,"","","","","",2.94205512322087
NC_064047.1,11407660,11407910,peak106278,muscle_tentacle_retractor,6.04881868318922,Nvec_vc1.1_XM_048721807.1,1.44072051674745,8,"","","",DSL/VWA,"",1.44072051674745
NC_064047.1,11408172,11408422,peak106279,muscle_tentacle_retractor,12.5720024511473,Nvec_vc1.1_XM_048721807.1,1.44072051674745,8,"","","",DSL/VWA,"",1.44072051674745
NC_064035.1,2466396,2466646,peak10701,muscle_tentacle_retractor,9.15842241438006,Nvec_vc1.1_XM_032385290.2,1.46846414337642,5,"","","",Collagen/Collagen,"",1.46846414337642
NC_064035.1,2467833,2468083,peak10704,muscle_tentacle_retractor,4.87887247225438,Nvec_vc1.1_XM_032385290.2,1.46846414337642,5,"","","",Collagen/Collagen,"",1.46846414337642
NC_064048.1,762742,762991,peak107424,muscle_tentacle_retractor,6.64151120038129,Nvec_vc1.1_XM_048722879.1,1.2171437524695,6,Cat,"","",Catalase/Catalase-rel,"",1.2171437524695
NC_064048.1,762742,762991,peak107424,muscle_tentacle_retractor,6.64151120038129,Nvec_vc1.1_XM_048722879.1,1.2171437524695,6,Cat,"","",Catalase/Catalase-rel,"",1.2171437524695
NC_064048.1,990295,990545,peak107530,muscle_tentacle_retractor,37.8384115203922,Nvec_vc1.1_XM_001633669.3,1.95611777869271,2,"","","",7tm_1,"",1.95611777869271
NC_064048.1,993076,993326,peak107536,muscle_tentacle_retractor,8.60395247497787,Nvec_vc1.1_XM_001633669.3,1.95611777869271,2,"","","",7tm_1,"",1.95611777869271
NC_064048.1,1438784,1439034,peak107714,muscle_tentacle_retractor,16.473054401852,Nvec_vc1.1_XM_048722499.1,1.3437339715346,8,"","","",EF-hand_8/EF-hand_8,"",1.3437339715346
NC_064048.1,1730687,1730937,peak107863,muscle_tentacle_retractor,12.4162950228093,Nvec_v1g147549,1.55761637244099,3,"","","","","",1.40116912623155
NC_064048.1,1730687,1730937,peak107863,muscle_tentacle_retractor,12.4162950228093,Nvec_v1g147549,1.55761637244099,3,"","","","","",1.40116912623155
NC_064048.1,2695165,2695415,peak108319,muscle_tentacle_retractor,6.42887417443998,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2698368,2698618,peak108321,muscle_tentacle_retractor,16.3171001566011,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2698633,2698883,peak108322,muscle_tentacle_retractor,14.7972611833594,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2699117,2699367,peak108323,muscle_tentacle_retractor,11.5271243276367,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2700957,2701207,peak108324,muscle_tentacle_retractor,21.2744518962348,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2701836,2702086,peak108326,muscle_tentacle_retractor,18.3401051950705,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2702540,2702790,peak108327,muscle_tentacle_retractor,27.5014043031252,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2709285,2709535,peak108335,muscle_tentacle_retractor,55.3592718049976,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2709592,2709842,peak108336,muscle_tentacle_retractor,12.9137502553278,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2709988,2710238,peak108337,muscle_tentacle_retractor,5.23291856744059,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2711009,2711259,peak108338,muscle_tentacle_retractor,18.9864080479336,Nvec_vc1.1_XM_048722353.1,5.21590620569774,1,"","","",BTB_2/Ion_trans,"",4.22220072444973
NC_064048.1,2749007,2749257,peak108352,muscle_tentacle_retractor,18.7778903111595,Nvec_NVE883,1.49190593950389,3,"","","","","",1.49190593950389
NC_064048.1,2749007,2749257,peak108352,muscle_tentacle_retractor,18.7778903111595,Nvec_NVE883,1.49190593950389,3,"","","","","",1.49190593950389
NC_064048.1,2749007,2749257,peak108352,muscle_tentacle_retractor,18.7778903111595,Nvec_NVE883,1.49190593950389,3,"","","","","",1.49190593950389
NC_064048.1,2749007,2749257,peak108352,muscle_tentacle_retractor,18.7778903111595,Nvec_NVE883,1.49190593950389,3,"","","","","",1.49190593950389
NC_064048.1,2750164,2750414,peak108355,muscle_tentacle_retractor,9.76590692449105,Nvec_NVE883,1.49190593950389,3,"","","","","",1.49190593950389
NC_064048.1,2750164,2750414,peak108355,muscle_tentacle_retractor,9.76590692449105,Nvec_NVE883,1.49190593950389,3,"","","","","",1.49190593950389
NC_064048.1,2750164,2750414,peak108355,muscle_tentacle_retractor,9.76590692449105,Nvec_NVE883,1.49190593950389,3,"","","","","",1.49190593950389
NC_064048.1,4013964,4014214,peak108891,muscle_tentacle_retractor,32.2051048546334,Nvec_vc1.1_XM_048722584.1,2.23607394101926,2,"","","",PRKG1_interact,"",2.23607394101926
NC_064048.1,4015339,4015589,peak108895,muscle_tentacle_retractor,20.6764996255192,Nvec_vc1.1_XM_048722584.1,2.23607394101926,2,"","","",PRKG1_interact,"",2.23607394101926
NC_064048.1,4039477,4039727,peak108915,muscle_tentacle_retractor,7.49555729556751,Nvec_vc1.1_XM_032385376.2,6.7604608701523,2,Kctd15/Kctd1/Kctd1,"","",BTB_2,"",6.7604608701523
NC_064034.1,836971,837221,peak109,muscle_tentacle_retractor,9.95873902090284,Nvec_vc1.1_XM_032374184.2,1.46973124217785,4,Frrs1,"","",Reeler/DOMON/DOMON/Cytochrom_B561,"",1.46973124217785
NC_064048.1,4265733,4265983,peak109037,muscle_tentacle_retractor,12.3349901273235,Nvec_vc1.1_XM_032385438.2,2.09685260453474,1,"","","",BTB_2,"",1.66701294339827
NC_064048.1,4270783,4271033,peak109042,muscle_tentacle_retractor,24.8265387757881,Nvec_vc1.1_XM_032385438.2,2.09685260453474,1,"","","",BTB_2,"",1.66701294339827
NC_064048.1,4619945,4620195,peak109234,muscle_tentacle_retractor,15.3999199972765,Nvec_vc1.1_XM_032378192.2,5.43739874592969,1,"","","",C2/C2,"",3.2557659496394
NC_064048.1,4624054,4624304,peak109241,muscle_tentacle_retractor,28.0264349424661,Nvec_vc1.1_XM_032378192.2,5.43739874592969,1,"","","",C2/C2,"",3.2557659496394
NC_064048.1,4624054,4624304,peak109241,muscle_tentacle_retractor,28.0264349424661,Nvec_vc1.1_XM_032378192.2,5.43739874592969,1,"","","",C2/C2,"",3.2557659496394
NC_064048.1,5493032,5493282,peak109641,muscle_tentacle_retractor,10.4035882072581,Nvec_vc1.1_XM_001642034.3,1.42741872965172,4,"","","",7tm_1,"",1.42741872965172
NC_064048.1,5809276,5809526,peak109816,muscle_tentacle_retractor,5.23845067066113,Nvec_vc1.1_XM_001631720.3,1.63059163864278,4,"","","",SNF,"",1.21214055384221
NC_064048.1,5809276,5809526,peak109816,muscle_tentacle_retractor,5.23845067066113,Nvec_vc1.1_XM_001631720.3,1.63059163864278,4,"","","",SNF,"",1.21214055384221
NC_064048.1,5817788,5818038,peak109824,muscle_tentacle_retractor,26.9425682576428,Nvec_vc1.1_XM_001631720.3,1.63059163864278,4,"","","",SNF,"",1.21214055384221
NC_064048.1,5817788,5818038,peak109824,muscle_tentacle_retractor,26.9425682576428,Nvec_vc1.1_XM_001631720.3,1.63059163864278,4,"","","",SNF,"",1.21214055384221
NC_064048.1,5818347,5818597,peak109825,muscle_tentacle_retractor,17.0612957036835,Nvec_vc1.1_XM_001631720.3,1.63059163864278,4,"","","",SNF,"",1.21214055384221
