motif_name	source	TF_Name	cluster
M08708_2.00	CisBP_I	Nvec_vc1.1_XM_032366646.2	2727
M09767_2.00	CisBP_I	Nvec_vc1.1_XM_032366646.2	3076
M03595_2.00	CisBP_I	Nvec_vc1.1_XM_032379775.2	1379
M05937_2.00	CisBP_I	Nvec_vc1.1_XM_032379775.2	2317
M01751_2.00	CisBP_I	Nvec_vc1.1_XM_032372025.2	846
M02787_2.00	CisBP_I	Nvec_vc1.1_XM_032372025.2	965
M04124_2.00	CisBP_I	Nvec_vc1.1_XM_032372025.2	1600
M04125_2.00	CisBP_I	Nvec_vc1.1_XM_032372025.2	1601
M08725_2.00	CisBP_I	Nvec_vc1.1_XM_032372025.2	2731
M08776_2.00	CisBP_I	Nvec_vc1.1_XM_032372025.2	2731
M09478_2.00	CisBP_I	Nvec_vc1.1_XM_032372025.2	188
M01718_2.00	CisBP_I	Nvec_vc1.1_XM_032384433.2	845
M03605_2.00	CisBP_I	Nvec_vc1.1_XM_032384433.2	1380
M03606_2.00	CisBP_I	Nvec_vc1.1_XM_032384433.2	1381
M05955_2.00	CisBP_I	Nvec_vc1.1_XM_032384433.2	2318
M05956_2.00	CisBP_I	Nvec_vc1.1_XM_032384433.2	2319
M07538_2.00	CisBP_I	Nvec_vc1.1_XM_032384433.2	2319
M08052_2.00	CisBP_I	Nvec_vc1.1_XM_032384433.2	2617
M08722_2.00	CisBP_I	Nvec_vc1.1_XM_032384433.2	2730
M08766_2.00	CisBP_I	Nvec_vc1.1_XM_032384433.2	2730
M09657_2.00	CisBP_I	Nvec_vc1.1_XM_032384433.2	3058
M00121_2.00	CisBP_I	Nvec_vc1.1_XM_048721183.1	590
M00122_2.00	CisBP_I	Nvec_vc1.1_XM_048721183.1	590
M00938_2.00	CisBP_I	Nvec_vc1.1_XM_048721183.1	810
M01753_2.00	CisBP_I	Nvec_vc1.1_XM_048721183.1	590
M08778_2.00	CisBP_I	Nvec_vc1.1_XM_048721183.1	2733
M08763_2.00	CisBP_I	Nvec_vc1.1_XM_032363017.2	2729
M03620_2.00	CisBP_I	Nvec_vc1.1_XM_032385496.2	1382
M04156_2.00	CisBP_I	Nvec_vc1.1_XM_032385496.2	1604
M04157_2.00	CisBP_I	Nvec_vc1.1_XM_032385496.2	1605
M05990_2.00	CisBP_I	Nvec_vc1.1_XM_032385496.2	2320
M05991_2.00	CisBP_I	Nvec_vc1.1_XM_032385496.2	2321
M08736_2.00	CisBP_I	Nvec_vc1.1_XM_032385496.2	2732
M08757_2.00	CisBP_I	Nvec_vc1.1_XM_032385496.2	2732
M09470_2.00	CisBP_I	Nvec_vc1.1_XM_032385496.2	2989
M01815_2.00	CisBP_I	Nvec_vc1.1_XM_048728399.1	854
M02729_2.00	CisBP_I	Nvec_vc1.1_XM_048728399.1	951
M02824_2.00	CisBP_I	Nvec_vc1.1_XM_048728399.1	969
M04009_2.00	CisBP_I	Nvec_vc1.1_XM_048728399.1	1574
M04227_2.00	CisBP_I	Nvec_vc1.1_XM_048728399.1	1616
M04228_2.00	CisBP_I	Nvec_vc1.1_XM_048728399.1	1616
M08783_2.00	CisBP_I	Nvec_vc1.1_XM_048728399.1	2734
M08836_2.00	CisBP_I	Nvec_vc1.1_XM_048728399.1	2734
M00123_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	591
M00123_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	591
M00126_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	593
M00126_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	593
M01814_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	853
M01814_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	853
M02854_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	983
M02854_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	983
M02855_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	984
M02855_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	984
M02855_2.00	CisBP_N	Nvec_vc1.1_XM_032384300.2	984
M02856_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	985
M02856_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	985
M02856_2.00	CisBP_N	Nvec_vc1.1_XM_032384300.2	985
M02857_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	984
M02857_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	984
M02857_2.00	CisBP_N	Nvec_vc1.1_XM_032384300.2	984
M02858_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	986
M02858_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	986
M02858_2.00	CisBP_N	Nvec_vc1.1_XM_032384300.2	986
M02869_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	989
M02869_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	989
M02870_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	990
M02870_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	990
M02871_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	991
M02871_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	991
M04039_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1591
M04039_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1591
M04040_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1592
M04040_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1592
M04343_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1669
M04343_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1669
M04344_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1669
M04344_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1669
M04345_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1670
M04345_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1670
M04346_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	985
M04346_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	985
M04347_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1671
M04347_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1671
M04348_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1672
M04348_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1672
M04349_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1673
M04349_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1673
M04350_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1674
M04350_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1674
M04351_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1675
M04351_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1675
M04352_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1676
M04352_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1676
M04353_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1677
M04353_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1677
M04354_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1676
M04354_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1676
M04355_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1677
M04355_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1677
M04356_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1678
M04356_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1678
M04365_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1679
M04365_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1679
M04366_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1680
M04366_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1680
M04367_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1681
M04367_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1681
M04368_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1682
M04368_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1682
M04369_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1683
M04369_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1683
M04370_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1684
M04370_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1684
M04371_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1685
M04371_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1685
M04372_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1686
M04372_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1686
M04373_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1685
M04373_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1685
M04374_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	1687
M04374_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	1687
M07840_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2559
M07840_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2559
M07840_2.00	CisBP_N	Nvec_vc1.1_XM_032384300.2	2559
M07841_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2560
M07841_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2560
M07841_2.00	CisBP_N	Nvec_vc1.1_XM_032384300.2	2560
M08075_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2622
M08075_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2622
M08075_2.00	CisBP_N	Nvec_vc1.1_XM_032384300.2	2622
M08807_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2744
M08807_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2744
M08809_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2745
M08809_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2745
M08810_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2746
M08810_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2746
M08810_2.00	CisBP_N	Nvec_vc1.1_XM_032384300.2	2746
M08811_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2747
M08811_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2747
M08817_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2748
M08817_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2748
M08835_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2745
M08835_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2745
M08839_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2744
M08839_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2744
M08847_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2747
M08847_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2747
M09491_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2991
M09491_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2991
M09497_2.00	CisBP_I	Nvec_vc1.1_XM_001628737.3	2992
M09497_2.00	CisBP_I	Nvec_vc1.1_XM_032376926.2	2992
M00757_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	775
M01802_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	847
M02730_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	952
M02825_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	970
M02826_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	971
M04010_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	1575
M04011_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	970
M04012_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	1576
M04231_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	1619
M04232_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	1620
M04233_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	1621
M04234_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	1622
M08818_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	2749
M09932_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	3083
M09933_2.00	CisBP_I	Nvec_vc1.1_XM_001629694.3	3084
M01805_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	849
M04035_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	1589
M04036_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	1590
M04333_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	1663
M04334_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	1664
M04335_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	1665
M04336_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	1666
M04337_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	1667
M04338_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	1668
M07833_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	2558
M08071_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	2621
M08805_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	2743
M08821_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	2743
M09490_2.00	CisBP_I	Nvec_vc1.1_XM_001633273.3	405
M03648_2.00	CisBP_I	Nvec_vc1.1_XM_048730161.1	1388
M00124_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	592
M00991_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	811
M00992_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	812
M01804_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	848
M01806_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	850
M01821_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	855
M03659_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1390
M03660_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1391
M04022_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1582
M04023_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1583
M04229_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1617
M04230_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1618
M04258_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1617
M04259_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1629
M04260_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1630
M04261_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1631
M04262_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1632
M04263_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1633
M04264_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1620
M04265_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	1632
M08066_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	2619
M08784_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	2735
M08791_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	2738
M08792_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	2739
M08820_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	2751
M08824_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	2738
M08845_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	2735
M09485_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	2990
M09948_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	3088
M09949_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	3089
M09952_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	3090
M09953_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	3090
M09954_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	3091
M09955_2.00	CisBP_I	Nvec_vc1.1_XM_001633393.3	3092
M04293_2.00	CisBP_I	Nvec_vc1.1_XM_001631543.3	1647
M04293_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1647
M04294_2.00	CisBP_I	Nvec_vc1.1_XM_001631543.3	1648
M04294_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1648
M04295_2.00	CisBP_I	Nvec_vc1.1_XM_001631543.3	1649
M04295_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1649
M04296_2.00	CisBP_I	Nvec_vc1.1_XM_001631543.3	1650
M04296_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1650
M04297_2.00	CisBP_I	Nvec_vc1.1_XM_001631543.3	1651
M04297_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1651
M04298_2.00	CisBP_I	Nvec_vc1.1_XM_001631543.3	1652
M04298_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1652
M01812_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	852
M02842_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	976
M02842_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	976
M02843_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	977
M02843_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	977
M02844_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	978
M02844_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	978
M02845_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	979
M02845_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	979
M02846_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	980
M02846_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	980
M02847_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	981
M02847_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	981
M02863_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	987
M02864_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	988
M03639_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1383
M03640_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1384
M03641_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	980
M04029_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1585
M04029_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1585
M04030_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1586
M04030_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1586
M04031_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1587
M04031_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1587
M04309_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1653
M04309_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1653
M04310_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1654
M04310_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1654
M04311_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	977
M04311_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	977
M04312_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1655
M04312_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1655
M04313_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	980
M04313_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	980
M04314_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1656
M04314_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1656
M04315_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1654
M04315_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1654
M04316_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1657
M04316_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1657
M04317_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1658
M04317_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1658
M04318_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1659
M04318_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1659
M04319_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1660
M04319_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1660
M04320_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	1661
M04320_2.00	CisBP_N	Nvec_vc1.1_XM_048723046.1	1661
M06020_2.00	CisBP_I	Nvec_vc1.1_XM_032378881.2	2323
M01809_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	851
M04272_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	1634
M04273_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	1635
M04327_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	1634
M04328_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	1662
M07826_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	2555
M07827_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	2556
M07828_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	2557
M08069_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	2620
M08795_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	2740
M08802_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	2742
M08814_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	2740
M08819_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	2750
M08828_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	2752
M09494_2.00	CisBP_I	Nvec_vc1.1_XM_001631093.3	394
M03649_2.00	CisBP_I	Nvec_vc1.1_XM_001638266.3	1389
M02872_2.00	CisBP_I	Nvec_vc1.1_XM_032383907.2	975
M04382_2.00	CisBP_I	Nvec_vc1.1_XM_032383907.2	1640
M04383_2.00	CisBP_I	Nvec_vc1.1_XM_032383907.2	1688
M09499_2.00	CisBP_I	Nvec_vc1.1_XM_032383907.2	174
M02898_2.00	CisBP_I	Nvec_vc1.1_XM_001634132.3	1001
M02898_2.00	CisBP_I	Nvec_vc1.1_XM_032384447.2	1001
M02898_2.00	CisBP_I	Nvec_vc1.1_XM_032384450.2	1001
M02898_2.00	CisBP_I	Nvec_vc1.1_XM_032384420.2	1001
M03682_2.00	CisBP_I	Nvec_vc1.1_XM_001634132.3	1395
M03682_2.00	CisBP_I	Nvec_vc1.1_XM_032384447.2	1395
M03682_2.00	CisBP_I	Nvec_vc1.1_XM_032384450.2	1395
M03682_2.00	CisBP_I	Nvec_vc1.1_XM_032384420.2	1395
M04517_2.00	CisBP_I	Nvec_vc1.1_XM_001634132.3	1727
M04517_2.00	CisBP_I	Nvec_vc1.1_XM_032384447.2	1727
M04517_2.00	CisBP_I	Nvec_vc1.1_XM_032384450.2	1727
M04517_2.00	CisBP_I	Nvec_vc1.1_XM_032384420.2	1727
M04518_2.00	CisBP_I	Nvec_vc1.1_XM_001634132.3	1727
M04518_2.00	CisBP_I	Nvec_vc1.1_XM_032384447.2	1727
M04518_2.00	CisBP_I	Nvec_vc1.1_XM_032384450.2	1727
M04518_2.00	CisBP_I	Nvec_vc1.1_XM_032384420.2	1727
M04645_2.00	CisBP_I	Nvec_vc1.1_XM_001634132.3	1727
M04645_2.00	CisBP_I	Nvec_vc1.1_XM_032384447.2	1727
M04645_2.00	CisBP_I	Nvec_vc1.1_XM_032384450.2	1727
M04645_2.00	CisBP_I	Nvec_vc1.1_XM_032384420.2	1727
M04646_2.00	CisBP_I	Nvec_vc1.1_XM_001634132.3	1737
M04646_2.00	CisBP_I	Nvec_vc1.1_XM_032384447.2	1737
M04646_2.00	CisBP_I	Nvec_vc1.1_XM_032384450.2	1737
M04646_2.00	CisBP_I	Nvec_vc1.1_XM_032384420.2	1737
M06117_2.00	CisBP_I	Nvec_vc1.1_XM_001634132.3	2336
M06117_2.00	CisBP_I	Nvec_vc1.1_XM_032384447.2	2336
M06117_2.00	CisBP_I	Nvec_vc1.1_XM_032384450.2	2336
M06117_2.00	CisBP_I	Nvec_vc1.1_XM_032384420.2	2336
M06118_2.00	CisBP_I	Nvec_vc1.1_XM_001634132.3	2288
M06118_2.00	CisBP_I	Nvec_vc1.1_XM_032384447.2	2288
M06118_2.00	CisBP_I	Nvec_vc1.1_XM_032384450.2	2288
M06118_2.00	CisBP_I	Nvec_vc1.1_XM_032384420.2	2288
M09016_2.00	CisBP_I	Nvec_vc1.1_XM_001634132.3	2780
M09016_2.00	CisBP_I	Nvec_vc1.1_XM_032384447.2	2780
M09016_2.00	CisBP_I	Nvec_vc1.1_XM_032384450.2	2780
M09016_2.00	CisBP_I	Nvec_vc1.1_XM_032384420.2	2780
M00134_2.00	CisBP_I	Nvec_vc1.1_XM_032381586.2	595
M00134_2.00	CisBP_I	Nvec_vc1.1_XM_032367802.2	595
M00134_2.00	CisBP_I	Nvec_vc1.1_XM_032381562.2	595
M00134_2.00	CisBP_I	Nvec_vc1.1_XM_032369437.2	595
M00224_2.00	CisBP_I	Nvec_vc1.1_XM_032381586.2	636
M00224_2.00	CisBP_I	Nvec_vc1.1_XM_032369437.2	636
M00226_2.00	CisBP_I	Nvec_vc1.1_XM_032381586.2	637
M00226_2.00	CisBP_I	Nvec_vc1.1_XM_032369437.2	637
M00779_2.00	CisBP_I	Nvec_vc1.1_XM_032381586.2	782
M00779_2.00	CisBP_I	Nvec_vc1.1_XM_032381562.2	782
