gene	cell_type	rank	mcfp	umi	total_umi	max_chromvar	gene_name	common_name	og	pfam
Nvec_vc1.1_XM_001623084.3	mesendoderm.embryonic	9	7.24462141672929	5974	6191	33.6498259698524	Six4/Six5	Six4/5	Homeodomains.HG3.24:SIX4/SIX5	SIX1_SD/Homeodomain
Nvec_vc1.1_XM_001623127.3	ectoderm.embryonic	5196	1.43804457859338	346	880	38.2612138184835	""	""	Forkhead.HG1.31:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead
Nvec_vc1.1_XM_001623467.3	ectoderm.embryonic	494	3.0664219407229	6028	18572	13.1290732271121	""	""	bZIP.HG1.12:CREBZF	bZIP_2
Nvec_vc1.1_XM_001623946.3	mesendoderm.embryonic	22	4.91348939174213	5348	5861	12.8780611172771	Hesx1	""	Homeodomains.HG2.11:DUX4/DUXA/DUXB	Homeodomain
Nvec_vc1.1_XM_001624046.3	gland.mucous	3779	1.01744870757023	3	38	46.8303314141251	""	""	Forkhead.HG1.33:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead
Nvec_vc1.1_XM_001624560.3	neuronal	4329	1.02079398694251	1	20	18.2879836639089	""	""	Homeodomains.HG2.3:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	PAX/Homeodomain
Nvec_vc1.1_XM_001624689.3	ectoderm.embryonic	2680	1.83809626513984	638	1685	21.4042424734261	Foxm1	""	Forkhead.HG1.26:FOXM1	Forkhead
Nvec_vc1.1_XM_001624716.3	ectoderm.embryonic	302	3.53647922254151	4435	8028	14.3096801987755	""	NvSox1	HMGbox_Sox.HG1.35:SOX1/SOX2/SOX3/SOX14/SOX21	HMG_box/SOXp
Nvec_vc1.1_XM_001624941.3	ectoderm.embryonic	12005	1.02912224303523	28	101	25.4409574967633	Prdm14	""	zf-C2H2.HG19.1:PRDM14	zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001625109.3	ectoderm.embryonic.aboral	13	4.58803722589933	19737	28541	27.0773362389995	Six3/Six6	Six3/6	Homeodomains.HG3.30:SIX3/SIX6	SIX1_SD/Homeodomain
Nvec_vc1.1_XM_001625118.3	mesendoderm.embryonic	6238	1.04266666354752	21	46	16.8031559731923	""	""	HSF.HG1.0:like:HSF1/HSF2/HSF4/HSF5/HSFX1/HSFX2/HSFX3/HSFX4/HSFY1/HSFY2	HSF_DNA-bind
Nvec_vc1.1_XM_001625254.3	ectoderm.embryonic	864	2.63638538223304	3324	10163	10.7652884742336	Ubtfl1/Ubtf	""	HMGbox_Sox.HG1.55:TFAM/UBTFL1	HMG_box/HMG_box
Nvec_vc1.1_XM_001625437.3	ectoderm.embryonic	2028	2.03069408835827	1173	3917	9.65564869076928	""	""	Myb.HG2.3:NA	MADF_DNA_bdg
Nvec_vc1.1_XM_001625588.3	ectoderm.epidermis	133	4.55169932035245	164	1227	19.2640980723428	Runx3/Runx2/Runx1	""	Runt_Runx.HG1.0:RUNX1/RUNX2/RUNX3	Runt
Nvec_vc1.1_XM_001625700.3	ectoderm.embryonic	1784	2.11423747479971	1461	4424		Nrf1	""	NRF1.HG1.2:NRF1	Nrf1_DNA-bind/Nrf1_activ_bdg
Nvec_vc1.1_XM_001625754.3	neuronal	3086	1.06328484268928	3	36	34.9282483831211	""	""	Homeodomains.HG2.6:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	Homeodomain
Nvec_vc1.1_XM_001625768.3	neuronal	2586	1.09733565646129	5	14	34.1402462869433	""	""	Homeodomains.HG1.5:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	Homeodomain
Nvec_vc1.1_XM_001625950.3	ectoderm.embryonic.oral	859	1.01277438129745	10	14	8.28850199327314	Foxc2/Foxc1	FoxC	Forkhead.HG1.10:FOXC1/FOXC2	Forkhead
Nvec_vc1.1_XM_001625997.3	ectoderm.embryonic	12647	1.02020429383925	13	46	23.5960155574248	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_001625998.3	mesendoderm.embryonic	990	1.34226148950191	185	220	10.0405762488443	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_001626351.3	ectoderm.embryonic	6147	1.34451090480197	311	952		Mterf3	""	mTERF.HG1.1:MTERF1/MTERF2	mTERF
Nvec_vc1.1_XM_001626717.3	neuronal	3311	1.05206847894828	6	82	24.2253526059629	""	""	T-box.HG1.4:like:EOMES/TBR1/TBX19/TBX21/TBXT	T-box
Nvec_vc1.1_XM_001627049.3	ectoderm.embryonic	4214	1.55966844862939	839	2689	5.4674283356393	""	""	HLH.HG1.19:HELT	HLH/Hairy_orange
Nvec_vc1.1_XM_001627072.3	mesendoderm.embryonic	6260	1.04230551102384	20	20	9.98400540218806	""	""	Forkhead.HG1.17:like:FOXI1/FOXI2/FOXI3/FOXL3	Forkhead
Nvec_vc1.1_XM_001627136.3	mesendoderm.embryonic	2010	1.20900632565766	105	109	32.9850142245647	Tbx10/Tbx1	Tbx1/10-2	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box
Nvec_vc1.1_XM_001627361.3	ectoderm.embryonic	3941	1.59889990779723	665	2101	5.42875851168303	Zfp523/Zfp143	""	zf-C2H2.HG74.0:NA	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001627423.3	ectoderm.embryonic	7725	1.21288510678822	463	1754	38.2519096788986	Cic	""	HMGbox_Sox.HG1.10:BBX	HMG_box
Nvec_vc1.1_XM_001627629.3	ectoderm.epidermis	6173	1.02807951679617	2	82	42.4760178725007	""	""	Forkhead.HG1.30:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead
Nvec_vc1.1_XM_001627662.3	ectoderm.embryonic	451	3.14762671673691	2811	7202	7.12220085785571	/E2f4	""	E2F_TDP.HG1.3:E2F4/E2F5	E2F_TDP/E2F_CC-MB
Nvec_vc1.1_XM_001627792.3	ectoderm.epidermis	499	2.20475070392571	234	11303	22.6071430375486	Foxn4/Foxn1	""	Forkhead.HG1.12:FOXN1/FOXN4/FOXR1/FOXR2	Forkhead
Nvec_vc1.1_XM_001627907.3	ectoderm.embryonic	5497	1.40623636584699	371	843	12.3872050415531	""	""	zf-C2H2.HG1.8:ZNF18/ZNF513/ZNF784/ZSCAN4/ZSCAN5A/ZSCAN5B	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001628045.2	cnidocyte	2964	1.04148123779239	15	106	10.3257841854187	Mtf1	""	zf-C2H2.HG2.4:MTF1/ZNF76/ZNF143	zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001628087.3	neuronal	19	9.55694891192992	553	1786	8.66595437302781	""	""	Doublesex_DM.HG1.12:DMRTA1/DMRTA2/DMRTB1	DM/DMA
Nvec_vc1.1_XM_001628279.3	NPC	252	1.65584051491415	237	698	48.9269689263133	Atoh8	""	HLH.HG1.76:ATOH8	HLH
Nvec_vc1.1_XM_001628318.3	ectoderm.embryonic	5934	1.3638943422591	789	2859	19.2922570287475	""	""	Myb.HG2.2:NA	MADF_DNA_bdg
Nvec_vc1.1_XM_001628319.3	ectoderm.embryonic	1949	2.05530456392074	1006	2778	15.130648135547	Foxj3	""	Forkhead.HG1.25:FOXJ2/FOXJ3	Forkhead
Nvec_vc1.1_XM_001628481.3	ectoderm.epidermis	105	5.37737607368884	250	725	23.4945578279853	""	""	Homeodomains.HG1.72:like:NOTO	Homeodomain
Nvec_vc1.1_XM_001628634.3	ectoderm.epidermis	2557	1.20437787131236	9	210	46.7158485322728	Pax7/Pax3	""	Homeodomains.HG2.28:PAX3/PAX7	PAX/Homeodomain
Nvec_vc1.1_XM_001628645.3	mesendoderm.embryonic	1912	1.21823147182501	108	123	12.7395250597619	""	""	zf-C2H2.HG1.88:MYNN	zf-C2H2/zf-C2H2/zf-C2H2/zf-H2C2_2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001628705.3	ectoderm.embryonic	2416	1.90571201327704	866	2670	13.8241675767085	""	""	zf-C2H2.HG1.119:PRDM4	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001628892.3	mesendoderm.embryonic	5131	1.06716161638837	88	379		""	""	Pipsqueak.HG1.0:NA	HTH_psq/HTH_psq/HTH_psq/HTH_psq/HTH_psq/DDE_1
Nvec_vc1.1_XM_001628946.3	ectoderm.embryonic	4964	1.46347599164288	1328	4816	15.4898665949373	Atf6/Atf6b	""	bZIP.HG1.19:ATF6/ATF6B	bZIP_1
Nvec_vc1.1_XM_001628964.3	ectoderm.embryonic	5976	1.36033992329939	333	1072	21.575212012406	Foxk2/Foxk1	""	Forkhead.HG1.23:FOXK1/FOXK2	FHA/Forkhead
Nvec_vc1.1_XM_001628971.3	ectoderm.embryonic	10976	1.0531350314506	45	116	13.4509550955951	Zfp691	""	zf-C2H2.HG1.87:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	zf-met/zf-C2H2/zf-C2H2_4/zf-C2H2/zf-met/zf-C2H2_4/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_6
Nvec_vc1.1_XM_001629480.3	ectoderm.embryonic	891	2.61316661586933	2390	6955	8.67648949782365	Arnt/Arnt2	""	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1	HLH/PAS/PAS_11
Nvec_vc1.1_XM_001629572.3	ectoderm.embryonic	8080	1.18995577567065	296	1034	18.0336099747593	Ubp1/Tfcp2/Tfcp2l1	""	Grainyhead_LSF.HG1.0:TFCP2/TFCP2L1/UBP1	CP2/SAM_3
Nvec_vc1.1_XM_001629605.3	ectoderm.embryonic	2637	1.84857794492967	1338	4502	17.1788051762556	""	""	SMAD_MH1.HG1.2:like:SMAD4	MH1/MH1/zf-HC5HC2H_2/PHD/PHD
Nvec_vc1.1_XM_001629694.3	ectoderm.epidermis	321	2.73795950549923	411	14809	30.8688347636136	Xbp1	XBP1	bZIP.HG1.16:XBP1	bZIP_1
Nvec_vc1.1_XM_001629958.3	ectoderm.epidermis	988	1.63127053486726	47	2299		Tsc22d4/Tsc22d2/Tsc22d1	""	TSC22.HG1.0:TSC22D1/TSC22D2/TSC22D3/TSC22D4	TSC22
Nvec_vc1.1_XM_001629987.3	ectoderm.epidermis	19	16.4477707122083	768	2383	8.84497396912385	""	NvSoxE1	HMGbox_Sox.HG1.42:SOX8/SOX9/SOX10	Sox_N/HMG_box
Nvec_vc1.1_XM_001630131.3	ectoderm.epidermis	1233	1.50064757364791	60	4331	12.252105884135	Arid4a/Arid4b	""	ARID_BRIGHT.HG1.2:ARID4A/ARID4B	RBB1NT/ARID/Tudor-knot
Nvec_vc1.1_XM_001630333.3	ectoderm.embryonic	5541	1.40177205482892	714	2683	13.9063019787174	Cdc5lrt1/Cdc5lrt10/Cdc5lrt9/Cdc5lrt7/Cdc5lrt4/Cdc5l/Cdc5lrt8/Cdc5lrt6/Cdc5lrt5	""	Myb.HG1.0:CDC5L	Myb_DNA-bind_6/Myb_Cef
Nvec_vc1.1_XM_001630336.3	neuronal	787	1.47461509774637	30	64		""	""	zf-C4_Nuclear_receptors.HG1.40:NR2E1	zf-C4/Hormone_recep
Nvec_vc1.1_XM_001630356.3	ectoderm.embryonic	5618	1.39417612808587	304	550	10.3767525039068	Zglp1	""	GATA.HG1.4:ZGLP1	GATA
Nvec_vc1.1_XM_001630363.3	ectoderm.epidermis	159	4.00061210705786	150	1717	29.5215441189718	Foxo1/Foxo6/Foxo3/Foxo4	""	Forkhead.HG1.29:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead/FOXO-TAD
Nvec_vc1.1_XM_001630559.3	ectoderm.epidermis	1919	1.30071265014325	12	97	0	Zfp687	""	zf-C2H2.HG19.0:ZNF496	zf-C2H2/zf-C2H2_4/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
Nvec_vc1.1_XM_001631093.3	cnidocyte	2681	1.05191441403096	14	61	24.224550704308	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1
Nvec_vc1.1_XM_001631173.3	neuronal	3	27.2969620531048	2335	3419	23.0817730083898	Vsx1/Vsx2	""	Homeodomains.HG2.62:VSX1/VSX2	Homeodomain
Nvec_vc1.1_XM_001631326.3	ectoderm.embryonic	145	4.32548069219072	3083	6667	10.0321685331634	Myod1/Myf5/Myf6/Myog	""	HLH.HG1.72:BHLHA9	HLH
Nvec_vc1.1_XM_001631375.3	ectoderm.embryonic	5621	1.39390762890208	364	1040	37.8336566990683	""	""	Homeodomains.HG2.70:ARX	Homeodomain/OAR
Nvec_vc1.1_XM_001631403.3	mesendoderm.embryonic	2713	1.16054798069201	136	610	22.274376884573	Mlxipl/Mlxip	""	HLH.HG1.14:MLXIP/MLXIPL	HLH
Nvec_vc1.1_XM_001631543.3	ectoderm.epidermis	164	3.95165166549505	472	8840	21.1433092508109	Creb3l3//Creb3l4	""	bZIP.HG1.15:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	bZIP_1
Nvec_vc1.1_XM_001631607.3	ectoderm.epidermis	826	1.76522567682724	41	1428	13.297428046587	Smad2/Smad3	""	SMAD_MH1.HG1.5:like:SMAD1/SMAD5/SMAD9	MH1/MH2
Nvec_vc1.1_XM_001631673.3	neuronal	289	2.03099775396921	107	1237	17.5288738837321	Lhx5/Lhx1	""	Homeodomains.HG2.20:LHX1/LHX3/LHX4/LHX5/LMX1A/LMX1B	LIM/LIM/Homeodomain
Nvec_vc1.1_XM_001631763.3	cnidocyte	156	2.21096853780394	422	489	29.2230477748317	""	PaxA	Homeodomains.HG2.49:like:PAX1/PAX9	PAX
Nvec_vc1.1_XM_001632367.3	neuronal	782	1.47769540606762	29	248	28.9024828326895	Nkx3-2	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_001632368.2	ectoderm.embryonic	11473	1.039493380565	40	170	22.7331966436053	""	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain
Nvec_vc1.1_XM_001632568.3	neuronal	42	5.10314559705219	614	5936	19.9362286982579	""	NvSoxB2a	HMGbox_Sox.HG1.34:SRY	HMG_box
Nvec_vc1.1_XM_001632824.3	mesendoderm.embryonic	106	2.3279864261575	920	1009	16.9739167702371	Tbx20	""	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box
Nvec_vc1.1_XM_001632929.3	ectoderm.embryonic.aboral	10182	1.01473363524796	16	35	39.3991323987775	Shox2	""	Homeodomains.HG2.41:SHOX/SHOX2	Homeodomain
Nvec_vc1.1_XM_001632947.3	ectoderm.embryonic.aboral	171	2.44907202603608	10798	20665	19.6885449364302	Sox3/Sox2	NvSoxB1	HMGbox_Sox.HG1.35:SOX1/SOX2/SOX3/SOX14/SOX21	HMG_box/SOXp
Nvec_vc1.1_XM_001633014.3	mesendoderm.embryonic	5477	1.05881702161252	29	33	6.17163223073151	Hsf5	HSF-like	HSF.HG1.4:like:HSF1/HSF2/HSF4	HSF_DNA-bind
Nvec_vc1.1_XM_001633156.3	mesendoderm.embryonic	410	1.5684224268247	314	475	1.4426650401219	""	""	T-box.HG1.1:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	T-box
Nvec_vc1.1_XM_001633239.3	ectoderm.embryonic	2033	2.03002918406215	2423	7271		Drap1	""	NFYB_NFYC.HG1.0:DRAP1	CBFD_NFYB_HMF
Nvec_vc1.1_XM_001633273.3	ectoderm.epidermis	14	20.1701529962015	4176	27634	12.8785671145181	Fos/Fosb/Fosl1/Fosl2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1
Nvec_vc1.1_XM_001633393.3	ectoderm.embryonic	895	2.60961679094943	4183	13300	6.04426754471511	Crem/Creb1/Atf1	""	bZIP.HG1.18:ATF1/CREB1/CREM	pKID/bZIP_1
Nvec_vc1.1_XM_001633482.3	ectoderm.embryonic	393	3.27911436645795	25954	71920	6.17405642479483	Ybx1/Ybx2/Ybx3	""	CSD.HG1.6:YBX1/YBX2/YBX3	CSD
Nvec_vc1.1_XM_001633484.3	NPC	542	1.42289875534509	372	2430		Rbpj/Rbpjl	""	LAG1_CSL.HG1.0:RBPJ/RBPJL	LAG1-DNAbind/BTD
Nvec_vc1.1_XM_001633504.3	ectoderm.embryonic	6428	1.31982328861674	318	913	6.61038355426672	""	""	zf-C2H2.HG10.1:ZFP3/ZNF319/ZNF449/ZNF574	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_11/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_11/zf-C2H2
Nvec_vc1.1_XM_001633508.3	neuronal	921	1.41371344562914	32	622	32.36236274494	""	""	zf-C2H2.HG1.3:ZBTB3	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_6/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
