gene	group	common_name	gene_name	og
Nvec_vc1.1_XM_032383663.2	cnidocyte&neuron	""	""	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2
Nvec_vc1.1_XM_032387167.2	cnidocyte&neuron	FoxA/D?	""	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3
Nvec_vc1.1_XM_048721414.1	cnidocyte&neuron	""	Prdm13	zf-C2H2.HG1.7:PRDM13
Nvec_vc1.1_XM_048722594.1	cnidocyte&neuron	""	Arid2	ARID_BRIGHT.HG1.3:ARID2
Nvec_vc1.1_XM_048723945.1	cnidocyte&neuron	""	Foxn3	Forkhead.HG1.16:FOXN2/FOXN3
Nvec_vc1.1_XM_048728976.1	cnidocyte&neuron	Zic-C	""	zf-C2H2.HG4.5:like:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5
Nvec_vc1.1_XM_048729815.1	cnidocyte&neuron	""	Yy1	zf-C2H2.HG3.36:YY1/YY2/ZFP42
Nvec_vc1.1_XM_001629694.3	cnidocyte_only	XBP1	Xbp1	bZIP.HG1.16:XBP1
Nvec_vc1.1_XM_001631093.3	cnidocyte_only	""	Atf3/Jdp2	bZIP.HG1.17:ATF3/JDP2
Nvec_vc1.1_XM_001631763.3	cnidocyte_only	PaxA	""	Homeodomains.HG2.49:like:PAX1/PAX9
Nvec_vc1.1_XM_001635015.3	cnidocyte_only	""	Rhox7a/Rhox7b/Prop1/Rhox2e/Rhox2h/Rhox2f/Rhox2d/Rhox2g/Rhox2b/Rhox2c/Rhox2a	Homeodomains.HG2.68:like:ARX/OTP
Nvec_vc1.1_XM_001637272.3	cnidocyte_only	""	""	zf-C2H2.HG95.1:NA
Nvec_vc1.1_XM_001640809.3	cnidocyte_only	Myc2	""	HLH.HG1.29:MYC/MYCL/MYCN
Nvec_vc1.1_XM_032364331.2	cnidocyte_only	""	""	TEA.HG1.0:TEAD1/TEAD2/TEAD3/TEAD4
Nvec_vc1.1_XM_032366098.2	cnidocyte_only	Ptx1	""	HLH.HG1.29:MYC/MYCL/MYCN
Nvec_vc1.1_XM_032366646.2	cnidocyte_only	""	Arid5b/Arid5a	ARID_BRIGHT.HG1.5:ARID5A/ARID5B
Nvec_vc1.1_XM_032371469.2	cnidocyte_only	""	Satb2/Satb1	Homeodomains.HG3.4:SATB1/SATB2/ZHX1/ZHX2/ZHX3
Nvec_vc1.1_XM_032372114.2	cnidocyte_only	""	Atf4/Atf5	bZIP.HG1.8:ATF4/ATF5
Nvec_vc1.1_XM_032372264.2	cnidocyte_only	NvSoxC	/Sox4/Sox11	HMGbox_Sox.HG1.11:SOX4/SOX11/SOX12
Nvec_vc1.1_XM_032376206.2	cnidocyte_only	SoxB2	Sox13/Sox5/Sox6	HMGbox_Sox.HG1.13:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY
Nvec_vc1.1_XM_032376421.2	cnidocyte_only	Ath-like	""	HLH.HG1.80:like:NEUROD1/NEUROD2/NEUROD4/NEUROD6
Nvec_vc1.1_XM_032387080.2	cnidocyte_only	""	Zfp251/Zfp7/Gm49527/Zfp612/Zfp128/Zfp78/Zim1	zf-C2H2.HG1.192:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26
Nvec_vc1.1_XM_048722339.1	cnidocyte_only	""	Ahr/Ahrr	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1
Nvec_vc1.1_XM_048723046.1	cnidocyte_only	""	Creb3l2/Creb3l1	bZIP.HG1.14:like:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4
Nvec_vc1.1_XM_048726881.1	cnidocyte_only	""	Zfp760/Zfp770	zf-C2H2.HG1.3:ZBTB3
Nvec_vc1.1_XM_048730021.1	cnidocyte_only	""	Gzf1/Zfp628	zf-C2H2.HG2.4:MTF1/ZNF76/ZNF143
Nvec_vc1.1_XM_048730283.1	cnidocyte_only	""	Atf3/Jdp2	bZIP.HG1.17:ATF3/JDP2
Nvec_NVE7697	neuron_only	""	Hopx	Homeodomains.HG2.24:like:LEUTX
Nvec_vc1.1_XM_001623467.3	neuron_only	""	""	bZIP.HG1.12:CREBZF
Nvec_vc1.1_XM_001625118.3	neuron_only	""	""	HSF.HG1.0:like:HSF1/HSF2/HSF4/HSF5/HSFX1/HSFX2/HSFX3/HSFX4/HSFY1/HSFY2
Nvec_vc1.1_XM_001625588.3	neuron_only	""	Runx3/Runx2/Runx1	Runt_Runx.HG1.0:RUNX1/RUNX2/RUNX3
Nvec_vc1.1_XM_001627423.3	neuron_only	""	Cic	HMGbox_Sox.HG1.10:BBX
Nvec_vc1.1_XM_001627792.3	neuron_only	""	Foxn4/Foxn1	Forkhead.HG1.12:FOXN1/FOXN4/FOXR1/FOXR2
Nvec_vc1.1_XM_001628319.3	neuron_only	""	Foxj3	Forkhead.HG1.25:FOXJ2/FOXJ3
Nvec_vc1.1_XM_001629605.3	neuron_only	""	""	SMAD_MH1.HG1.2:like:SMAD4
Nvec_vc1.1_XM_001630131.3	neuron_only	""	Arid4a/Arid4b	ARID_BRIGHT.HG1.2:ARID4A/ARID4B
Nvec_vc1.1_XM_001631673.3	neuron_only	""	Lhx5/Lhx1	Homeodomains.HG2.20:LHX1/LHX3/LHX4/LHX5/LMX1A/LMX1B
Nvec_vc1.1_XM_001633273.3	neuron_only	""	Fos/Fosb/Fosl1/Fosl2	bZIP.HG1.17:ATF3/JDP2
Nvec_vc1.1_XM_001633508.3	neuron_only	""	""	zf-C2H2.HG1.3:ZBTB3
Nvec_vc1.1_XM_001633772.3	neuron_only	""	""	zf-C2H2.HG4.1:like:GLI1/GLI2/GLI3/GLIS1/GLIS2/GLIS3
Nvec_vc1.1_XM_001633894.3	neuron_only	""	Tfap2d/Tfap2c/Tfap2e/Tfap2b/Tfap2a	AP-2.HG1.0:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E
Nvec_vc1.1_XM_001633901.3	neuron_only	""	Tbx3/Tbx2	T-box.HG1.11:TBX2/TBX3
Nvec_vc1.1_XM_001633995.3	neuron_only	""	Irx6	Homeodomains.HG3.22:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX
Nvec_vc1.1_XM_001635120.3	neuron_only	""	""	zf-C2H2.HG1.207:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26
Nvec_vc1.1_XM_001636889.3	neuron_only	FoxJ1	Foxj1	Forkhead.HG1.24:FOXJ1
Nvec_vc1.1_XM_001638852.3	neuron_only	""	Tfam	HMGbox_Sox.HG1.47:like:NSD2
Nvec_vc1.1_XM_001639692.3	neuron_only	""	Clock/Npas2	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1
Nvec_vc1.1_XM_001647488.3	neuron_only	""	Otx1/Otx2	Homeodomains.HG2.46:CRX/OTX1/OTX2
Nvec_vc1.1_XM_032362959.2	neuron_only	""	""	MADS-box_SRF.HG1.1:like:BORCS8-MEF2B/MEF2A/MEF2B/MEF2C/MEF2D
Nvec_vc1.1_XM_032364001.2	neuron_only	""	Smad9/Smad1/Smad5	SMAD_MH1.HG1.6:SMAD1/SMAD5/SMAD9
Nvec_vc1.1_XM_032364195.2	neuron_only	""	Rreb1	zf-C2H2.HG3.22:like:HINFP/HIVEP2/HIVEP3/RREB1/YY1/YY2/ZFP42/ZFPM1/ZNF148/ZNF281/ZNF407/ZNF469/ZNF516/ZNF740/ZNF831
Nvec_vc1.1_XM_032364225.2	neuron_only	""	""	HMGbox_Sox.HG1.64:like:HMG20B
Nvec_vc1.1_XM_032365212.2	neuron_only	""	""	Homeodomains.HG2.3:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4
Nvec_vc1.1_XM_032366609.2	neuron_only	""	Noto	Homeodomains.HG1.49:like:NOTO
Nvec_vc1.1_XM_032366964.2	neuron_only	""	""	zf-C2H2.HG1.35:FEZF1/FEZF2/GFI1/GFI1B
Nvec_vc1.1_XM_032369810.2	neuron_only	""	""	ARID_BRIGHT.HG1.7:like:ARID1A/ARID1B/ARID3A/ARID3B/ARID3C
Nvec_vc1.1_XM_032373099.2	neuron_only	""	Pou3f2/Pou3f1/Pou3f4/Pou3f3	Homeodomains.HG4.10:POU3F1/POU3F2/POU3F3/POU3F4
Nvec_vc1.1_XM_032373943.2	neuron_only	""	""	zf-C2H2.HG130.1:NA
Nvec_vc1.1_XM_032374352.2	neuron_only	""	""	Forkhead.HG1.9:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2
Nvec_vc1.1_XM_032374864.2	neuron_only	""	""	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX
Nvec_vc1.1_XM_032375280.2	neuron_only	""	Pasd1	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1
Nvec_vc1.1_XM_032377792.2	neuron_only	""	Mef2c/Mef2b/Mef2a/Mef2d	MADS-box_SRF.HG1.2:BORCS8-MEF2B/MEF2A/MEF2B/MEF2C/MEF2D
Nvec_vc1.1_XM_032380374.2	neuron_only	NvSoxA	""	HMGbox_Sox.HG1.34:SRY
Nvec_vc1.1_XM_032381270.2	neuron_only	""	Scrt2/Scrt1	zf-C2H2.HG7.4:SCRT1/SCRT2
Nvec_vc1.1_XM_032382208.2	neuron_only	""	""	zf-C2H2.HG94.0:NA
Nvec_vc1.1_XM_032384134.2	neuron_only	""	Zfp637/Zfp944/Zfp942	zf-C2H2.HG3.3:ZNF641
Nvec_vc1.1_XM_032384420.2	neuron_only	Sp6-9	Sp7/Sp8/Sp9	zf-C2H2.HG2.14:SP1/SP2/SP3/SP4/SP5/SP6/SP7/SP8/SP9
Nvec_vc1.1_XM_032385373.2	neuron_only	""	Zfp764/E430018J23Rik/Zfp689/9130019O22Rik/Zfp747/Zfp688	zf-C2H2.HG13.5:GLI4/ZFP90/ZNF7/ZNF10/ZNF19/ZNF75A/ZNF75D/ZNF79/ZNF358/ZNF485/ZNF572/ZNF621/ZNF672
Nvec_vc1.1_XM_032385963.2	neuron_only	""	""	zf-C2H2.HG8.0:ZNF576/ZNF683/ZNF891
Nvec_vc1.1_XM_032386243.2	neuron_only	Grainyhead	Grhl1/Grhl3/Grhl2	Grainyhead_LSF.HG1.1:GRHL1/GRHL2/GRHL3
Nvec_vc1.1_XM_048721581.1	neuron_only	""	Zfp236/Zfp574/Zfp526	zf-C2H2.HG1.29:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26
Nvec_vc1.1_XM_048721905.1	neuron_only	""	Zfp7/Gm21060	zf-C2H2.HG10.1:ZFP3/ZNF319/ZNF449/ZNF574
Nvec_vc1.1_XM_048722810.1	neuron_only	""	""	Myb.HG1.5:like:DNAJC1/DNAJC2
Nvec_vc1.1_XM_048724605.1	neuron_only	""	Bdp1	Myb.HG6.0:BDP1
Nvec_vc1.1_XM_048726087.1	neuron_only	""	""	Myb.HG2.5:NA
Nvec_vc1.1_XM_048727600.1	neuron_only	""	""	Myb.HG2.3:NA
Nvec_vc1.1_XM_048728967.1	neuron_only	""	""	HLH.HG1.29:MYC/MYCL/MYCN
Nvec_vc1.1_XM_048729481.1	neuron_only	""	""	zf-C2H2.HG4.3:like:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5
Nvec_vc1.1_XM_048730161.1	neuron_only	Cnido-Fos1	Fos/Fosl2/Fosb/Fosl1	bZIP.HG1.9:like:ATF3/ATF4/ATF5/FOS/FOSB/FOSL1/FOSL2/JDP2
Nvec_vc1.1_XM_048731064.1	neuron_only	""	""	zf-C2H2.HG87.0:NA
Nvec_vc1.1_XM_048731137.1	neuron_only	LMX	Lmx1a/Lmx1b	Homeodomains.HG2.20:LHX1/LHX3/LHX4/LHX5/LMX1A/LMX1B
Nvec_vc1.1_XM_048731647.1	neuron_only	""	Zfp846	zf-C2H2.HG36.2:ZNF425
Nvec_vc1.1_XM_048733519.1	neuron_only	""	""	Homeodomains.HG2.73:like:DMBX1
Nvec_vc1.1_XM_048734004.1	neuron_only	""	Zfp217/Zfp536/Zfp219	zf-C2H2.HG99.0:NA
