group	motif_name	genes	gene_names	common_names	ogs	pfams
MR	AT3G46070	""	""	""	""	""
MR	achi	""	""	""	""	""
MR	Nkx2.2	""	""	""	""	""
MR	TGIF1	""	""	""	""	""
MR	ELT-3	""	""	""	""	""
MR	At5g05790__At3g11280	""	""	""	""	""
MR	Gata3/Gata1/Gata2_...	Nvec_vc1.1_XM_001636971.3	Rere	""	GATA.HG2.1:RERE	BAH/ELM2/GATA
MR	GFX	""	""	""	""	""
MR	OsRR22__PB0059.1_Si...	""	""	""	""	""
MR	elt-2	""	""	""	""	""
MR	Gata3/Gata1/Gata2	""	""	""	""	""
MR	PB0161.1_Rxra_2	""	""	""	""	""
MR	Erra	""	""	""	""	""
MR	Six4	""	""	""	""	""
MR	Six1/_Six4/Six5	Nvec_vc1.1_XM_001625898.3;Nvec_vc1.1_XM_001625899.3;Nvec_vc1.1_XM_001626384.3;Nvec_vc1.1_XM_001634198.3;Nvec_vc1.1_XM_001634199.3;Nvec_vc1.1_XM_001634715.3;Nvec_vc1.1_XM_001641575.3;Nvec_vc1.1_XM_032364121.2;Nvec_vc1.1_XM_032372904.2;Nvec_vc1.1_XM_032373496.2;Nvec_vc1.1_XM_032379723.2;Nvec_vc1.1_XM_032383677.2;Nvec_vc1.1_XM_032384965.2	;Six1/;Lbx;Hoxa10/Hoxb9/Hoxc11/Hoxa9/Hoxd11/Hoxd9/Hoxd10/Hoxc9/Hoxc10/Hoxc12/Hoxa11/Hoxd12/Hoxb13/Hoxd13/Hoxc13/;Meox2/Meox1;Alx3/Alx4/Alx1;BarH-Like3	;Lbx;BarH-Like3	Homeodomains.HG1.62:like:MEOX1/MEOX2;Homeodomains.HG1.65:like:MEOX1/MEOX2;Homeodomains.HG3.31:SIX1/SIX2;Homeodomains.HG1.70:HOXA2/HOXB2/PDX1;Homeodomains.HG1.29:LBX1/LBX2;Homeodomains.HG1.68:AC004080.3/AC012531.3/CDX1/CDX2/CDX4/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13;Homeodomains.HG1.39:BARHL1/BARHL2;Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2;Homeodomains.HG1.64:MEOX1/MEOX2;Homeodomains.HG2.66:ALX1/ALX3/ALX4	Homeodomain;SIX1_SD/Homeodomain;Homeodomain/OAR
MR	NR2C1	""	""	""	""	""
MR	M02408_2.00	""	""	""	""	""
MR	Nr2c1/Nr2c2_Nr2f1/...	""	""	""	""	""
MR	M03942_2.00__M0394...	""	""	""	""	""
MR	Nr2f1/Nr2f2/Nr2f6	""	""	""	""	""
MR	ERRg__M09321_2.00_...	""	""	""	""	""
MR	PB0040.1_Lef1_1__THRB	""	""	""	""	""
MR	NR2F2	""	""	""	""	""
MR	RAR:RXR	""	""	""	""	""
MR	Hnf4g/Hnf4a_Nr2c1/...	""	""	""	""	""
MR	Nr2c1/Nr2c2	""	""	""	""	""
MR	Nr2c1/Nr2c2_Nr2f1/N...	""	""	""	""	""
MR	WIP5	""	""	""	""	""
MR	Nr2f1/Nr2f2/Nr2f6_...	""	""	""	""	""
MR	NR2F1	""	""	""	""	""
MR	WRKY40__PH0140.1_P...	""	""	""	""	""
MR	PH0164.1_Six4	""	""	""	""	""
MR	KHDRBS3	""	""	""	""	""
MR	Pknox1	""	""	""	""	""
MR	Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032373617.2;Nvec_vc1.1_XM_032382395.2	Nkx2-2/Nkx2-9;Tgif1/Tgif2	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2;Homeodomains.HG3.34:TGIF1	Homeodomain;Homeobox_KN
MR	Crem/Creb1/Atf1	""	""	""	""	""
MR	unc-62	""	""	""	""	""
MR	Meis3/Meis2/Meis1_P...	""	""	""	""	""
TR	Pdp1	Nvec_vc1.1_XM_001627662.3;Nvec_vc1.1_XM_048734435.1	/E2f4;E2f6	""	E2F_TDP.HG1.3:E2F4/E2F5;E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F_TDP/E2F_CC-MB
TR	/Sox4/Sox11_Foxc2/...	""	""	""	""	""
TR	YOX1	""	""	""	""	""
TR	BHLHE22__NHLH1__Ptf...	""	""	""	""	""
TR	RME1	""	""	""	""	""
TR	Sox21	Nvec_vc1.1_XM_048726835.1	""	""	HMGbox_Sox.HG1.62:like:NSD2	HMG_box
TR	PB0166.1_Sox12_2	""	""	""	""	""
TR	Sox7	""	""	""	""	""
TR	SOX15	""	""	""	""	""
TR	Sox15	""	""	""	""	""
TR	/Sox4/Sox11_Sox13/...	""	""	""	""	""
TR	Sf3b4	""	""	""	""	""
TR	PB0121.1_Foxj3_2	Nvec_vc1.1_XM_001627629.3;Nvec_vc1.1_XM_001630363.3;Nvec_vc1.1_XM_001638841.3;Nvec_vc1.1_XM_032378839.2;Nvec_vc1.1_XM_048723945.1	;Foxo1/Foxo6/Foxo3/Foxo4;Foxg1/Gm43517;Foxn3	""	Forkhead.HG1.30:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6;Forkhead.HG1.29:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6;Forkhead.HG1.22:FOXG1;Forkhead.HG1.14:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2;Forkhead.HG1.16:FOXN2/FOXN3	Forkhead;Forkhead/FOXO-TAD
TR	Brn1	""	""	""	""	""
TR	Barx2/Barx1_Dlx4/Dlx...	""	""	""	""	""
TR	Tesmin	""	""	""	""	""
TR	Nvec_vc1.1_XM_001634198.3	""	""	""	""	""
TR	Foxa3/Foxa1/Foxa2_...	Nvec_vc1.1_XM_001628964.3	Foxk2/Foxk1	""	Forkhead.HG1.23:FOXK1/FOXK2	FHA/Forkhead
TR	Arid2_Arid3c/Arid3a...	Nvec_vc1.1_XM_048722594.1	Arid2	""	ARID_BRIGHT.HG1.3:ARID2	ARID/RFX_DNA_binding
TR	Brn2	""	""	""	""	""
TR	POU4F1	Nvec_vc1.1_XM_032363992.2	Pou4	Pou4	Homeodomains.HG4.6:POU4F1/POU4F2/POU4F3	Pou/Homeodomain
TR	OCT:OCT__Pit1+1bp_...	""	""	""	""	""
TR	Alx3/Alx4/Alx1_Barx...	""	""	""	""	""
TR	ARCH261_	""	""	""	""	""
TR	Alx3/Alx4/Alx1_Arid2...	""	""	""	""	""
TR	Foxc2/Foxc1_Foxg1/...	""	""	""	""	""
TR	KAN4	""	""	""	""	""
TR	/Sox4/Sox11_Sox13/S...	""	""	""	""	""
TR	gsb	""	""	""	""	""
TR	Snai2	Nvec_vc1.1_XM_001639705.3;Nvec_vc1.1_XM_032384912.2	""	""	zf-C2H2.HG1.30:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26;zf-C2H2.HG1.78:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2
TR	E2A__esg	""	""	""	""	""
TR	Slug	""	""	""	""	""
TR	/Lef1/Tcf7l1/Tcf7	Nvec_vc1.1_XM_001627423.3;Nvec_vc1.1_XM_001639701.3;Nvec_vc1.1_XM_032372264.2;Nvec_vc1.1_XM_032376206.2;Nvec_vc1.1_XM_032378152.2;Nvec_vc1.1_XM_032380374.2	Cic;NvSox2;NvSoxC;SoxB2;Sox30;NvSoxA	;NvSox2;NvSoxC;SoxB2;NvSoxA	HMGbox_Sox.HG1.10:BBX;HMGbox_Sox.HG1.14:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY;HMGbox_Sox.HG1.11:SOX4/SOX11/SOX12;HMGbox_Sox.HG1.13:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY;HMGbox_Sox.HG1.1:SOX30;HMGbox_Sox.HG1.34:SRY	HMG_box
TR	Tcf12	""	""	""	""	""
TR	PB0102.1_Zic2_1	Nvec_vc1.1_XM_032381020.2	Zic2	""	zf-C2H2.HG4.7:like:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5	zf_ZIC/zf-C2H2/zf-C2H2
TR	GLIS3	""	""	""	""	""
TR	Zic2__Unknown-ESC-e...	Nvec_vc1.1_XM_048729483.1	""	""	zf-C2H2.HG4.4:like:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5	zf_ZIC/zf-C2H2/zf-C2H2
TR	M06062_2.00__M06468...	Nvec_vc1.1_XM_032366964.2;Nvec_vc1.1_XM_032375721.2;Nvec_vc1.1_XM_032375915.2;Nvec_vc1.1_XM_032382255.2;Nvec_vc1.1_XM_032382579.2;Nvec_vc1.1_XM_048721581.1;Nvec_vc1.1_XM_048723111.1;Nvec_vc1.1_XM_048728976.1	;Zfp236/Zfp574/Zfp526;Zfp239//Gm21060/Zfp942/Zfp944/Zfp994/Zfp758/Zfp946/Zfp947/Zfp995/Zfp982;Zic-C	;Zic-C	zf-C2H2.HG1.35:FEZF1/FEZF2/GFI1/GFI1B;zf-C2H2.HG119.0:NA;zf-C2H2.HG4.0:like:GLI1/GLI2/GLI3/GLIS1/GLIS2/GLIS3;zf-C2H2.HG1.11:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26;zf-C2H2.HG10.1:ZFP3/ZNF319/ZNF449/ZNF574;zf-C2H2.HG1.29:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26;zf-C2H2.HG4.5:like:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_6;zf-C2H2/zf-C2H2/zf-C2H2;zf-C2H2/zf-C2H2;zf-C2H2/zf-C2H2_6/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_6/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_6;zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2;zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2;zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2;zf_ZIC/zf-C2H2/zf-C2H2
TR	Zic	""	""	""	""	""
TR	Zic3	Nvec_vc1.1_XM_032380417.2	""	""	zf-C2H2.HG2.2:like:MTF1/ZNF76/ZNF143	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_6
TR	AP-2gamma	""	""	""	""	""
TR	AP-2alpha	""	""	""	""	""
TR	Egr3/Egr1	""	""	""	""	""
