cell_type	gene	pfam	og	gene_name	common_name	n_hits
muscle_mesentery_retractor	Nvec_vc1.1_XM_048733551.1	Homeodomain	Homeodomains.HG1.5:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_032372025.2	HLH/PAS/PAS_11	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_001628481.3	Homeodomain	Homeodomains.HG1.72:like:NOTO	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_001627544.3	Homeodomain	Homeodomains.HG2.58:UNCX	Rhox10/Rhox7a/Rhox7b/Rhox3f/Rhox3h/Rhox3g/Rhox3a2/Rhox3a/Rhox3c/Rhox3e	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_001647471.3	Homeodomain	Homeodomains.HG2.46:CRX/OTX1/OTX2	Otx1/Otx2	OtxC	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_032375635.2	Homeodomain	Homeodomains.HG2.46:CRX/OTX1/OTX2	Otx1/Otx2	OtxB	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_032380735.2	E2F_TDP/E2F_CC-MB	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_032381099.2	Homeodomain	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_001633762.3	HMG_box/HMG_box	HMGbox_Sox.HG1.37:like:SSRP1	""	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_032364561.2	HNF-1_N/Homeodomain	Homeodomains.HG2.0:HNF1A/HNF1B	Hnf1a/Hnf1b	""	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_001623084.3	SIX1_SD/Homeodomain	Homeodomains.HG3.24:SIX4/SIX5	Six4/Six5	Six4/5	3
muscle_mesentery_retractor	Nvec_vc1.1_XM_032384474.2	HLH	HLH.HG1.85:SCX/TCF15	Tcf15/Scx	""	2
muscle_mesentery_retractor	Nvec_vc1.1_XM_032376554.2	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG1.17:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	""	""	2
muscle_mesentery_retractor	Nvec_vc1.1_XM_048731616.1	zf-C2H2/zf-C2H2_11/zf-C2H2	zf-C2H2.HG17.1:HIC2	Zfp1000	""	2
muscle_mesentery_retractor	Nvec_vc1.1_XM_048734691.1	zf-C2H2/zf-met/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG70.1:NA	""	""	2
muscle_mesentery_retractor	Nvec_vc1.1_XM_001629218.3	T-box	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	""	TBX20	2
muscle_mesentery_retractor	Nvec_vc1.1_XM_001634199.3	Homeodomain	Homeodomains.HG1.70:HOXA2/HOXB2/PDX1	""	""	2
muscle_mesentery_retractor	Nvec_vc1.1_XM_032366602.2	SAM_PNT/Ets	Ets.HG1.11:EHF/ELF3/ELF5	Elf3/Ehf/Elf5	""	2
muscle_mesentery_retractor	Nvec_vc1.1_XM_032383948.2	Homeodomain	Homeodomains.HG1.57:GBX1/GBX2	Gbx1/Gbx2	""	2
muscle_mesentery_retractor	Nvec_vc1.1_XM_001638852.3	HMG_box/HMG_box/HMG_box	HMGbox_Sox.HG1.47:like:NSD2	Tfam	""	2
muscle_mesentery_retractor	Nvec_vc1.1_XM_032366733.2	Homeodomain	Homeodomains.HG1.68:AC004080.3/AC012531.3/CDX1/CDX2/CDX4/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13	""	Anthox1/Ax1	2
muscle_mesentery_retractor	Nvec_vc1.1_XM_032386296.2	HMG_box	HMGbox_Sox.HG1.18:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001639101.3	PAX/Homeodomain	Homeodomains.HG2.27:like:PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9	Pax5/Pax8/Pax2	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001625998.3	Homeodomain	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Nkx2-2/Nkx2-9	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032383925.2	Homeodomain	Homeodomains.HG1.21:BARX1/BARX2/BSX/DBX1/DBX2/HLX	Hlx	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032384134.2	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG3.3:ZNF641	Zfp637/Zfp944/Zfp942	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032384420.2	zf-C2H2/zf-C2H2/zf-C2H2_4	zf-C2H2.HG2.14:SP1/SP2/SP3/SP4/SP5/SP6/SP7/SP8/SP9	Sp7/Sp8/Sp9	Sp6-9	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048721414.1	zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG1.7:PRDM13	Prdm13	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001637374.3	Ets	Ets.HG1.2:ELK1/ELK3/ELK4	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032366964.2	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_6	zf-C2H2.HG1.35:FEZF1/FEZF2/GFI1/GFI1B	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032375915.2	zf-C2H2/zf-C2H2	zf-C2H2.HG4.0:like:GLI1/GLI2/GLI3/GLIS1/GLIS2/GLIS3	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048721581.1	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG1.29:like:AC008758.1/AC008770.2/AC010422.6/AC073111.4/AC138696.1/BCL11A/BCL11B/EGR1/EGR2/EGR3/EGR4/FEZF1/FEZF2/GFI1/GFI1B/GZF1/HIC1/HIVEP1/IKZF1/IKZF2/IKZF3/IKZF4/MAZ/MYNN/MZF1/OSR1/OSR2/PATZ1/PLAG1/PRDM1/PRDM2/PRDM4/PRDM5/PRDM12/PRDM13/PRDM15/REPIN1/SALL1/SALL2/SALL3/SALL4/VEZF1/ZBTB2/ZBTB3/ZBTB6/ZBTB7A/ZBTB7B/ZBTB7C/ZBTB8A/ZBTB11/ZBTB14/ZBTB21/ZBTB24/ZBTB25/ZBTB26/ZBTB32/ZBTB34/ZBTB37/ZBTB38/ZBTB39/ZBTB41/ZBTB45/ZBTB47/ZFAT/ZFP37/ZFP41/ZFP57/ZFP64/ZFX/ZFY/ZIM2/ZIM3/ZKSCAN2/ZNF2/ZNF14/ZNF16/ZNF18/ZNF20/ZNF22/ZNF24/ZNF32/ZNF35/ZNF45/ZNF57/ZNF74/ZNF80/ZNF133/ZNF135/ZNF136/ZNF138/ZNF141/ZNF142/ZNF197/ZNF200/ZNF202/ZNF212/ZNF213/ZNF217/ZNF219/ZNF236/ZNF260/ZNF263/ZNF264/ZNF268/ZNF275/ZNF282/ZNF287/ZNF296/ZNF311/ZNF316/ZNF320/ZNF331/ZNF335/ZNF337/ZNF341/ZNF343/ZNF367/ZNF396/ZNF397/ZNF436/ZNF439/ZNF444/ZNF446/ZNF467/ZNF484/ZNF490/ZNF491/ZNF497/ZNF500/ZNF502/ZNF507/ZNF513/ZNF526/ZNF532/ZNF536/ZNF540/ZNF543/ZNF551/ZNF555/ZNF564/ZNF568/ZNF569/ZNF573/ZNF589/ZNF592/ZNF596/ZNF597/ZNF605/ZNF629/ZNF644/ZNF646/ZNF648/ZNF652/ZNF658/ZNF664/ZNF665/ZNF667/ZNF668/ZNF669/ZNF678/ZNF687/ZNF688/ZNF695/ZNF696/ZNF697/ZNF699/ZNF707/ZNF709/ZNF711/ZNF713/ZNF717/ZNF728/ZNF732/ZNF763/ZNF768/ZNF771/ZNF774/ZNF775/ZNF777/ZNF778/ZNF780A/ZNF780B/ZNF781/ZNF783/ZNF784/ZNF786/ZNF791/ZNF805/ZNF827/ZNF835/ZNF845/ZNF865/ZNF878/ZNF879/ZNF883/ZSCAN2/ZSCAN4/ZSCAN5A/ZSCAN5B/ZSCAN10/ZSCAN16/ZSCAN23/ZSCAN26	Zfp236/Zfp574/Zfp526	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048728976.1	zf_ZIC/zf-C2H2/zf-C2H2	zf-C2H2.HG4.5:like:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5	""	Zic-C	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001637733.3	Homeodomain	Homeodomains.HG1.67:GSX1/GSX2	Gsx1/Gsx2	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032370011.2	Homeodomain	Homeodomains.HG1.37:NKX6-1/NKX6-2/NKX6-3	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032373617.2	Homeodomain	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Nkx2-2/Nkx2-9	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048731942.1	HLH	HLH.HG1.87:LYL1/NHLH1/NHLH2/TAL1/TAL2	Lyl1/Tal2/Tal1	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032366225.2	zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG2.5:KLF15	Klf15	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032364281.2	Myb_DNA-binding	Myb.HG1.23:TERB1/TERF2	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032378442.2	Myb_DNA-bind_4	Myb.HG3.0:like:HSPA14/MSANTD1/MSANTD2/UTF1/ZKSCAN2/ZSCAN20/ZSCAN29/ZSCAN32	Msantd2	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048729483.1	zf_ZIC/zf-C2H2/zf-C2H2	zf-C2H2.HG4.4:like:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032363603.2	T-box	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	Tbx18/Tbx22/Tbx15	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032387186.2	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2.HG7.5:SNAI1/SNAI2/SNAI3	Snai2	SnailA	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001625898.3	Homeodomain	Homeodomains.HG1.62:like:MEOX1/MEOX2	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001634715.3	Homeodomain	Homeodomains.HG1.29:LBX1/LBX2	Lbx1	Lbx	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032383677.2	Homeodomain	Homeodomains.HG1.70:HOXA2/HOXB2/PDX1	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032384889.2	HLH/Hairy_orange	HLH.HG1.63:like:HES5/HES7	""	Hes2	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032362934.2	Ets	Ets.HG1.11:EHF/ELF3/ELF5	Elf3/Ehf/Elf5	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001633995.3	Homeobox_KN	Homeodomains.HG3.22:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX	Irx6	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001634550.3	HLH	HLH.HG1.53:HES5/HES7	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001641129.3	zf-C2H2/zf-C2H2/zf-C2H2/zf-H2C2_2/zf-C2H2	zf-C2H2.HG3.8:like:ZNF770	Zfp281/Zfp148	ZNF845	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032379152.2	Forkhead	Forkhead.HG1.13:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048728051.1	Forkhead	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001626820.3	T-box	T-box.HG1.2:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032363992.2	Pou/Homeodomain	Homeodomains.HG4.6:POU4F1/POU4F2/POU4F3	Pou4f3/Pou4f1/Pou4f2	Pou4	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001633902.3	T-box	T-box.HG1.12:TBX4/TBX5	Tbx5/Tbx4	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_032382158.2	HLH	HLH.HG1.45:TCF3/TCF4/TCF12	Tcf3/Tcf12/Tcf4	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001631375.3	Homeodomain/OAR	Homeodomains.HG2.70:ARX	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001641552.3	Homeodomain	Homeodomains.HG1.47:like:MSX1/MSX2	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001641660.3	Homeodomain	Homeodomains.HG2.64:PITX1/PITX2/PITX3	Pitx3/Pitx2/Pitx1	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048723046.1	bZIP_1	bZIP.HG1.14:like:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	Creb3l2/Creb3l1	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_001632368.2	Homeodomain	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	""	""	1
muscle_mesentery_retractor	Nvec_vc1.1_XM_048721909.1	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_11/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_11	zf-C2H2.HG10.1:ZFP3/ZNF319/ZNF449/ZNF574	Zfp7/Gm21060	""	1
