gene	gene_name	common_name	og	pfam	tf_family	archetype_name	archetype_family	source	rank	gene_score_correlation	gene_expression_correlation	class	assigned	any_assigned	CisBP_assignment
Nvec_vc1.1_XM_001623127.3	""	""	Forkhead.HG1.31:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead	Forkhead	ARCH1397_RBFox2__OCT:OCT-short	Forkhead	Homer_known	10	0.555402517692811	0.518336023394279	A1	FALSE	FALSE	none
Nvec_vc1.1_XM_001623946.3	Hesx1	""	Homeodomains.HG2.11:DUX4/DUXA/DUXB	Homeodomain	Homeodomains	ARCH18_Alx3/Alx4/Alx1_Barx2...	Homeodomains	CisBP_I	4	0.250284759125343	-0.0900441058401377	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001624689.3	Foxm1	""	Forkhead.HG1.26:FOXM1	Forkhead	Forkhead	ARCH968_Foxa3/Foxa1/Foxa2_F...	Forkhead	CisBP_I	12	0.154391685441866	0.254246022044871	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001624716.3	""	NvSox1	HMGbox_Sox.HG1.35:SOX1/SOX2/SOX3/SOX14/SOX21	HMG_box/SOXp	HMGbox_Sox	ARCH67_Oct4:Sox17	HMGbox_Sox	Homer_known	7	0.458899556020898	0.458886048592544	A1	FALSE	TRUE	other
Nvec_vc1.1_XM_001624941.3	Prdm14	""	zf-C2H2.HG19.1:PRDM14	zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2	ARCH470_Snai2	zf-C2H2	CisBP_N	893	-0.103099689306314	0.42974391045183	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001625109.3	Six3/Six6	Six3/6	Homeodomains.HG3.30:SIX3/SIX6	SIX1_SD/Homeodomain	Homeodomains	ARCH146_Alx3/Alx4/Alx1_Barx...	Homeodomains	CisBP_I	3	0.420362857275545	0.403509759799913	A1	FALSE	TRUE	other
Nvec_vc1.1_XM_001625457.2	Six4/Six5	""	Homeodomains.HG3.24:SIX4/SIX5	SIX1_SD/Homeodomain	Homeodomains	ARCH273_HOXD3	Homeodomains	Homer_denovo	56	0.563426179722825	0	B1	FALSE	FALSE	none
Nvec_vc1.1_XM_001625588.3	Runx3/Runx2/Runx1	""	Runt_Runx.HG1.0:RUNX1/RUNX2/RUNX3	Runt	Runt_Runx	ARCH1267_Runx3/Runx2/Runx1	Runt_Runx	CisBP_I	1	0.77974047013831	0.777694531870274	A1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001625700.3	Nrf1	""	NRF1.HG1.2:NRF1	Nrf1_DNA-bind/Nrf1_activ_bdg	NRF1	ARCH913_Nrf1	NRF1	CisBP_N	1517	-0.0916942907653594	0.185298913889716	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001625754.3	""	""	Homeodomains.HG2.6:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	Homeodomain	Homeodomains	ARCH273_HOXD3	Homeodomains	Homer_denovo	56	0.591837750592003	0.589031278684192	A1	FALSE	FALSE	none
Nvec_vc1.1_XM_001625768.3	""	""	Homeodomains.HG1.5:like:AC004080.3/AC012531.3/BARHL1/BARHL2/BARX1/BARX2/BSX/CDX1/CDX2/CDX4/DBX1/DBX2/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HHEX/HLX/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/LBX1/LBX2/MEOX1/MEOX2/MNX1/MSX1/MSX2/NANOG/NANOGP8/NKX1-1/NKX1-2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2/VENTX	Homeodomain	Homeodomains	ARCH273_HOXD3	Homeodomains	Homer_denovo	53	0.600629062165595	0.589912540902807	A1	FALSE	FALSE	none
Nvec_vc1.1_XM_001625898.3	""	""	Homeodomains.HG1.62:like:MEOX1/MEOX2	Homeodomain	Homeodomains	ARCH1362_Six1/_Six4/Six5	Homeodomains	CisBP_I	2	0.634837235814829	0.310700171477034	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_001625899.3	""	""	Homeodomains.HG1.65:like:MEOX1/MEOX2	Homeodomain	Homeodomains	ARCH1362_Six1/_Six4/Six5	Homeodomains	CisBP_I	2	0.60670462839616	0.293595814815949	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_001625950.3	Foxc2/Foxc1	FoxC	Forkhead.HG1.10:FOXC1/FOXC2	Forkhead	Forkhead	ARCH964_Foxc2/Foxc1_Foxg1/G...	Forkhead	CisBP_I	236	0.347992880215439	0.372446782866956	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001625997.3	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	Homeodomains	ARCH1521_Nkx2-2/Nkx2-9	Homeodomains	CisBP_I	1	0.748499621804223	0.0901895366164127	B1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001625998.3	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	Homeodomains	ARCH167_Nanog	Homeodomains	CisBP_D	1	0.800036287830768	0.170974458946559	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_001626384.3	Six1/	""	Homeodomains.HG3.31:SIX1/SIX2	SIX1_SD/Homeodomain	Homeodomains	ARCH1362_Six1/_Six4/Six5	Homeodomains	CisBP_I	1	0.77678938774898	0.430559842141365	A1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001627072.3	""	""	Forkhead.HG1.17:like:FOXI1/FOXI2/FOXI3/FOXL3	Forkhead	Forkhead	ARCH1016_Foxa3/Foxa1/Foxa2_...	Forkhead	CisBP_I	486	0.198184225362422	0.153037253250617	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001627136.3	Tbx10/Tbx1	Tbx1/10-2	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH862_Tbx18/Tbx22/Tbx15_T...	T-box	CisBP_I	1	0.863716974417008	0.686515340500779	A1	FALSE	TRUE	other
Nvec_vc1.1_XM_001627423.3	Cic	""	HMGbox_Sox.HG1.10:BBX	HMG_box	HMGbox_Sox	ARCH482_/Lef1/Tcf7l1/Tcf7	HMGbox_Sox	CisBP_I	18	0.430060519711548	0.563178845540218	A1	FALSE	TRUE	other
Nvec_vc1.1_XM_001627544.3	Rhox10/Rhox7a/Rhox7b/Rhox3f/Rhox3h/Rhox3g/Rhox3a2/Rhox3a/Rhox3c/Rhox3e	""	Homeodomains.HG2.58:UNCX	Homeodomain	Homeodomains	ARCH637_Six1/_Six3/Six6_Six...	Homeodomains	CisBP_I	2	0.809626415504256	0.162345564425704	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_001627662.3	/E2f4	""	E2F_TDP.HG1.3:E2F4/E2F5	E2F_TDP/E2F_CC-MB	E2F_TDP	ARCH1220_/E2f4_E2f6_E2f8/E2f7	E2F_TDP	CisBP_I	286	0.185062809698028	0.0922444651393496	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001627792.3	Foxn4/Foxn1	""	Forkhead.HG1.12:FOXN1/FOXN4/FOXR1/FOXR2	Forkhead	Forkhead	ARCH954_Foxn4/Foxn1	Forkhead	CisBP_I	1632	-0.311133122257897	-0.132855540298207	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001627907.3	""	""	zf-C2H2.HG1.8:ZNF18/ZNF513/ZNF784/ZSCAN4/ZSCAN5A/ZSCAN5B	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	zf-C2H2	ARCH1201_Gfi1b/Gfi1	zf-C2H2	CisBP_I	50	0.492868362241302	-0.154757188821208	B1	FALSE	FALSE	none
Nvec_vc1.1_XM_001628041.3	Ubtfl1/Ubtf	""	HMGbox_Sox.HG1.24:HMGB1/HMGB2/HMGB3	HMG_box_2/HMG_box	HMGbox_Sox	ARCH76_CES-1__PB0171.1_Sox18_2	HMGbox_Sox	Homer_known	63	0.309216526791071	0.465303995521947	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001628087.3	""	""	Doublesex_DM.HG1.12:DMRTA1/DMRTA2/DMRTB1	DM/DMA	Doublesex_DM	ARCH1070_Dmrtc2_Irx6	Doublesex_DM	CisBP_I	173	0.297140688562695	0.0746436768179347	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001628278.3	""	""	HLH.HG1.75:like:ATOH8	HLH	HLH	ARCH144_BHLHE23	HLH	Homer_denovo	716	0.00541216546883597	0.518950217157085	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001628279.3	Atoh8	""	HLH.HG1.76:ATOH8	HLH	HLH	ARCH749_Ptf1a	HLH	CisBP_I	3	0.532345696034872	0.486049762880116	A1	FALSE	FALSE	none
Nvec_vc1.1_XM_001628300.3	""	""	HLH.HG1.84:NEUROG1/NEUROG2/NEUROG3	HLH	HLH	ARCH144_BHLHE23	HLH	Homer_denovo	1334	-0.121971581081903	0.51428816113836	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001628318.3	""	""	Myb.HG2.2:NA	MADF_DNA_bdg	Myb	ARCH1132_M06398_2.00	Myb	CisBP_N	172	0.0533831421073086	-0.0834860391323043	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001628319.3	Foxj3	""	Forkhead.HG1.25:FOXJ2/FOXJ3	Forkhead	Forkhead	ARCH975_Foxd2/Foxd4/Foxd3/F...	Forkhead	CisBP_I	1560	-0.0669484254250957	0.491873860796788	C1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001628634.3	Pax7/Pax3	""	Homeodomains.HG2.28:PAX3/PAX7	PAX/Homeodomain	Pax/Homeodomain	ARCH873_Pax5/Pax8/Pax2	Pax/Homeodomain	CisBP_I	2	0.506143262585621	0.398818115488611	B1	FALSE	FALSE	none
Nvec_vc1.1_XM_001628635.3	Pax7/Pax3	PAX3/7	Homeodomains.HG2.28:PAX3/PAX7	PAX/Homeodomain	Pax/Homeodomain	ARCH873_Pax5/Pax8/Pax2	Pax/Homeodomain	CisBP_I	2	0.503460570800003	0.0293179229886963	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_001628964.3	Foxk2/Foxk1	""	Forkhead.HG1.23:FOXK1/FOXK2	FHA/Forkhead	Forkhead	ARCH975_Foxd2/Foxd4/Foxd3/F...	Forkhead	CisBP_I	115	0.126773872936616	0.218015004513798	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001629218.3	""	TBX20	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH862_Tbx18/Tbx22/Tbx15_T...	T-box	CisBP_I	4	0.776117109351183	0.24169335164105	B1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001629605.3	""	""	SMAD_MH1.HG1.2:like:SMAD4	MH1/MH1/zf-HC5HC2H_2/PHD/PHD	SMAD_MH1	ARCH662_Smad4	SMAD_MH1	CisBP_I	561	0.0479286475379309	0.131032206862033	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001629694.3	Xbp1	XBP1	bZIP.HG1.16:XBP1	bZIP_1	bZIP	ARCH949_bZIP48	bZIP	Homer_known	19	0.19552984648193	0.501497628376256	C1	FALSE	TRUE	other
Nvec_vc1.1_XM_001629987.3	""	NvSoxE1	HMGbox_Sox.HG1.42:SOX8/SOX9/SOX10	Sox_N/HMG_box	HMGbox_Sox	ARCH924_/Lef1/Tcf7l1/Tcf7	HMGbox_Sox	CisBP_I	200	0.509530013515514	0.32891765764626	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_001630333.3	Cdc5lrt1/Cdc5lrt10/Cdc5lrt9/Cdc5lrt7/Cdc5lrt4/Cdc5l/Cdc5lrt8/Cdc5lrt6/Cdc5lrt5	""	Myb.HG1.0:CDC5L	Myb_DNA-bind_6/Myb_Cef	Myb	ARCH1062_Cdc5lrt1/Cdc5lrt10...	Myb	CisBP_I	501	0.0147459040694965	0.201607479552074	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001630336.3	""	""	zf-C4_Nuclear_receptors.HG1.40:NR2E1	zf-C4/Hormone_recep	zf-C4_Nuclear_receptors	ARCH411_Hnf4g/Hnf4a_Nr2c1/N...	zf-C4_Nuclear_receptors	CisBP_I	1198	-0.110851907321846	-0.0226336740262299	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001630363.3	Foxo1/Foxo6/Foxo3/Foxo4	""	Forkhead.HG1.29:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead/FOXO-TAD	Forkhead	ARCH829_PB0121.1_Foxj3_2	Forkhead	Homer_denovo	2	0.417744817558322	0.495075221857932	A1	FALSE	FALSE	none
Nvec_vc1.1_XM_001630519.3	Noto	""	Homeodomains.HG1.49:like:NOTO	Homeodomain	Homeodomains	ARCH17_Alx3/Alx4/Alx1_Barx2...	Homeodomains	CisBP_I	127	0.123071928615559	0.465961814435246	C1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001630676.3	""	""	Homeodomains.HG2.68:like:ARX/OTP	Homeodomain	Homeodomains	ARCH35_Hoxa13__HOXB13__Hoxd13	Homeodomains	Homer_known	1449	-0.130617871065728	0.427219773031915	C1	FALSE	TRUE	other
Nvec_vc1.1_XM_001630974.3	""	""	Myb.HG1.23:TERB1/TERF2	Myb_DNA-binding	Myb	ARCH1391_MYB113	Myb	Homer_known	609	0.0402767613393391	0.401072674629248	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001631093.3	Atf3/Jdp2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	bZIP	ARCH1610_Atf3/Jdp2_Atf7/Gm2...	bZIP	CisBP_I	804	-0.0652460140457703	-0.0109914145705303	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001631173.3	Vsx1/Vsx2	""	Homeodomains.HG2.62:VSX1/VSX2	Homeodomain	Homeodomains	ARCH335_Alx3/Alx4/Alx1_Barx...	Homeodomains	CisBP_I	28	0.331950948578896	0.189731911369002	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001631375.3	""	""	Homeodomains.HG2.70:ARX	Homeodomain/OAR	Homeodomains	ARCH216_Alx3/Alx4/Alx1_Barx...	Homeodomains	CisBP_I	53	0.345564113936332	0.292165861933328	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001631403.3	Mlxipl/Mlxip	""	HLH.HG1.14:MLXIP/MLXIPL	HLH	HLH	ARCH1068_bHLH122	HLH	Homer_known	907	-0.036816683114097	0.502030291761096	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001631543.3	Creb3l3//Creb3l4	""	bZIP.HG1.15:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	bZIP_1	bZIP	ARCH1612_Atf7/Gm28047/Creb5...	bZIP	CisBP_I	12	0.407147375345989	0.0676994748588299	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_001631607.3	Smad2/Smad3	""	SMAD_MH1.HG1.5:like:SMAD1/SMAD5/SMAD9	MH1/MH2	SMAD_MH1	ARCH733_Smad2/Smad3_Smad9/S...	SMAD_MH1	CisBP_I	125	0.137242696581948	-0.296048657545352	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001631673.3	Lhx5/Lhx1	""	Homeodomains.HG2.20:LHX1/LHX3/LHX4/LHX5/LMX1A/LMX1B	LIM/LIM/Homeodomain	Homeodomains	ARCH52_Alx3/Alx4/Alx1_Barx2...	Homeodomains	CisBP_I	12	0.514551526871749	0.495640452372937	A1	FALSE	TRUE	other
Nvec_vc1.1_XM_001631763.3	""	PaxA	Homeodomains.HG2.49:like:PAX1/PAX9	PAX	Pax	ARCH1423_M11209_2.00	Pax	CisBP_I	252	0.106453781533124	0.172141182010021	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001632367.3	Nkx3-2	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	Homeodomains	ARCH167_Nanog	Homeodomains	CisBP_D	2	0.47621572829032	0.343412951418979	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_001632368.2	""	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	Homeodomains	ARCH1520_Nkx2-2/Nkx2-9	Homeodomains	CisBP_I	1	0.557335776378078	0.171423562205193	B1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001632568.3	""	NvSoxB2a	HMGbox_Sox.HG1.34:SRY	HMG_box	HMGbox_Sox	ARCH1174_/Sox4/Sox11_Sox13/...	HMGbox_Sox	CisBP_I	2	0.437208583205511	0.097784019096967	B1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001632824.3	Tbx20	""	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH862_Tbx18/Tbx22/Tbx15_T...	T-box	CisBP_I	10	0.55581071426544	-0.163134053321369	B1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001632826.3	Hand2/Hand1	""	HLH.HG1.67:HAND1/HAND2	HLH	HLH	ARCH1068_bHLH122	HLH	Homer_known	138	0.644762026337587	0.357395490353932	B1	FALSE	FALSE	none
Nvec_vc1.1_XM_001632929.3	Shox2	""	Homeodomains.HG2.41:SHOX/SHOX2	Homeodomain	Homeodomains	ARCH1236_M06436_2.00	Homeodomains	CisBP_I	23	0.330971521810751	0.41406408813829	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001632947.3	Sox3/Sox2	NvSoxB1	HMGbox_Sox.HG1.35:SOX1/SOX2/SOX3/SOX14/SOX21	HMG_box/SOXp	HMGbox_Sox	ARCH67_Oct4:Sox17	HMGbox_Sox	Homer_known	5	0.636298458777975	0.458377552655795	A1	FALSE	TRUE	other
Nvec_vc1.1_XM_001633156.3	""	""	T-box.HG1.1:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	T-box	ARCH839_Tbx10/Tbx1_Tbx18/Tb...	T-box	CisBP_I	120	0.22656281902137	0.591405869044697	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001633273.3	Fos/Fosb/Fosl1/Fosl2	""	bZIP.HG1.17:ATF3/JDP2	bZIP_1	bZIP	ARCH1611_Fos/Fosb/Fosl1/Fosl2	bZIP	CisBP_I	1	0.568658703532089	-0.0685973155836345	B1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001633393.3	Crem/Creb1/Atf1	""	bZIP.HG1.18:ATF1/CREB1/CREM	pKID/bZIP_1	bZIP	ARCH1608_Atf3/Jdp2_Crem/Cre...	bZIP	CisBP_I	280	0.101382631081511	0.0350039609329169	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001633398.3	Prdm14	""	zf-C2H2.HG19.1:PRDM14	zf-H2C2_2/zf-C2H2	zf-C2H2	ARCH1201_Gfi1b/Gfi1	zf-C2H2	CisBP_I	208	0.309575010641784	0.531769450005981	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001633541.3	""	""	Homeodomains.HG3.5:like:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX/ONECUT1/ONECUT2/ONECUT3	SIX1_SD/Homeobox_KN	Homeodomains	ARCH273_HOXD3	Homeodomains	Homer_denovo	57	0.575423645767777	0.588340789256856	A1	FALSE	FALSE	none
Nvec_vc1.1_XM_001633762.3	""	""	HMGbox_Sox.HG1.37:like:SSRP1	HMG_box/HMG_box	HMGbox_Sox	ARCH1177_/Sox4/Sox11_Sox13/...	HMGbox_Sox	CisBP_I	27	0.246571993220978	0.428321768228934	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001633819.3	""	BHMG1	HLH.HG1.3:BHMG1	HLH	HLH	ARCH867_ZEB1__PL0011.1_hlh-...	HLH	Homer_known	10	0.58122633989152	0.241416649455575	B1	FALSE	FALSE	none
Nvec_vc1.1_XM_001633894.3	Tfap2d/Tfap2c/Tfap2e/Tfap2b/Tfap2a	""	AP-2.HG1.0:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	TF_AP-2	AP2	ARCH387_TFAP2E	AP2	Homer_denovo	3	0.738995722208796	0.290410842480991	B1	FALSE	FALSE	none
Nvec_vc1.1_XM_001633901.3	Tbx3/Tbx2	""	T-box.HG1.11:TBX2/TBX3	T-box	T-box	ARCH484_Tbx3/Tbx2	T-box	CisBP_I	172	0.192217956918445	0.280104257931868	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001633902.3	Tbx5/Tbx4	""	T-box.HG1.12:TBX4/TBX5	T-box	T-box	ARCH837_Tbx10/Tbx1_Tbx18/Tb...	T-box	CisBP_I	63	0.0864318614580566	0.594075800389656	C1	FALSE	FALSE	none
Nvec_vc1.1_XM_001633995.3	Irx6	""	Homeodomains.HG3.22:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX	Homeobox_KN	Homeodomains	ARCH126_Pbx4/Pbx2/Pbx1	Homeodomains	CisBP_I	35	0.439013234117414	0.0933065750063324	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_001634111.3	""	""	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead	Forkhead	ARCH829_PB0121.1_Foxj3_2	Forkhead	Homer_denovo	8	0.468553922763091	0.335480744452543	B1	FALSE	FALSE	none
Nvec_vc1.1_XM_001634116.3	""	""	Homeodomains.HG2.70:ARX	Homeodomain/OAR	Homeodomains	ARCH1236_M06436_2.00	Homeodomains	CisBP_I	7	0.626396427993896	0.23569974509201	B1	FALSE	TRUE	other
Nvec_vc1.1_XM_001634132.3	""	""	zf-C2H2.HG2.14:SP1/SP2/SP3/SP4/SP5/SP6/SP7/SP8/SP9	zf-C2H2/zf-C2H2	zf-C2H2	ARCH405_Sp6/Sp5_Sp7/Sp8/Sp9	zf-C2H2	CisBP_I	860	0.0333821187800927	-0.175111449731695	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001634160.3	Rax	""	Homeodomains.HG2.57:RAX/RAX2	Homeodomain/OAR	Homeodomains	ARCH1028_Alx3/Alx4/Alx1_Bar...	Homeodomains	CisBP_I	20	0.297232552439059	0.372091068030949	D1	TRUE	TRUE	assigned
Nvec_vc1.1_XM_001634198.3	""	""	Homeodomains.HG1.70:HOXA2/HOXB2/PDX1	Homeodomain	Homeodomains	ARCH1362_Six1/_Six4/Six5	Homeodomains	CisBP_I	1	0.746961851768392	0.439334721159748	A1	FALSE	TRUE	other
