gene	gene_module	membership_score	gene	gene_name	common_name	og	pfam	gene_list
Nvec_vc1.1_XM_032374743.2	darkolivegreen	0.629	Nvec_vc1.1_XM_032374743.2				PQ-loop/PQ-loop	
Nvec_vc1.1_XM_001622251.3	darkolivegreen	0.627	Nvec_vc1.1_XM_001622251.3	Mdp1			Acid_PPase	
Nvec_vc1.1_XM_001639083.3	darkolivegreen	0.626	Nvec_vc1.1_XM_001639083.3	Pycr1/Pycr2			F420_oxidored/P5CR_dimer	
Nvec_vc1.1_XM_001633334.3	darkolivegreen	0.62	Nvec_vc1.1_XM_001633334.3					
Nvec_vc1.1_XM_048724152.1	darkolivegreen	0.614	Nvec_vc1.1_XM_048724152.1	Pofut2			O-FucT	
Nvec_vc1.1_XM_032362579.2	darkolivegreen	0.611	Nvec_vc1.1_XM_032362579.2	Ssr1			TRAP_alpha	
Nvec_vc1.1_XM_001630323.3	darkolivegreen	0.603	Nvec_vc1.1_XM_001630323.3	Tmem72			TMEM72	
Nvec_vc1.1_XM_001632113.3	darkolivegreen	0.599	Nvec_vc1.1_XM_001632113.3	Tram2/Tram1/Tram1l1			TRAM1/TRAM_LAG1_CLN8	
Nvec_vc1.1_XM_001637091.3	darkolivegreen	0.589	Nvec_vc1.1_XM_001637091.3	Eif2d			Pre-PUA/SUI1	
Nvec_v1g187754	darkolivegreen	0.586	Nvec_v1g187754	Tmem229b				
Nvec_vc1.1_XM_001624952.3	darkolivegreen	0.584	Nvec_vc1.1_XM_001624952.3	Pla2g12a/Pla2g12b			PLA2G12	
Nvec_vc1.1_XM_032376379.2	darkolivegreen	0.583	Nvec_vc1.1_XM_032376379.2	Vcp			CDC48_N/CDC48_2/AAA/AAA_lid_3/AAA/AAA_lid_3/Vps4_C	
Nvec_vc1.1_XM_032370915.2	darkolivegreen	0.579	Nvec_vc1.1_XM_032370915.2				OATP/Kazal_2	
Nvec_vc1.1_XM_032365051.2	darkolivegreen	0.574	Nvec_vc1.1_XM_032365051.2				CUB/CUB	
Nvec_vc1.1_XM_032374631.2	darkolivegreen	0.568	Nvec_vc1.1_XM_032374631.2	Slc30a1			Cation_efflux	
Nvec_vc1.1_XM_048731984.1	darkolivegreen	0.565	Nvec_vc1.1_XM_048731984.1	Hyou1			HSP70	
Nvec_vc1.1_XM_032382979.2	darkolivegreen	0.564	Nvec_vc1.1_XM_032382979.2					
Nvec_vc1.1_XM_048721981.1	darkolivegreen	0.557	Nvec_vc1.1_XM_048721981.1				OATP/Kazal_2	
Nvec_vc1.1_XM_032372264.2	darkolivegreen	0.554	Nvec_vc1.1_XM_032372264.2	/Sox4/Sox11	NvSoxC	HMGbox_Sox.HG1.11:SOX4/SOX11/SOX12	HMG_box	tfs
Nvec_vc1.1_XM_001629282.3	darkolivegreen	0.541	Nvec_vc1.1_XM_001629282.3	Erp44			Thioredoxin/Thioredoxin_6	
Nvec_vc1.1_XM_032372346.2	darkolivegreen	0.54	Nvec_vc1.1_XM_032372346.2				UQ_con	
Nvec_vc1.1_XM_001627573.3	darkolivegreen	0.534	Nvec_vc1.1_XM_001627573.3	Miox			MIOX	
Nvec_vc1.1_XM_001631736.3	darkolivegreen	0.53	Nvec_vc1.1_XM_001631736.3					
Nvec_vc1.1_XM_001635582.3	darkolivegreen	0.529	Nvec_vc1.1_XM_001635582.3	Tmub2/Tmub1			ubiquitin	
Nvec_vc1.1_XM_001632960.3	darkolivegreen	0.524	Nvec_vc1.1_XM_001632960.3					
Nvec_vc1.1_XM_048727633.1	darkolivegreen	0.522	Nvec_vc1.1_XM_048727633.1	Dpy19l1/Dpy19l2			Dpy19	
Nvec_vc1.1_XM_032362647.2	darkolivegreen	0.522	Nvec_vc1.1_XM_032362647.2	Slc22a15			Sugar_tr	
Nvec_vc1.1_XM_032378312.2	darkolivegreen	0.522	Nvec_vc1.1_XM_032378312.2			zf-C2H2.HG119.1:NA	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_vc1.1_XM_048733175.1	darkolivegreen	0.521	Nvec_vc1.1_XM_048733175.1	Dcun1d5/Dcun1d4			PAN_1/Cullin_binding	
Nvec_vc1.1_XM_032383125.2	darkolivegreen	0.518	Nvec_vc1.1_XM_032383125.2	Ccdc134			ERK-JNK_inhib	
Nvec_vc1.1_XM_032382444.2	darkolivegreen	0.516	Nvec_vc1.1_XM_032382444.2	Ogfod3			2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_032380448.2	darkolivegreen	0.515	Nvec_vc1.1_XM_032380448.2	Emc2				
Nvec_vc1.1_XM_032383627.2	darkolivegreen	0.511	Nvec_vc1.1_XM_032383627.2				ABC_tran/ABC2_membrane_7/ABC2_membrane	
Nvec_vc1.1_XM_001638606.3	darkolivegreen	0.51	Nvec_vc1.1_XM_001638606.3	Bloc1s6			Snapin_Pallidin	
Nvec_vc1.1_XM_001635056.3	darkolivegreen	0.509	Nvec_vc1.1_XM_001635056.3				RPE65	
Nvec_vc1.1_XM_001625050.3	darkolivegreen	0.507	Nvec_vc1.1_XM_001625050.3				HlyIII	
Nvec_vc1.1_XM_001623600.3	darkolivegreen	0.504	Nvec_vc1.1_XM_001623600.3					
Nvec_vc1.1_XM_032376954.2	darkolivegreen	0.502	Nvec_vc1.1_XM_032376954.2	Sacm1l			Syja_N	
Nvec_vc1.1_XM_001621928.3	darkolivegreen	0.502	Nvec_vc1.1_XM_001621928.3				SET	
Nvec_vc1.1_XM_048732166.1	darkolivegreen	0.502	Nvec_vc1.1_XM_048732166.1	Ampd1/Ampd3/Ampd2			A_deaminase	
Nvec_vc1.1_XM_032363077.2	royalblue	0.98	Nvec_vc1.1_XM_032363077.2				Ion_trans_2/Ion_trans_2	
Nvec_vc1.1_XM_001640113.3	royalblue	0.98	Nvec_vc1.1_XM_001640113.3				VWA	
Nvec_vc1.1_XM_032376976.2	royalblue	0.977	Nvec_vc1.1_XM_032376976.2				2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_032374107.2	royalblue	0.976	Nvec_vc1.1_XM_032374107.2	Fkbp14/Fkbp7			FKBP_C	
Nvec_vc1.1_XM_048723028.1	royalblue	0.975	Nvec_vc1.1_XM_048723028.1	Dkk3			Dickkopf_N	
Nvec_vc1.1_XM_032373526.2	royalblue	0.974	Nvec_vc1.1_XM_032373526.2				Glyco_tran_10_N/Glyco_transf_10	
Nvec_vc1.1_XM_032382976.2	royalblue	0.969	Nvec_vc1.1_XM_032382976.2	Dkk3				
Nvec_vc1.1_XM_048720865.1	royalblue	0.966	Nvec_vc1.1_XM_048720865.1	Eva1c			Collagen/Gal_Lectin	
Nvec_vc1.1_XM_032384132.2	royalblue	0.962	Nvec_vc1.1_XM_032384132.2				Astacin/TSP_1/TSP_1	
Nvec_vc1.1_XM_001633250.3	royalblue	0.961	Nvec_vc1.1_XM_001633250.3					
Nvec_vc1.1_XM_032365674.2	royalblue	0.96	Nvec_vc1.1_XM_032365674.2				STELLO	
Nvec_vc1.1_XM_032377010.2	royalblue	0.955	Nvec_vc1.1_XM_032377010.2				zf-C3HC4_3	
Nvec_vc1.1_XM_001635834.3	royalblue	0.953	Nvec_vc1.1_XM_001635834.3					
Nvec_NVE18354	royalblue	0.953	Nvec_NVE18354					
Nvec_vc1.1_XM_048734277.1	royalblue	0.952	Nvec_vc1.1_XM_048734277.1	B3gat1/B3gat2/B3gat3			Glyco_transf_43	
Nvec_vc1.1_XM_001622637.3	royalblue	0.952	Nvec_vc1.1_XM_001622637.3				STELLO	
Nvec_vc1.1_XM_032364331.2	royalblue	0.942	Nvec_vc1.1_XM_032364331.2		TEAD	TEA.HG1.0:TEAD1/TEAD2/TEAD3/TEAD4	TEA	tfs
Nvec_vc1.1_XM_001642032.3	royalblue	0.942	Nvec_vc1.1_XM_001642032.3	Dkk3				
Nvec_vc1.1_XM_048728083.1	royalblue	0.941	Nvec_vc1.1_XM_048728083.1					
Nvec_vc1.1_XM_032380317.2	royalblue	0.94	Nvec_vc1.1_XM_032380317.2				PGA_cap	
Nvec_vc1.1_XM_032373153.2	royalblue	0.939	Nvec_vc1.1_XM_032373153.2					
Nvec_vc1.1_XM_001636648.3	royalblue	0.938	Nvec_vc1.1_XM_001636648.3				G_glu_transpept	
Nvec_vc1.1_XM_032365728.2	royalblue	0.937	Nvec_vc1.1_XM_032365728.2				Ricin_B_lectin	
Nvec_vc1.1_XM_048728730.1	royalblue	0.935	Nvec_vc1.1_XM_048728730.1					
Nvec_vc1.1_XM_048723046.1	royalblue	0.934	Nvec_vc1.1_XM_048723046.1	Creb3l2/Creb3l1		bZIP.HG1.14:like:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	bZIP_1	tfs
Nvec_vc1.1_XM_048731923.1	royalblue	0.933	Nvec_vc1.1_XM_048731923.1				2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_032363026.2	royalblue	0.931	Nvec_vc1.1_XM_032363026.2		Minicollagen-3/Ncol-3		Collagen	
Nvec_vc1.1_XM_001633906.3	royalblue	0.928	Nvec_vc1.1_XM_001633906.3				GILT	
Nvec_vc1.1_XM_032386280.2	royalblue	0.928	Nvec_vc1.1_XM_032386280.2	Bpi/Lbp/Bpifc/Pltp/Bpifb4/Bpifb3/Bpifb2			LBP_BPI_CETP	
Nvec_vc1.1_XM_032367620.2	royalblue	0.926	Nvec_vc1.1_XM_032367620.2				LicD	
Nvec_vc1.1_XM_001631763.3	royalblue	0.926	Nvec_vc1.1_XM_001631763.3		PaxA	Homeodomains.HG2.49:like:PAX1/PAX9	PAX	tfs
Nvec_vc1.1_XM_032372027.2	royalblue	0.921	Nvec_vc1.1_XM_032372027.2				EamA/EamA	
Nvec_vc1.1_XM_032364376.2	royalblue	0.919	Nvec_vc1.1_XM_032364376.2				2OG-FeII_Oxy_3	
Nvec_NVE14765	royalblue	0.917	Nvec_NVE14765					
Nvec_vc1.1_XM_001622537.3	royalblue	0.917	Nvec_vc1.1_XM_001622537.3				P4Ha_N/2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_032376356.2	royalblue	0.915	Nvec_vc1.1_XM_032376356.2				Gal-3-0_sulfotr	
Nvec_vc1.1_XM_001637220.3	royalblue	0.914	Nvec_vc1.1_XM_001637220.3				Zip	
Nvec_vc1.1_XM_032373652.2	royalblue	0.912	Nvec_vc1.1_XM_032373652.2				Glyco_hydro_10	
Nvec_vc1.1_XM_001639511.3	royalblue	0.911	Nvec_vc1.1_XM_001639511.3				FKBP_C/EF-hand_7	
Nvec_NVE14804	royalblue	0.908	Nvec_NVE14804					
Nvec_vc1.1_XM_001623797.3	royalblue	0.908	Nvec_vc1.1_XM_001623797.3				C2/C2	
Nvec_vc1.1_XM_048724131.1	royalblue	0.902	Nvec_vc1.1_XM_048724131.1				Tubulin/Tubulin_C	
Nvec_vc1.1_XM_001640816.3	royalblue	0.901	Nvec_vc1.1_XM_001640816.3	B4galt7			Glyco_transf_7N/Glyco_transf_7C	
Nvec_vc1.1_XM_048728442.1	royalblue	0.901	Nvec_vc1.1_XM_048728442.1	Tmem43			TMEM43	
Nvec_vc1.1_XM_032377751.2	royalblue	0.9	Nvec_vc1.1_XM_032377751.2				MFS_1_like	
Nvec_vc1.1_XM_048720648.1	royalblue	0.897	Nvec_vc1.1_XM_048720648.1	P4htm			2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_001633026.3	royalblue	0.892	Nvec_vc1.1_XM_001633026.3				Galactosyl_T	
Nvec_vc1.1_XM_001640020.3	royalblue	0.889	Nvec_vc1.1_XM_001640020.3				Na_Ca_ex/Na_Ca_ex	
Nvec_vc1.1_XM_001629313.3	royalblue	0.889	Nvec_vc1.1_XM_001629313.3					
Nvec_vc1.1_XM_001634328.3	royalblue	0.888	Nvec_vc1.1_XM_001634328.3		NR12	zf-C4_Nuclear_receptors.HG1.24:like:NR2F1/NR2F2/NR2F6	zf-C4/Hormone_recep	tfs
Nvec_vc1.1_XM_001638936.3	royalblue	0.879	Nvec_vc1.1_XM_001638936.3					
Nvec_vc1.1_XM_001640218.3	royalblue	0.877	Nvec_vc1.1_XM_001640218.3				Laminin_G_3	
Nvec_vc1.1_XM_032364562.2	royalblue	0.874	Nvec_vc1.1_XM_032364562.2				PAE	
Nvec_v1g205109	royalblue	0.872	Nvec_v1g205109					
Nvec_vc1.1_XM_001629160.3	royalblue	0.869	Nvec_vc1.1_XM_001629160.3				Kazal_2	
Nvec_vc1.1_XM_032365913.2	royalblue	0.867	Nvec_vc1.1_XM_032365913.2				Filamin	
Nvec_vc1.1_XM_001632288.3	royalblue	0.863	Nvec_vc1.1_XM_001632288.3				Sulfotransfer_1	
Nvec_v1g241767	royalblue	0.86	Nvec_v1g241767			bZIP.HG1.3:like:JUN/JUNB/JUND	Jun	tfs
Nvec_vc1.1_XM_048730283.1	royalblue	0.856	Nvec_vc1.1_XM_048730283.1	Atf3/Jdp2		bZIP.HG1.17:ATF3/JDP2	bZIP_1	tfs
Nvec_vc1.1_XM_032377918.2	royalblue	0.854	Nvec_vc1.1_XM_032377918.2	Map3k13/Map3k12			Pkinase_Tyr	
Nvec_vc1.1_XM_048720967.1	royalblue	0.854	Nvec_vc1.1_XM_048720967.1				2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_001622690.3	royalblue	0.846	Nvec_vc1.1_XM_001622690.3				Phospholip_A2_3	
Nvec_vc1.1_XM_032383478.2	royalblue	0.843	Nvec_vc1.1_XM_032383478.2					
Nvec_vc1.1_XM_048726931.1	royalblue	0.836	Nvec_vc1.1_XM_048726931.1	Svop			Sugar_tr/Sugar_tr	
Nvec_vc1.1_XM_048723040.1	royalblue	0.835	Nvec_vc1.1_XM_048723040.1					
Nvec_vc1.1_XM_032385508.2	royalblue	0.825	Nvec_vc1.1_XM_032385508.2	Dnajc22			TM2/DnaJ	
Nvec_vc1.1_XM_001631417.3	royalblue	0.825	Nvec_vc1.1_XM_001631417.3	Avpr1a/Npsr1/Avpr1b/Oxtr/Gnrhr			7tm_1	
Nvec_vc1.1_XM_048728565.1	royalblue	0.817	Nvec_vc1.1_XM_048728565.1				Sulfotransfer_2	
Nvec_vc1.1_XM_032373941.2	royalblue	0.814	Nvec_vc1.1_XM_032373941.2					
Nvec_vc1.1_XM_001635589.3	royalblue	0.812	Nvec_vc1.1_XM_001635589.3	Cnpy2/Cnpy1			DUF3456	
Nvec_vc1.1_XM_032364830.2	royalblue	0.804	Nvec_vc1.1_XM_032364830.2				Thioredoxin_7/Thioredoxin_7/Thioredoxin_7/Thioredoxin_7/Thioredoxin_7/Thioredoxin_7/Thioredoxin_7	
Nvec_vc1.1_XM_001635931.3	royalblue	0.799	Nvec_vc1.1_XM_001635931.3	Slc35e3			TPT	
Nvec_vc1.1_XM_032370216.2	royalblue	0.793	Nvec_vc1.1_XM_032370216.2					
Nvec_vc1.1_XM_001630922.3	royalblue	0.79	Nvec_vc1.1_XM_001630922.3	Tpst2/Tpst1			Sulfotransfer_3	
Nvec_vc1.1_XM_001629416.3	royalblue	0.789	Nvec_vc1.1_XM_001629416.3				MFS_1_like	
Nvec_vc1.1_XM_048730561.1	royalblue	0.785	Nvec_vc1.1_XM_048730561.1				EMP24_GP25L	
Nvec_vc1.1_XM_032386408.2	royalblue	0.782	Nvec_vc1.1_XM_032386408.2				Ank/Ank_2	
Nvec_vc1.1_XM_048724014.1	royalblue	0.774	Nvec_vc1.1_XM_048724014.1	Manf/Cdnf			Armet	
Nvec_v1g241566	royalblue	0.774	Nvec_v1g241566					
Nvec_vc1.1_XM_001641550.3	royalblue	0.767	Nvec_vc1.1_XM_001641550.3				EMP24_GP25L	
Nvec_NVE12267	royalblue	0.766	Nvec_NVE12267					
Nvec_vc1.1_XM_048731354.1	royalblue	0.754	Nvec_vc1.1_XM_048731354.1					
Nvec_vc1.1_XM_001622929.3	royalblue	0.746	Nvec_vc1.1_XM_001622929.3				Trypsin	
Nvec_vc1.1_XM_048728799.1	royalblue	0.744	Nvec_vc1.1_XM_048728799.1				Filamin/NHL/DUF5128/NHL/NHL/NHL	
Nvec_vc1.1_XM_032361869.2	royalblue	0.74	Nvec_vc1.1_XM_032361869.2	Creld2/Creld1			EGF_CA/EGF_CA	
Nvec_vc1.1_XM_048725926.1	royalblue	0.738	Nvec_vc1.1_XM_048725926.1	Gusb			Glyco_hydro_2_N/Glyco_hydro_2/Glyco_hydro_2_C	
Nvec_vc1.1_XM_032375666.2	royalblue	0.735	Nvec_vc1.1_XM_032375666.2	Aqp12/Aqp11			MIP	
Nvec_vc1.1_XM_048725618.1	royalblue	0.728	Nvec_vc1.1_XM_048725618.1	Dnajc30			DnaJ/RTC	
Nvec_vc1.1_XM_001636754.3	royalblue	0.72	Nvec_vc1.1_XM_001636754.3				BTB/BACK/PHR	
Nvec_vc1.1_XM_001628369.3	royalblue	0.72	Nvec_vc1.1_XM_001628369.3				Profilin	
Nvec_v1g179472	royalblue	0.716	Nvec_v1g179472	Serf1/Serf2			4F5	
Nvec_vc1.1_XM_001632569.3	royalblue	0.715	Nvec_vc1.1_XM_001632569.3				Pro_CA	
Nvec_vc1.1_XM_001640965.3	royalblue	0.709	Nvec_vc1.1_XM_001640965.3				BTB/BACK/PHR	
Nvec_vc1.1_XM_048725649.1	royalblue	0.707	Nvec_vc1.1_XM_048725649.1	Phex//Mme			Peptidase_M13_N/Peptidase_M13	
Nvec_vc1.1_XM_001628787.3	royalblue	0.701	Nvec_vc1.1_XM_001628787.3	Nenf			Cyt-b5	
Nvec_vc1.1_XM_001637357.3	royalblue	0.699	Nvec_vc1.1_XM_001637357.3	Hsp90b1			HATPase_c/HSP90	
Nvec_vc1.1_XM_001629544.3	royalblue	0.697	Nvec_vc1.1_XM_001629544.3				Gal-3-0_sulfotr	
Nvec_vc1.1_XM_001635181.3	royalblue	0.696	Nvec_vc1.1_XM_001635181.3				Glyco_transf_43	
Nvec_vc1.1_XM_048734436.1	royalblue	0.693	Nvec_vc1.1_XM_048734436.1					
Nvec_vc1.1_XM_032374508.2	royalblue	0.68	Nvec_vc1.1_XM_032374508.2				Rubis-subs-bind	
Nvec_vc1.1_XM_048728684.1	royalblue	0.676	Nvec_vc1.1_XM_048728684.1					
Nvec_vc1.1_XM_048734247.1	royalblue	0.675	Nvec_vc1.1_XM_048734247.1				PAN_1/Pentaxin	
Nvec_vc1.1_XM_048727213.1	royalblue	0.673	Nvec_vc1.1_XM_048727213.1	Gusb			Glyco_hydro_2_N/Glyco_hydro_2/Glyco_hydro_2_C	
Nvec_vc1.1_XM_001634318.3	royalblue	0.667	Nvec_vc1.1_XM_001634318.3	Sec22b			Longin/Synaptobrevin	
Nvec_vc1.1_XM_001639764.3	royalblue	0.667	Nvec_vc1.1_XM_001639764.3				Ceramidase	
Nvec_vc1.1_XM_032366334.2	royalblue	0.666	Nvec_vc1.1_XM_032366334.2	Slc35b1			UAA	
Nvec_vc1.1_XM_048729127.1	royalblue	0.66	Nvec_vc1.1_XM_048729127.1				CAP/CAP	
Nvec_vc1.1_XM_001637201.3	royalblue	0.658	Nvec_vc1.1_XM_001637201.3				Frag1	
Nvec_vc1.1_XM_032372943.2	royalblue	0.657	Nvec_vc1.1_XM_032372943.2				Gal-3-0_sulfotr	
Nvec_vc1.1_XM_032374974.2	royalblue	0.656	Nvec_vc1.1_XM_032374974.2	Nrsn1/Nrsn2			Neurensin	
Nvec_vc1.1_XM_001629547.3	royalblue	0.648	Nvec_vc1.1_XM_001629547.3				EF-hand_7	
Nvec_vc1.1_XM_032364875.2	royalblue	0.644	Nvec_vc1.1_XM_032364875.2	Slc7a14			AA_permease_2/AA_permease_C	
Nvec_vc1.1_XM_001635563.3	royalblue	0.636	Nvec_vc1.1_XM_001635563.3	Dnajc12			DnaJ	
Nvec_vc1.1_XM_001627158.3	royalblue	0.635	Nvec_vc1.1_XM_001627158.3	Ugdh			UDPG_MGDP_dh_N/UDPG_MGDP_dh/UDPG_MGDP_dh_C	
Nvec_vc1.1_XM_048724291.1	royalblue	0.631	Nvec_vc1.1_XM_048724291.1	Pcbp1/Pcbp3/Pcbp2/Pcbp4			KH_1/KH_1/KH_1	
Nvec_vc1.1_XM_001626338.3	royalblue	0.63	Nvec_vc1.1_XM_001626338.3	Xcr1/Gpr15			7tm_1	
