gene	gene_module	membership_score	gene	gene_name	common_name	og	pfam	gene_list
Nvec_vc1.1_XM_001629694.3	violet	0.638	Nvec_vc1.1_XM_001629694.3	Xbp1	XBP1	bZIP.HG1.16:XBP1	bZIP_1	tfs
Nvec_vc1.1_XM_001632295.3	violet	0.636	Nvec_vc1.1_XM_001632295.3				FKBP_C	
Nvec_vc1.1_XM_032380213.2	violet	0.635	Nvec_vc1.1_XM_032380213.2				EF-hand_7	
Nvec_vc1.1_XM_001639083.3	violet	0.631	Nvec_vc1.1_XM_001639083.3	Pycr1/Pycr2			F420_oxidored/P5CR_dimer	
Nvec_vc1.1_XM_001622251.3	violet	0.627	Nvec_vc1.1_XM_001622251.3	Mdp1			Acid_PPase	
Nvec_vc1.1_XM_048724152.1	violet	0.614	Nvec_vc1.1_XM_048724152.1	Pofut2			O-FucT	
Nvec_vc1.1_XM_032362579.2	violet	0.614	Nvec_vc1.1_XM_032362579.2	Ssr1			TRAP_alpha	
Nvec_vc1.1_XM_001633334.3	violet	0.612	Nvec_vc1.1_XM_001633334.3					
Nvec_vc1.1_XM_032370915.2	violet	0.6	Nvec_vc1.1_XM_032370915.2				OATP/Kazal_2	
Nvec_vc1.1_XM_001632113.3	violet	0.598	Nvec_vc1.1_XM_001632113.3	Tram2/Tram1/Tram1l1			TRAM1/TRAM_LAG1_CLN8	
Nvec_vc1.1_XM_032376379.2	violet	0.586	Nvec_vc1.1_XM_032376379.2	Vcp			CDC48_N/CDC48_2/AAA/AAA_lid_3/AAA/AAA_lid_3/Vps4_C	
Nvec_vc1.1_XM_001637091.3	violet	0.585	Nvec_vc1.1_XM_001637091.3	Eif2d			Pre-PUA/SUI1	
Nvec_vc1.1_XM_032382979.2	violet	0.568	Nvec_vc1.1_XM_032382979.2					
Nvec_vc1.1_XM_048721981.1	violet	0.563	Nvec_vc1.1_XM_048721981.1				OATP/Kazal_2	
Nvec_vc1.1_XM_032372710.2	violet	0.549	Nvec_vc1.1_XM_032372710.2	Sdc3/Sdc1			Syndecan	
Nvec_vc1.1_XM_032372264.2	violet	0.544	Nvec_vc1.1_XM_032372264.2	/Sox4/Sox11	NvSoxC	HMGbox_Sox.HG1.11:SOX4/SOX11/SOX12	HMG_box	tfs
Nvec_vc1.1_XM_001632960.3	violet	0.541	Nvec_vc1.1_XM_001632960.3					
Nvec_vc1.1_XM_032378312.2	violet	0.536	Nvec_vc1.1_XM_032378312.2			zf-C2H2.HG119.1:NA	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_vc1.1_XM_032380448.2	violet	0.532	Nvec_vc1.1_XM_032380448.2	Emc2				
Nvec_vc1.1_XM_001635582.3	violet	0.53	Nvec_vc1.1_XM_001635582.3	Tmub2/Tmub1			ubiquitin	
Nvec_vc1.1_XM_001631736.3	violet	0.525	Nvec_vc1.1_XM_001631736.3					
Nvec_vc1.1_XM_001627573.3	violet	0.524	Nvec_vc1.1_XM_001627573.3	Miox			MIOX	
Nvec_vc1.1_XM_048732166.1	violet	0.522	Nvec_vc1.1_XM_048732166.1	Ampd1/Ampd3/Ampd2			A_deaminase	
Nvec_vc1.1_XM_032362647.2	violet	0.521	Nvec_vc1.1_XM_032362647.2	Slc22a15			Sugar_tr	
Nvec_vc1.1_XM_032376954.2	violet	0.517	Nvec_vc1.1_XM_032376954.2	Sacm1l			Syja_N	
Nvec_vc1.1_XM_032383125.2	violet	0.513	Nvec_vc1.1_XM_032383125.2	Ccdc134			ERK-JNK_inhib	
Nvec_vc1.1_XM_001635015.3	violet	0.509	Nvec_vc1.1_XM_001635015.3	Rhox7a/Rhox7b/Prop1/Rhox2e/Rhox2h/Rhox2f/Rhox2d/Rhox2g/Rhox2b/Rhox2c/Rhox2a		Homeodomains.HG2.68:like:ARX/OTP	Homeodomain	tfs
Nvec_vc1.1_XM_048733175.1	violet	0.506	Nvec_vc1.1_XM_048733175.1	Dcun1d5/Dcun1d4			PAN_1/Cullin_binding	
Nvec_vc1.1_XM_001625050.3	violet	0.503	Nvec_vc1.1_XM_001625050.3				HlyIII	
Nvec_vc1.1_XM_048730179.1	darkolivegreen	0.986	Nvec_vc1.1_XM_048730179.1				ShK/ShK/ShK	
Nvec_vc1.1_XM_048720926.1	darkolivegreen	0.98	Nvec_vc1.1_XM_048720926.1				Collagen/Collagen	
Nvec_vc1.1_XM_001638777.3	darkolivegreen	0.98	Nvec_vc1.1_XM_001638777.3				ShK/ShK/ShK	
Nvec_vc1.1_XM_032375784.2	darkolivegreen	0.971	Nvec_vc1.1_XM_032375784.2				ShK/ShK	
Nvec_vc1.1_XM_048726929.1	darkolivegreen	0.969	Nvec_vc1.1_XM_048726929.1				Gal_Lectin/Gal_Lectin	
Nvec_vc1.1_XM_032367729.2	darkolivegreen	0.957	Nvec_vc1.1_XM_032367729.2				Gal_Lectin/Gal_Lectin	
Nvec_vc1.1_XM_048730230.1	darkolivegreen	0.955	Nvec_vc1.1_XM_048730230.1	Bsph1			fn2/fn2	
Nvec_vc1.1_XM_032384018.2	darkolivegreen	0.955	Nvec_vc1.1_XM_032384018.2				G_glu_transpept	
Nvec_vc1.1_XM_001641135.3	darkolivegreen	0.953	Nvec_vc1.1_XM_001641135.3					
Nvec_vc1.1_XM_032385587.2	darkolivegreen	0.952	Nvec_vc1.1_XM_032385587.2					
Nvec_vc1.1_XM_048723003.1	darkolivegreen	0.952	Nvec_vc1.1_XM_048723003.1				CAP	
Nvec_vc1.1_XM_001639551.3	darkolivegreen	0.951	Nvec_vc1.1_XM_001639551.3				CAP	
Nvec_vc1.1_XM_001627444.3	darkolivegreen	0.949	Nvec_vc1.1_XM_001627444.3				GDA1_CD39	
Nvec_vc1.1_XM_032377394.2	darkolivegreen	0.945	Nvec_vc1.1_XM_032377394.2					
Nvec_vc1.1_XM_032384592.2	darkolivegreen	0.943	Nvec_vc1.1_XM_032384592.2				GSHPx	
Nvec_vc1.1_XM_032376085.2	darkolivegreen	0.939	Nvec_vc1.1_XM_032376085.2					
Nvec_vc1.1_XM_048729461.1	darkolivegreen	0.939	Nvec_vc1.1_XM_048729461.1				MFS_1	
Nvec_vc1.1_XM_032364437.2	darkolivegreen	0.938	Nvec_vc1.1_XM_032364437.2				CAP	
Nvec_vc1.1_XM_001641901.3	darkolivegreen	0.934	Nvec_vc1.1_XM_001641901.3	Dkk3			Dickkopf_N	
Nvec_vc1.1_XM_032377686.2	darkolivegreen	0.924	Nvec_vc1.1_XM_032377686.2					
Nvec_vc1.1_XM_001634802.3	darkolivegreen	0.921	Nvec_vc1.1_XM_001634802.3				EF-hand_8/EF-hand_5	
Nvec_vc1.1_XM_032381265.2	darkolivegreen	0.89	Nvec_vc1.1_XM_032381265.2					
Nvec_vc1.1_XM_048728138.1	darkolivegreen	0.89	Nvec_vc1.1_XM_048728138.1					
Nvec_vc1.1_XM_048734082.1	darkolivegreen	0.887	Nvec_vc1.1_XM_048734082.1				EGF/EGF/EGF/hEGF/hEGF/EGF/EGF/hEGF/EGF	
Nvec_vc1.1_XM_048723899.1	darkolivegreen	0.881	Nvec_vc1.1_XM_048723899.1				VWA	
Nvec_vc1.1_XM_001640020.3	darkolivegreen	0.88	Nvec_vc1.1_XM_001640020.3				Na_Ca_ex/Na_Ca_ex	
Nvec_vc1.1_XM_048725206.1	darkolivegreen	0.863	Nvec_vc1.1_XM_048725206.1				Collagen	
Nvec_vc1.1_XM_048728731.1	darkolivegreen	0.86	Nvec_vc1.1_XM_048728731.1					
Nvec_vc1.1_XM_032374997.2	darkolivegreen	0.853	Nvec_vc1.1_XM_032374997.2				AbfB/TSP_1/fn2	
Nvec_vc1.1_XM_032366700.2	darkolivegreen	0.827	Nvec_vc1.1_XM_032366700.2					
Nvec_vc1.1_XM_001640961.3	darkolivegreen	0.825	Nvec_vc1.1_XM_001640961.3				MFS_1_like	
Nvec_vc1.1_XM_001637752.3	darkolivegreen	0.815	Nvec_vc1.1_XM_001637752.3				CLN3/CLN3	
Nvec_vc1.1_XM_001633704.3	darkolivegreen	0.814	Nvec_vc1.1_XM_001633704.3				PA/Peptidase_M28/TFR_dimer	
Nvec_vc1.1_XM_032382711.2	darkolivegreen	0.81	Nvec_vc1.1_XM_032382711.2				Peptidase_M13_N/Peptidase_M13	
Nvec_vc1.1_XM_048722035.1	darkolivegreen	0.794	Nvec_vc1.1_XM_048722035.1				MACPF/F5_F8_type_C	
Nvec_vc1.1_XM_048724374.1	darkolivegreen	0.77	Nvec_vc1.1_XM_048724374.1				MFS_1_like	
Nvec_vc1.1_XM_001632755.3	darkolivegreen	0.71	Nvec_vc1.1_XM_001632755.3				Phospholip_A2_1	
Nvec_vc1.1_XM_048730546.1	darkolivegreen	0.707	Nvec_vc1.1_XM_048730546.1					
Nvec_vc1.1_XM_001623762.3	darkolivegreen	0.698	Nvec_vc1.1_XM_001623762.3				MFS_1	
Nvec_vc1.1_XM_048728684.1	darkolivegreen	0.678	Nvec_vc1.1_XM_048728684.1					
Nvec_vc1.1_XM_048734081.1	darkolivegreen	0.664	Nvec_vc1.1_XM_048734081.1				EGF/EGF/EGF/EGF/EGF/EGF/EGF	
Nvec_vc1.1_XM_001629168.3	darkolivegreen	0.586	Nvec_vc1.1_XM_001629168.3	Pdia6			Thioredoxin/Thioredoxin	
Nvec_vc1.1_XM_032362974.2	darkolivegreen	0.572	Nvec_vc1.1_XM_032362974.2				7tm_1	
Nvec_vc1.1_XM_048728923.1	darkolivegreen	0.558	Nvec_vc1.1_XM_048728923.1				MFS_1	
Nvec_vc1.1_XM_032363077.2	darkred	0.981	Nvec_vc1.1_XM_032363077.2				Ion_trans_2/Ion_trans_2	
Nvec_vc1.1_XM_032376976.2	darkred	0.981	Nvec_vc1.1_XM_032376976.2				2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_032373526.2	darkred	0.981	Nvec_vc1.1_XM_032373526.2				Glyco_tran_10_N/Glyco_transf_10	
Nvec_vc1.1_XM_001640113.3	darkred	0.979	Nvec_vc1.1_XM_001640113.3				VWA	
Nvec_vc1.1_XM_032374107.2	darkred	0.976	Nvec_vc1.1_XM_032374107.2	Fkbp14/Fkbp7			FKBP_C	
Nvec_vc1.1_XM_048723028.1	darkred	0.973	Nvec_vc1.1_XM_048723028.1	Dkk3			Dickkopf_N	
Nvec_vc1.1_XM_001633250.3	darkred	0.967	Nvec_vc1.1_XM_001633250.3					
Nvec_vc1.1_XM_032384132.2	darkred	0.963	Nvec_vc1.1_XM_032384132.2				Astacin/TSP_1/TSP_1	
Nvec_vc1.1_XM_032365674.2	darkred	0.963	Nvec_vc1.1_XM_032365674.2				STELLO	
Nvec_vc1.1_XM_048720865.1	darkred	0.963	Nvec_vc1.1_XM_048720865.1	Eva1c			Collagen/Gal_Lectin	
Nvec_vc1.1_XM_032382976.2	darkred	0.961	Nvec_vc1.1_XM_032382976.2	Dkk3				
Nvec_vc1.1_XM_001635834.3	darkred	0.956	Nvec_vc1.1_XM_001635834.3					
Nvec_vc1.1_XM_001622637.3	darkred	0.956	Nvec_vc1.1_XM_001622637.3				STELLO	
Nvec_vc1.1_XM_032377010.2	darkred	0.953	Nvec_vc1.1_XM_032377010.2				zf-C3HC4_3	
Nvec_vc1.1_XM_048734277.1	darkred	0.953	Nvec_vc1.1_XM_048734277.1	B3gat1/B3gat2/B3gat3			Glyco_transf_43	
Nvec_NVE18354	darkred	0.953	Nvec_NVE18354					
Nvec_vc1.1_XM_032380317.2	darkred	0.948	Nvec_vc1.1_XM_032380317.2				PGA_cap	
Nvec_vc1.1_XM_032364331.2	darkred	0.946	Nvec_vc1.1_XM_032364331.2		TEAD	TEA.HG1.0:TEAD1/TEAD2/TEAD3/TEAD4	TEA	tfs
Nvec_vc1.1_XM_032373153.2	darkred	0.945	Nvec_vc1.1_XM_032373153.2					
Nvec_vc1.1_XM_032365728.2	darkred	0.942	Nvec_vc1.1_XM_032365728.2				Ricin_B_lectin	
Nvec_vc1.1_XM_001642032.3	darkred	0.941	Nvec_vc1.1_XM_001642032.3	Dkk3				
Nvec_vc1.1_XM_048728083.1	darkred	0.94	Nvec_vc1.1_XM_048728083.1					
Nvec_vc1.1_XM_048723046.1	darkred	0.938	Nvec_vc1.1_XM_048723046.1	Creb3l2/Creb3l1		bZIP.HG1.14:like:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	bZIP_1	tfs
Nvec_vc1.1_XM_048728730.1	darkred	0.935	Nvec_vc1.1_XM_048728730.1					
Nvec_vc1.1_XM_001636648.3	darkred	0.933	Nvec_vc1.1_XM_001636648.3				G_glu_transpept	
Nvec_vc1.1_XM_032386280.2	darkred	0.93	Nvec_vc1.1_XM_032386280.2	Bpi/Lbp/Bpifc/Pltp/Bpifb4/Bpifb3/Bpifb2			LBP_BPI_CETP	
Nvec_vc1.1_XM_001631763.3	darkred	0.922	Nvec_vc1.1_XM_001631763.3		PaxA	Homeodomains.HG2.49:like:PAX1/PAX9	PAX	tfs
Nvec_vc1.1_XM_032373652.2	darkred	0.92	Nvec_vc1.1_XM_032373652.2				Glyco_hydro_10	
Nvec_NVE14765	darkred	0.919	Nvec_NVE14765					
Nvec_vc1.1_XM_048724131.1	darkred	0.914	Nvec_vc1.1_XM_048724131.1				Tubulin/Tubulin_C	
Nvec_vc1.1_XM_001637220.3	darkred	0.911	Nvec_vc1.1_XM_001637220.3				Zip	
Nvec_vc1.1_XM_001639511.3	darkred	0.909	Nvec_vc1.1_XM_001639511.3				FKBP_C/EF-hand_7	
Nvec_vc1.1_XM_001640816.3	darkred	0.903	Nvec_vc1.1_XM_001640816.3	B4galt7			Glyco_transf_7N/Glyco_transf_7C	
Nvec_vc1.1_XM_048728442.1	darkred	0.896	Nvec_vc1.1_XM_048728442.1	Tmem43			TMEM43	
Nvec_vc1.1_XM_032377751.2	darkred	0.894	Nvec_vc1.1_XM_032377751.2				MFS_1_like	
Nvec_v1g205109	darkred	0.875	Nvec_v1g205109					
Nvec_vc1.1_XM_032364562.2	darkred	0.864	Nvec_vc1.1_XM_032364562.2				PAE	
Nvec_vc1.1_XM_032377918.2	darkred	0.863	Nvec_vc1.1_XM_032377918.2	Map3k13/Map3k12			Pkinase_Tyr	
Nvec_vc1.1_XM_032365913.2	darkred	0.857	Nvec_vc1.1_XM_032365913.2				Filamin	
Nvec_vc1.1_XM_032383478.2	darkred	0.853	Nvec_vc1.1_XM_032383478.2					
Nvec_vc1.1_XM_048728565.1	darkred	0.829	Nvec_vc1.1_XM_048728565.1				Sulfotransfer_2	
Nvec_vc1.1_XM_048726931.1	darkred	0.828	Nvec_vc1.1_XM_048726931.1	Svop			Sugar_tr/Sugar_tr	
Nvec_vc1.1_XM_032385508.2	darkred	0.825	Nvec_vc1.1_XM_032385508.2	Dnajc22			TM2/DnaJ	
Nvec_vc1.1_XM_032373941.2	darkred	0.815	Nvec_vc1.1_XM_032373941.2					
Nvec_vc1.1_XM_001635589.3	darkred	0.814	Nvec_vc1.1_XM_001635589.3	Cnpy2/Cnpy1			DUF3456	
Nvec_vc1.1_XM_048727040.1	darkred	0.808	Nvec_vc1.1_XM_048727040.1	Gdpd1/Gdpd3			GDPD	
Nvec_vc1.1_XM_001630922.3	darkred	0.791	Nvec_vc1.1_XM_001630922.3	Tpst2/Tpst1			Sulfotransfer_3	
Nvec_v1g241566	darkred	0.786	Nvec_v1g241566					
Nvec_vc1.1_XM_032386408.2	darkred	0.781	Nvec_vc1.1_XM_032386408.2				Ank/Ank_2	
Nvec_NVE12267	darkred	0.773	Nvec_NVE12267					
Nvec_vc1.1_XM_001622929.3	darkred	0.742	Nvec_vc1.1_XM_001622929.3				Trypsin	
Nvec_vc1.1_XM_048728799.1	darkred	0.742	Nvec_vc1.1_XM_048728799.1				Filamin/NHL/DUF5128/NHL/NHL/NHL	
Nvec_vc1.1_XM_032375666.2	darkred	0.74	Nvec_vc1.1_XM_032375666.2	Aqp12/Aqp11			MIP	
Nvec_vc1.1_XM_032361869.2	darkred	0.74	Nvec_vc1.1_XM_032361869.2	Creld2/Creld1			EGF_CA/EGF_CA	
Nvec_vc1.1_XM_048725926.1	darkred	0.739	Nvec_vc1.1_XM_048725926.1	Gusb			Glyco_hydro_2_N/Glyco_hydro_2/Glyco_hydro_2_C	
Nvec_vc1.1_XM_048725618.1	darkred	0.735	Nvec_vc1.1_XM_048725618.1	Dnajc30			DnaJ/RTC	
Nvec_vc1.1_XM_001632569.3	darkred	0.725	Nvec_vc1.1_XM_001632569.3				Pro_CA	
Nvec_vc1.1_XM_001628369.3	darkred	0.723	Nvec_vc1.1_XM_001628369.3				Profilin	
Nvec_vc1.1_XM_048725649.1	darkred	0.714	Nvec_vc1.1_XM_048725649.1	Phex//Mme			Peptidase_M13_N/Peptidase_M13	
Nvec_vc1.1_XM_001640965.3	darkred	0.711	Nvec_vc1.1_XM_001640965.3				BTB/BACK/PHR	
Nvec_vc1.1_XM_001628787.3	darkred	0.707	Nvec_vc1.1_XM_001628787.3	Nenf			Cyt-b5	
Nvec_vc1.1_XM_048734247.1	darkred	0.68	Nvec_vc1.1_XM_048734247.1				PAN_1/Pentaxin	
Nvec_vc1.1_XM_048729127.1	darkred	0.671	Nvec_vc1.1_XM_048729127.1				CAP/CAP	
Nvec_vc1.1_XM_048727213.1	darkred	0.668	Nvec_vc1.1_XM_048727213.1	Gusb			Glyco_hydro_2_N/Glyco_hydro_2/Glyco_hydro_2_C	
Nvec_vc1.1_XM_001637201.3	darkred	0.66	Nvec_vc1.1_XM_001637201.3				Frag1	
Nvec_vc1.1_XM_001639764.3	darkred	0.659	Nvec_vc1.1_XM_001639764.3				Ceramidase	
Nvec_vc1.1_XM_032374974.2	darkred	0.651	Nvec_vc1.1_XM_032374974.2	Nrsn1/Nrsn2			Neurensin	
Nvec_vc1.1_XM_001626338.3	darkred	0.637	Nvec_vc1.1_XM_001626338.3	Xcr1/Gpr15			7tm_1	
Nvec_vc1.1_XM_001637843.3	darkred	0.615	Nvec_vc1.1_XM_001637843.3				Glycos_transf_2/Ricin_B_lectin	
Nvec_vc1.1_XM_048728383.1	darkred	0.612	Nvec_vc1.1_XM_048728383.1	Slc35d2/Slc35d1			TPT	
Nvec_vc1.1_XM_048732162.1	darkred	0.608	Nvec_vc1.1_XM_048732162.1					
Nvec_vc1.1_XM_032384090.2	darkred	0.597	Nvec_vc1.1_XM_032384090.2				AA_permease_2	
Nvec_vc1.1_XM_001622891.3	darkred	0.588	Nvec_vc1.1_XM_001622891.3					
Nvec_vc1.1_XM_032370183.2	darkred	0.577	Nvec_vc1.1_XM_032370183.2				Glycos_transf_2/Ricin_B_lectin	
Nvec_vc1.1_XM_001641531.3	darkred	0.571	Nvec_vc1.1_XM_001641531.3				Tubulin/Tubulin_C	
Nvec_vc1.1_XM_032385150.2	darkred	0.531	Nvec_vc1.1_XM_032385150.2				Glyco_tran_10_N/Glyco_transf_10	
Nvec_vc1.1_XM_048729055.1	darkred	0.511	Nvec_vc1.1_XM_048729055.1	Tacc3/Tacc1/Tacc2			TACC_C	
Nvec_vc1.1_XM_048726731.1	darkred	0.501	Nvec_vc1.1_XM_048726731.1				RVT_1/RT_RNaseH_2/Integrase_H2C2	
Nvec_vc1.1_XM_001633906.3	indianred4	0.983	Nvec_vc1.1_XM_001633906.3				GILT	
Nvec_vc1.1_XM_032364376.2	indianred4	0.978	Nvec_vc1.1_XM_032364376.2				2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_048731923.1	indianred4	0.975	Nvec_vc1.1_XM_048731923.1				2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_001629160.3	indianred4	0.965	Nvec_vc1.1_XM_001629160.3				Kazal_2	
Nvec_vc1.1_XM_001622537.3	indianred4	0.962	Nvec_vc1.1_XM_001622537.3				P4Ha_N/2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_032363026.2	indianred4	0.962	Nvec_vc1.1_XM_032363026.2		Minicollagen-3/Ncol-3		Collagen	
Nvec_vc1.1_XM_032367620.2	indianred4	0.958	Nvec_vc1.1_XM_032367620.2				LicD	
Nvec_vc1.1_XM_001634328.3	indianred4	0.953	Nvec_vc1.1_XM_001634328.3		NR12	zf-C4_Nuclear_receptors.HG1.24:like:NR2F1/NR2F2/NR2F6	zf-C4/Hormone_recep	tfs
Nvec_vc1.1_XM_001638936.3	indianred4	0.951	Nvec_vc1.1_XM_001638936.3					
Nvec_vc1.1_XM_032376356.2	indianred4	0.945	Nvec_vc1.1_XM_032376356.2				Gal-3-0_sulfotr	
Nvec_vc1.1_XM_032385286.2	indianred4	0.941	Nvec_vc1.1_XM_032385286.2	Mfsd6			MFS_1_like	
Nvec_v1g241767	indianred4	0.94	Nvec_v1g241767			bZIP.HG1.3:like:JUN/JUNB/JUND	Jun	tfs
Nvec_vc1.1_XM_001633026.3	indianred4	0.936	Nvec_vc1.1_XM_001633026.3				Galactosyl_T	
Nvec_NVE14804	indianred4	0.935	Nvec_NVE14804					
Nvec_vc1.1_XM_032372027.2	indianred4	0.926	Nvec_vc1.1_XM_032372027.2				EamA/EamA	
Nvec_vc1.1_XM_001623797.3	indianred4	0.918	Nvec_vc1.1_XM_001623797.3				C2/C2	
Nvec_vc1.1_XM_001622690.3	indianred4	0.917	Nvec_vc1.1_XM_001622690.3				Phospholip_A2_3	
Nvec_vc1.1_XM_048720648.1	indianred4	0.901	Nvec_vc1.1_XM_048720648.1	P4htm			2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_001632288.3	indianred4	0.897	Nvec_vc1.1_XM_001632288.3				Sulfotransfer_1	
Nvec_vc1.1_XM_001629313.3	indianred4	0.893	Nvec_vc1.1_XM_001629313.3					
Nvec_vc1.1_XM_001640218.3	indianred4	0.877	Nvec_vc1.1_XM_001640218.3				Laminin_G_3	
Nvec_vc1.1_XM_001635931.3	indianred4	0.867	Nvec_vc1.1_XM_001635931.3	Slc35e3			TPT	
Nvec_vc1.1_XM_032364830.2	indianred4	0.867	Nvec_vc1.1_XM_032364830.2				Thioredoxin_7/Thioredoxin_7/Thioredoxin_7/Thioredoxin_7/Thioredoxin_7/Thioredoxin_7/Thioredoxin_7	
Nvec_vc1.1_XM_048720967.1	indianred4	0.866	Nvec_vc1.1_XM_048720967.1				2OG-FeII_Oxy_3	
