gene	cell_type	stage	time	lvl	rpm_delta	rpm_delta_diff
Nvec_vc1.1_XM_032381059.2	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.954670673678938
Nvec_vc1.1_XM_032381425.2	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	1	0.92058587532672
Nvec_vc1.1_XM_032381869.2	NPC	D|18h gastrula	D|18h gastrula	1	1	0.734936545724067
Nvec_vc1.1_XM_032382158.2	secretory	D|24h gastrula	D|24h gastrula	2	1	0.517160626513116
Nvec_vc1.1_XM_032382395.2	cnidocyte	D|18h gastrula	D|18h gastrula	1	1	0.886050895238616
Nvec_vc1.1_XM_032382493.2	mesendoderm.embryonic	D|5d p.polyp	D|5d p.polyp	6	1	0.71455239397832
Nvec_vc1.1_XM_032382712.2	NPC	D|18h gastrula	D|18h gastrula	1	1	0.681747792434555
Nvec_vc1.1_XM_032382719.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.706061181835455
Nvec_vc1.1_XM_032383512.2	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.831753865083021
Nvec_vc1.1_XM_032383560.2	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	0.885939741750359
Nvec_vc1.1_XM_032383677.2	gastrodermis	D|4d.c planula	D|4d.c planula	5	1	0.86326318524292
Nvec_vc1.1_XM_032383693.2	mesendoderm.embryonic	D|18h gastrula	D|18h gastrula	1	1	0.997246303780107
Nvec_vc1.1_XM_032383695.2	ectoderm.embryonic	D|16d p.polyp	D|16d p.polyp	8	1	1
Nvec_vc1.1_XM_032384063.2	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	1	0.967225279902741
Nvec_vc1.1_XM_032384134.2	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	1
Nvec_vc1.1_XM_032384912.2	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	0.923959827833573
Nvec_vc1.1_XM_032385185.2	retractor muscle	D|5d p.polyp	D|5d p.polyp	6	1	0.878731615249465
Nvec_vc1.1_XM_032385496.2	secretory	D|24h gastrula	D|24h gastrula	2	1	0.715721067961433
Nvec_vc1.1_XM_032385499.2	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.961095891867372
Nvec_vc1.1_XM_032385556.2	mesendoderm.embryonic	D|5d p.polyp	D|5d p.polyp	6	1	0.78527024113499
Nvec_vc1.1_XM_032385577.2	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.784039652892513
Nvec_vc1.1_XM_032385905.2	mesendoderm.embryonic	D|18h gastrula	D|18h gastrula	1	1	0.538096289946673
Nvec_vc1.1_XM_032387218.2	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	1	0.943144018726761
Nvec_vc1.1_XM_048719714.1	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.823689730107913
Nvec_vc1.1_XM_048720635.1	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.813576255292033
Nvec_vc1.1_XM_048720727.1	mesendoderm.embryonic	D|16d p.polyp	D|16d p.polyp	8	1	0.588368580060423
Nvec_vc1.1_XM_048720954.1	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.97369710958287
Nvec_vc1.1_XM_048721581.1	cnidocyte	D|4d.c planula	D|4d.c planula	5	1	0.817833373259314
Nvec_vc1.1_XM_048722428.1	gland.mucous	D|3d planula	D|3d planula	4	1	1
Nvec_vc1.1_XM_048722594.1	secretory	D|24h gastrula	D|24h gastrula	2	1	0.885511111468498
Nvec_vc1.1_XM_048722721.1	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.135255905681545
Nvec_vc1.1_XM_048722777.1	ectoderm.embryonic	D|16d p.polyp	D|16d p.polyp	8	1	0.859329146115705
Nvec_vc1.1_XM_048722809.1	mesendoderm.embryonic	D|2d planula	D|2d planula	3	1	1
Nvec_vc1.1_XM_048723364.1	secretory	D|24h gastrula	D|24h gastrula	2	1	0.969297524267382
Nvec_vc1.1_XM_048723770.1	mesendoderm.embryonic	D|5d p.polyp	D|5d p.polyp	6	1	0.681874890258667
Nvec_vc1.1_XM_048724387.1	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.734604907507537
Nvec_vc1.1_XM_048725325.1	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.740323609797055
Nvec_vc1.1_XM_048725461.1	secretory	D|24h gastrula	D|24h gastrula	2	1	0.92885617908617
Nvec_vc1.1_XM_048726872.1	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.735927607343388
Nvec_vc1.1_XM_048728211.1	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.879648327833325
Nvec_vc1.1_XM_048728853.1	neuronal	D|18h gastrula	D|18h gastrula	1	1	0.955895990333888
Nvec_vc1.1_XM_048729090.1	gastrodermis	D|24h gastrula	D|24h gastrula	2	1	0.845874869594001
Nvec_vc1.1_XM_048729186.1	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.595107033639144
Nvec_vc1.1_XM_048729744.1	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.742623144412403
Nvec_vc1.1_XM_048729815.1	mesendoderm.embryonic	D|5d p.polyp	D|5d p.polyp	6	1	0.411324381520945
Nvec_vc1.1_XM_048730021.1	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.94881984271258
Nvec_vc1.1_XM_048730757.1	cnidocyte.mature	D|18h gastrula	D|18h gastrula	1	1	0.874981984616477
Nvec_vc1.1_XM_048731064.1	cnidocyte.mature	D|2d planula	D|2d planula	3	1	0.742374365124682
Nvec_vc1.1_XM_048731137.1	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	0.96409837327819
Nvec_vc1.1_XM_048731196.1	retractor muscle	D|4d.c planula	D|4d.c planula	5	1	0.488903388449045
Nvec_vc1.1_XM_048732404.1	ectoderm.pharyngeal	D|2d planula	D|2d planula	3	1	0.757718567202548
Nvec_vc1.1_XM_048732532.1	mesendoderm.embryonic	D|16d p.polyp	D|16d p.polyp	8	1	0.705172510150608
Nvec_vc1.1_XM_048732912.1	ectoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.528254085568576
Nvec_vc1.1_XM_048733302.1	mesendoderm.embryonic	D|16d p.polyp	D|16d p.polyp	8	1	0.397185719099313
Nvec_vc1.1_XM_048733498.1	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	1	0.428364958969453
Nvec_vc1.1_XM_001622271.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	0.999725350178523	0.968297158841912
Nvec_vc1.1_XM_048729744.1	mesendoderm.embryonic	D|16d p.polyp	D|16d p.polyp	8	0.996330275229358	0.379108047873039
Nvec_vc1.1_XM_032373089.2	retractor muscle	D|4d.c planula	D|4d.c planula	5	0.994854202401372	0.551121814828297
Nvec_vc1.1_XM_032380190.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	0.994760017613386	0.902471198283598
Nvec_vc1.1_XM_032385905.2	gland.mucous	D|4d.c planula	D|4d.c planula	5	0.992952641383046	0.72112919436562
Nvec_vc1.1_XM_048721411.1	cnidocyte	D|4d.c planula	D|4d.c planula	5	0.991684023523645	0.321243196305042
Nvec_vc1.1_XM_048724711.1	mesendoderm.embryonic	D|3d planula	D|3d planula	4	0.990914507000298	0.972260072749533
Nvec_vc1.1_XM_001633894.3	neuronal	D|4d.c planula	D|4d.c planula	5	0.989646791562269	0.957862190245679
Nvec_vc1.1_XM_032374864.2	neuronal	D|4d.c planula	D|4d.c planula	5	0.98909314405223	0.977994901492903
Nvec_vc1.1_XM_032382185.2	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	0.987660741301059	0.59446475935266
Nvec_vc1.1_XM_032380141.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	0.986871975362956	0.703315443334391
Nvec_vc1.1_XM_001637529.3	ectoderm.pharyngeal	D|18h gastrula	D|18h gastrula	1	0.986717803942169	0.698950142520449
Nvec_vc1.1_XM_048726174.1	retractor muscle	D|4d.c planula	D|4d.c planula	5	0.986480753979233	0.59789142899941
Nvec_v1g93844	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	0.986290342051099	0.85494997023563
Nvec_vc1.1_XM_001633901.3	secretory	D|24h gastrula	D|24h gastrula	2	0.982018647328695	0.861761023389131
Nvec_vc1.1_XM_048728028.1	mesendoderm.embryonic	D|3d planula	D|3d planula	4	0.980375335120643	0.926650564478442
Nvec_vc1.1_XM_001633156.3	mesendoderm.embryonic	D|18h gastrula	D|18h gastrula	1	0.977696864401296	0.955393728802592
Nvec_vc1.1_XM_032375280.2	retractor muscle	D|4d.c planula	D|4d.c planula	5	0.975939919336146	0.959909922217981
Nvec_vc1.1_XM_032363951.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	0.974724937769372	0.949373874944843
Nvec_vc1.1_XM_032377135.2	gland.mucous	D|24h gastrula	D|24h gastrula	2	0.97354328631644	0.369913005997809
Nvec_vc1.1_XM_032370541.2	mesendoderm.embryonic	D|18h gastrula	D|18h gastrula	1	0.973504976480697	0.973504976480697
Nvec_vc1.1_XM_032365096.2	ectoderm.pharyngeal	D|4d.c planula	D|4d.c planula	5	0.973310714793236	0.394402825233949
Nvec_vc1.1_XM_001635315.3	mesendoderm.embryonic	D|3d planula	D|3d planula	4	0.972743521000894	0.936101467197606
Nvec_vc1.1_XM_032373089.2	secretory	D|24h gastrula	D|24h gastrula	2	0.971007248187953	0.855420401207494
Nvec_vc1.1_XM_032383560.2	ectoderm.pharyngeal	D|4d.c planula	D|4d.c planula	5	0.970049916805324	0.778877304003646
Nvec_vc1.1_XM_001635041.3	ectoderm.epidermis	D|24h gastrula	D|24h gastrula	2	0.969181411096549	0.787131390216309
Nvec_vc1.1_XM_032366210.2	gastrodermis	D|5d p.polyp	D|5d p.polyp	6	0.968364050921528	0.936728101843055
Nvec_vc1.1_XM_048731147.1	ectoderm.pharyngeal	D|4d.c planula	D|4d.c planula	5	0.967803660565723	0.434766637105313
Nvec_vc1.1_XM_001637508.3	ectoderm.embryonic	D|3d planula	D|3d planula	4	0.965820282961117	0.860827621376592
Nvec_vc1.1_XM_048726750.1	gastrodermis	D|24h gastrula	D|24h gastrula	2	0.963825155212333	0.961979049163943
Nvec_vc1.1_XM_032384221.2	ectoderm.embryonic	D|3d planula	D|3d planula	4	0.962762323945645	0.748866457454764
Nvec_vc1.1_XM_001638761.3	secretory	D|24h gastrula	D|24h gastrula	2	0.96274630541872	0.85252255097352
Nvec_vc1.1_XM_001633901.3	neuronal	D|18h gastrula	D|18h gastrula	1	0.960768581895211	0.875914027551373
Nvec_vc1.1_XM_032384228.2	retractor muscle	D|4d.c planula	D|4d.c planula	5	0.959691252144082	0.862391134757882
Nvec_vc1.1_XM_001631673.3	neuronal	D|24h gastrula	D|24h gastrula	2	0.958997412428069	0.400305161278089
Nvec_vc1.1_XM_048724605.1	retractor muscle	D|4d.c planula	D|4d.c planula	5	0.95878470925165	0.908091261140698
Nvec_vc1.1_XM_032385905.2	gastrodermis	D|2d planula	D|2d planula	3	0.958415999433149	0.478418421097881
Nvec_vc1.1_XM_032387283.2	ectoderm.pharyngeal	D|4d.c planula	D|4d.c planula	5	0.957297143669177	0.771382321168971
Nvec_vc1.1_XM_001633901.3	gastrodermis	D|24h gastrula	D|24h gastrula	2	0.957261874706963	0.957261874706963
Nvec_vc1.1_XM_048722809.1	retractor muscle	D|8d p.polyp	D|8d p.polyp	7	0.957023733162284	0.957023733162284
Nvec_vc1.1_XM_032379504.2	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	0.95692811302063	0.682210615023445
Nvec_vc1.1_XM_048726174.1	neuronal	D|4d.c planula	D|4d.c planula	5	0.956138020167031	0.582987473811869
Nvec_vc1.1_XM_032383512.2	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	0.954849750605806	0.799670369413093
Nvec_vc1.1_XM_001637733.3	neuronal	D|5d p.polyp	D|5d p.polyp	6	0.954442637679372	0.613743381376089
Nvec_vc1.1_XM_032366609.2	gland.mucous	D|24h gastrula	D|24h gastrula	2	0.95339413351108	0.83931062060852
Nvec_vc1.1_XM_001647471.3	mesendoderm.embryonic	D|24h gastrula	D|24h gastrula	2	0.952821061886851	0.398150732216521
Nvec_vc1.1_XM_032387255.2	ectoderm.pharyngeal	D|4d.c planula	D|4d.c planula	5	0.952552381854641	0.821169031032676
Nvec_vc1.1_XM_032382712.2	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	0.951257958534135	0.803757411387027
Nvec_vc1.1_XM_001630333.3	gastrodermis	D|24h gastrula	D|24h gastrula	2	0.950218591441427	0.764717899757655
Nvec_vc1.1_XM_048724605.1	ectoderm.pharyngeal	D|18h gastrula	D|18h gastrula	1	0.949820788530466	0.745903334875342
Nvec_vc1.1_XM_048720569.1	NPC	D|3d planula	D|3d planula	4	0.949201540453819	0.843359069894426
Nvec_vc1.1_XM_032363418.2	retractor muscle	D|4d.c planula	D|4d.c planula	5	0.946524064171123	0.946524064171123
Nvec_vc1.1_XM_001631375.3	retractor muscle	D|4d.c planula	D|4d.c planula	5	0.945749730743149	0.8498631009404
Nvec_vc1.1_XM_032365977.2	mesendoderm.embryonic	D|3d planula	D|3d planula	4	0.945487042001787	0.273927408974265
Nvec_vc1.1_XM_001629480.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	0.942598187311178	0.62687583519629
Nvec_vc1.1_XM_001634460.3	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	0.942598187311178	0.719141728051782
Nvec_vc1.1_XM_048723945.1	mesendoderm.embryonic	D|4d.c planula	D|4d.c planula	5	0.942598187311178	0.609575980285885
Nvec_vc1.1_XM_048731147.1	NPC	D|4d.c planula	D|4d.c planula	5	0.941927915335463	0.297893124765073
Nvec_vc1.1_XM_032363350.2	gastrodermis	D|24h gastrula	D|24h gastrula	2	0.940399236753266	0.915847967927188
Nvec_vc1.1_XM_032383713.2	NPC	D|2d planula	D|2d planula	3	0.936419217063785	0.585911040629434
Nvec_vc1.1_XM_048720635.1	ectoderm.epidermis	D|18h gastrula	D|18h gastrula	1	0.935779816513761	0.64919743890454
Nvec_vc1.1_XM_032382185.2	ectoderm.pharyngeal	D|18h gastrula	D|18h gastrula	1	0.932306940371457	0.441643707263452
Nvec_vc1.1_XM_001629572.3	retractor muscle	D|4d.c planula	D|4d.c planula	5	0.93138936535163	0.849643343976517
Nvec_vc1.1_XM_048729744.1	retractor muscle	D|4d.c planula	D|4d.c planula	5	0.93138936535163	0.93138936535163
