gene	gene_name	common_name	og	pfam
Nvec_vc1.1_XM_032362387.2	Dmrt2	""	Doublesex_DM.HG1.13:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	DM/DMA
Nvec_vc1.1_XM_032384091.2	Dmrt2	""	Doublesex_DM.HG1.14:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	DM/DMA
Nvec_vc1.1_XM_032377759.2	Dmrt2	""	Doublesex_DM.HG1.16:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	DM/DMA
Nvec_vc1.1_XM_032381617.2	""	""	Doublesex_DM.HG1.18:like:DMRT3	DM
Nvec_vc1.1_XM_032375670.2	Dmrt2	""	Doublesex_DM.HG1.19:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	DM/DMA
Nvec_vc1.1_XM_001626541.3	""	""	Doublesex_DM.HG1.20:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1/DMRTC2	DM
Nvec_vc1.1_XM_032382520.2	""	""	Doublesex_DM.HG1.8:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	DM/DMA
Nvec_vc1.1_XM_032369373.2	Dmrtc2	""	Doublesex_DM.HG1.9:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	DM/DMA
Nvec_vc1.1_XM_032370623.2	E2f8/E2f7	""	E2F_TDP.HG1.0:E2F7/E2F8	E2F_TDP/E2F_TDP
Nvec_vc1.1_XM_032378402.2	Tfdp2/Tfdp1	""	E2F_TDP.HG1.1:TFDP1/TFDP2/TFDP3	E2F_TDP/DP
Nvec_vc1.1_XM_001627662.3	/E2f4	""	E2F_TDP.HG1.3:E2F4/E2F5	E2F_TDP/E2F_CC-MB
Nvec_vc1.1_XM_032385715.2	""	""	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F_TDP/E2F_CC-MB
Nvec_vc1.1_XM_048722428.1	""	""	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F_TDP/E2F_CC-MB
Nvec_vc1.1_XM_032385575.2	""	""	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F_CC-MB
Nvec_vc1.1_XM_048732398.1	""	""	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F_TDP
Nvec_vc1.1_XM_032380735.2	""	""	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F_TDP/E2F_CC-MB
Nvec_vc1.1_XM_048734435.1	E2f6	""	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F_TDP/E2F_CC-MB
Nvec_vc1.1_XM_032362934.2	Elf3/Ehf/Elf5	""	Ets.HG1.11:EHF/ELF3/ELF5	Ets
Nvec_vc1.1_XM_032366602.2	Elf3/Ehf/Elf5	""	Ets.HG1.11:EHF/ELF3/ELF5	SAM_PNT/Ets
Nvec_vc1.1_XM_032384221.2	Etv6	ETV6/7	Ets.HG1.13:ETV6/ETV7	Ets
Nvec_vc1.1_XM_001636352.3	""	""	Ets.HG1.2:ELK1/ELK3/ELK4	Ets
Nvec_vc1.1_XM_048727247.1	""	""	Ets.HG1.2:ELK1/ELK3/ELK4	Ets
Nvec_vc1.1_XM_001637374.3	""	""	Ets.HG1.2:ELK1/ELK3/ELK4	Ets
Nvec_vc1.1_XM_032361849.2	""	""	Ets.HG1.2:ELK1/ELK3/ELK4	Ets
Nvec_vc1.1_XM_032377897.2	Etv4/Etv5/Etv1	Pea3/Ets	Ets.HG1.3:ETV1/ETV4/ETV5	ETS_PEA3_N/Ets
Nvec_vc1.1_XM_032380975.2	Erg/Fli1/Fev	""	Ets.HG1.5:ERF/ERFL/ERG/ETV3/ETV3L/FEV/FLI1	SAM_PNT/Ets
Nvec_vc1.1_XM_032385089.2	Gabpa	""	Ets.HG1.7:GABPA	Ets
Nvec_vc1.1_XM_048732532.1	Ets2/Ets1/Etv2	""	Ets.HG1.8:ETS1/ETS2	Ets
Nvec_vc1.1_XM_048729186.1	Spdef	""	Ets.HG1.9:AC020909.1/SPI1/SPIB/SPIC	Ets
Nvec_vc1.1_XM_001637115.3	Foxe3/Foxe1	""	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead
Nvec_vc1.1_XM_032387167.2	""	FoxA/D?	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead
Nvec_vc1.1_XM_048724319.1	Foxd2/Foxd4/Foxd3/Foxd1	""	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead
Nvec_vc1.1_XM_001634505.3	Foxa3/Foxa1/Foxa2	FoxA	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead_N/Forkhead/HNF_C
Nvec_vc1.1_XM_048728028.1	Foxb2/Foxb1	FoxB	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead
Nvec_vc1.1_XM_048728051.1	""	""	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead
Nvec_vc1.1_XM_001634111.3	""	""	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead
Nvec_vc1.1_XM_001625950.3	Foxc2/Foxc1	FoxC	Forkhead.HG1.10:FOXC1/FOXC2	Forkhead
Nvec_vc1.1_XM_001627792.3	Foxn4/Foxn1	""	Forkhead.HG1.12:FOXN1/FOXN4/FOXR1/FOXR2	Forkhead
Nvec_vc1.1_XM_032386947.2	""	FoxQ2a	Forkhead.HG1.13:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	Forkhead
Nvec_vc1.1_XM_032379152.2	""	""	Forkhead.HG1.13:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	Forkhead
Nvec_vc1.1_XM_032378839.2	""	""	Forkhead.HG1.14:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	Forkhead
Nvec_vc1.1_XM_032385706.2	""	FoxQ2d	Forkhead.HG1.14:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	Forkhead
Nvec_vc1.1_XM_048723945.1	Foxn3	""	Forkhead.HG1.16:FOXN2/FOXN3	Forkhead
Nvec_vc1.1_XM_001627072.3	""	""	Forkhead.HG1.17:like:FOXI1/FOXI2/FOXI3/FOXL3	Forkhead
Nvec_vc1.1_XM_032384126.2	""	""	Forkhead.HG1.17:like:FOXI1/FOXI2/FOXI3/FOXL3	Forkhead
Nvec_vc1.1_XM_032364887.2	Foxl2	FoxL2	Forkhead.HG1.20:FOXL2	Forkhead
Nvec_vc1.1_XM_001638841.3	Foxg1/Gm43517	""	Forkhead.HG1.22:FOXG1	Forkhead
Nvec_vc1.1_XM_001628964.3	Foxk2/Foxk1	""	Forkhead.HG1.23:FOXK1/FOXK2	FHA/Forkhead
Nvec_vc1.1_XM_001636889.3	Foxj1	FoxJ1	Forkhead.HG1.24:FOXJ1	Forkhead
Nvec_vc1.1_XM_001628319.3	Foxj3	""	Forkhead.HG1.25:FOXJ2/FOXJ3	Forkhead
Nvec_vc1.1_XM_001624689.3	Foxm1	""	Forkhead.HG1.26:FOXM1	Forkhead
Nvec_vc1.1_XM_001630363.3	Foxo1/Foxo6/Foxo3/Foxo4	""	Forkhead.HG1.29:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead/FOXO-TAD
Nvec_vc1.1_XM_001627629.3	""	""	Forkhead.HG1.30:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead
Nvec_vc1.1_XM_001623127.3	""	""	Forkhead.HG1.31:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead
Nvec_vc1.1_XM_032363859.2	Foxp4/Foxp2/Foxp1	""	Forkhead.HG1.32:FOXP2	FOXP-CC/Forkhead
Nvec_vc1.1_XM_001624046.3	""	""	Forkhead.HG1.33:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead
Nvec_vc1.1_XM_032365104.2	""	""	Forkhead.HG1.34:like:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	Forkhead
Nvec_vc1.1_XM_032362607.2	""	""	Forkhead.HG1.5:FOXQ1	Forkhead
Nvec_vc1.1_XM_032374352.2	""	""	Forkhead.HG1.9:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	Forkhead
Nvec_vc1.1_XM_001630356.3	Zglp1	""	GATA.HG1.4:ZGLP1	GATA
Nvec_vc1.1_XM_032367288.2	Gata3/Gata1/Gata2	GATA	GATA.HG1.5:GATA1/GATA2/GATA3/GATA4/GATA5/GATA6/TRPS1	GATA/GATA
Nvec_vc1.1_XM_001636971.3	Rere	""	GATA.HG2.1:RERE	BAH/ELM2/GATA
Nvec_vc1.1_XM_032372717.2	Gcm1/Gcm2	""	GCM.HG1.0:GCM1/GCM2	GCM
Nvec_vc1.1_XM_001629572.3	Ubp1/Tfcp2/Tfcp2l1	""	Grainyhead_LSF.HG1.0:TFCP2/TFCP2L1/UBP1	CP2/SAM_3
Nvec_vc1.1_XM_032386243.2	Grhl1/Grhl3/Grhl2	Grainyhead	Grainyhead_LSF.HG1.1:GRHL1/GRHL2/GRHL3	CP2
Nvec_vc1.1_XM_032385569.2	Npas3/Npas1	""	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1	HLH/PAS/PAS_11
Nvec_vc1.1_XM_001629480.3	Arnt/Arnt2	""	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1	HLH/PAS/PAS_11
Nvec_vc1.1_XM_001639692.3	Clock/Npas2	""	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1	HLH/PAS/PAS_11
Nvec_vc1.1_XM_032372025.2	""	""	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1	HLH/PAS/PAS_11
Nvec_vc1.1_XM_032375280.2	Pasd1	""	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1	HLH/PAS/PAS_11
Nvec_vc1.1_XM_032365192.2	Ahr/Ahrr	""	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1	HLH/PAS
Nvec_vc1.1_XM_048722339.1	Ahr/Ahrr	""	HLH.HG1.0:AC019117.4/AHR/AHRR/ARNT/ARNT2/ARNTL/ARNTL2/CLOCK/NCOA1/NPAS1/NPAS2/SIM1	HLH/PAS
Nvec_vc1.1_XM_048724796.1	""	""	HLH.HG1.107:like:HES5/HES7	HLH
Nvec_vc1.1_XM_032383905.2	Hey2/Heyl/Hey1	""	HLH.HG1.11:HEY1/HEY2/HEYL	HLH
Nvec_vc1.1_XM_001631403.3	Mlxipl/Mlxip	""	HLH.HG1.14:MLXIP/MLXIPL	HLH
Nvec_vc1.1_XM_032387318.2	""	""	HLH.HG1.15:like:TFAP4	HLH
Nvec_vc1.1_XM_032379775.2	Tfap4	""	HLH.HG1.16:TFAP4	HLH
Nvec_vc1.1_XM_001627049.3	""	""	HLH.HG1.19:HELT	HLH/Hairy_orange
Nvec_vc1.1_XM_048724387.1	Mlx	""	HLH.HG1.21:MLX	HLH
Nvec_vc1.1_XM_048721183.1	Max/Ppp5c	""	HLH.HG1.24:MAX	HLH/TPR_8/PPP5/Metallophos
Nvec_vc1.1_XM_032386357.2	Srebf2/Srebf1	""	HLH.HG1.25:SREBF1/SREBF2	HLH
Nvec_vc1.1_XM_032386356.2	Srebf2/Srebf1	""	HLH.HG1.25:SREBF1/SREBF2	HLH
Nvec_vc1.1_XM_032375407.2	Bmyc	""	HLH.HG1.29:MYC/MYCL/MYCN	Myc_N/HLH
Nvec_vc1.1_XM_032366098.2	""	Ptx1	HLH.HG1.29:MYC/MYCL/MYCN	HLH
Nvec_vc1.1_XM_001640809.3	""	Myc2	HLH.HG1.29:MYC/MYCL/MYCN	Myc_N/HLH
Nvec_vc1.1_XM_048728967.1	""	""	HLH.HG1.29:MYC/MYCL/MYCN	HLH/HLH
Nvec_vc1.1_XM_001640743.3	""	""	HLH.HG1.29:MYC/MYCL/MYCN	HLH
Nvec_vc1.1_XM_001633819.3	""	BHMG1	HLH.HG1.3:BHMG1	HLH
Nvec_vc1.1_XM_048721315.1	""	""	HLH.HG1.31:like:ASCL1/ASCL2/ASCL3/ASCL4/ASCL5/ATOH1/ATOH7/ATOH8/BHLHA9/BHLHA15/BHLHE22/BHLHE23/FERD3L/FIGLA/HAND1/HAND2/ID1/ID2/ID3/ID4/LYL1/MESP1/MESP2/MSC/MSGN1/MYF5/MYF6/MYOD1/MYOG/NEUROD1/NEUROD2/NEUROD4/NEUROD6/NEUROG1/NEUROG2/NEUROG3/NHLH1/NHLH2/OLIG1/OLIG2/OLIG3/PTF1A/SCX/TAL1/TAL2/TCF3/TCF4/TCF12/TCF15/TCF21/TCF23/TCF24/TWIST1/TWIST2	HLH
Nvec_vc1.1_XM_048733302.1	Tfe3/Tfec/Tfeb/Mitf	""	HLH.HG1.33:MITF/TFE3/TFEB/TFEC	MITF_TFEB_C_3_N/HLH
Nvec_vc1.1_XM_032364348.2	""	""	HLH.HG1.34:like:ASCL1/ASCL2/ASCL3/ASCL4/ASCL5/ATOH1/ATOH7/ATOH8/BHLHA9/BHLHA15/BHLHE22/BHLHE23/FERD3L/FIGLA/HAND1/HAND2/ID1/ID2/ID3/ID4/LYL1/MESP1/MESP2/MSC/MSGN1/MYF5/MYF6/MYOD1/MYOG/NEUROD1/NEUROD2/NEUROD4/NEUROD6/NEUROG1/NEUROG2/NEUROG3/NHLH1/NHLH2/OLIG1/OLIG2/OLIG3/PTF1A/SCX/TAL1/TAL2/TCF3/TCF4/TCF12/TCF15/TCF21/TCF23/TCF24/TWIST1/TWIST2	HLH
Nvec_vc1.1_XM_001636622.3	Mnt	""	HLH.HG1.37:MNT	HLH
Nvec_vc1.1_XM_001635172.3	Mxi1/Mxd3/Mxd4/Mxd1	""	HLH.HG1.38:MXD1/MXD3/MXD4/MXI1	HLH
Nvec_vc1.1_XM_032381049.2	Usf3	""	HLH.HG1.39:like:USF1/USF2	HLH
Nvec_vc1.1_XM_032380209.2	Usf2/Usf1	""	HLH.HG1.40:USF1/USF2	HLH
Nvec_vc1.1_XM_032382158.2	Tcf3/Tcf12/Tcf4	""	HLH.HG1.45:TCF3/TCF4/TCF12	HLH
Nvec_vc1.1_XM_032366030.2	""	""	HLH.HG1.5:like:CCDC169-SOHLH2/SOHLH1/SOHLH2	HLH
Nvec_vc1.1_XM_032375349.2	""	""	HLH.HG1.50:HES3	HLH
Nvec_vc1.1_XM_032386464.2	Id1/Id3/Id2/Id4	""	HLH.HG1.51:ID1/ID2/ID3/ID4	HLH
Nvec_vc1.1_XM_001635316.3	Hes7	""	HLH.HG1.53:HES5/HES7	HLH
Nvec_vc1.1_XM_032384063.2	""	""	HLH.HG1.53:HES5/HES7	HLH
Nvec_vc1.1_XM_001634550.3	""	""	HLH.HG1.53:HES5/HES7	HLH
Nvec_vc1.1_XM_001637044.3	Hes1	""	HLH.HG1.54:like:HES5/HES7	HLH/Hairy_orange
Nvec_NVE19743	""	""	HLH.HG1.55:like:TCF23/TCF24	HLH
Nvec_vc1.1_XM_032374977.2	Tcf23/Tcf24	""	HLH.HG1.56:TCF23/TCF24	HLH
Nvec_vc1.1_XM_032370984.2	""	AshA	HLH.HG1.58:like:ASCL1/ASCL2/ASCL3/ASCL4/ASCL5	HLH
Nvec_vc1.1_XM_001635277.3	""	""	HLH.HG1.62:like:HES5/HES7	HLH/Hairy_orange
Nvec_vc1.1_XM_001635275.3	""	""	HLH.HG1.63:like:HES5/HES7	HLH
Nvec_vc1.1_XM_001635315.3	""	""	HLH.HG1.63:like:HES5/HES7	HLH
Nvec_vc1.1_XM_001635276.3	""	""	HLH.HG1.63:like:HES5/HES7	HLH
Nvec_vc1.1_XM_032384889.2	""	Hes2	HLH.HG1.63:like:HES5/HES7	HLH/Hairy_orange
Nvec_vc1.1_XM_032381869.2	""	""	HLH.HG1.64:like:ASCL1/ASCL2/ASCL3/ASCL4/ASCL5	HLH
Nvec_vc1.1_XM_032381908.2	""	Hand2	HLH.HG1.66:like:HAND1/HAND2	HLH
Nvec_vc1.1_XM_001632826.3	Hand2/Hand1	""	HLH.HG1.67:HAND1/HAND2	HLH
Nvec_v1g210540	Ascl1/Ascl2	""	HLH.HG1.68:like:ASCL3/ASCL4/ASCL5	HLH
Nvec_vc1.1_XM_032369367.2	Ascl3/Ascl5/Ascl4	""	HLH.HG1.69:ASCL3/ASCL4/ASCL5	HLH
Nvec_vc1.1_XM_001631326.3	Myod1/Myf5/Myf6/Myog	""	HLH.HG1.72:BHLHA9	HLH
Nvec_vc1.1_XM_001628278.3	""	""	HLH.HG1.75:like:ATOH8	HLH
Nvec_vc1.1_XM_001628279.3	Atoh8	""	HLH.HG1.76:ATOH8	HLH
Nvec_vc1.1_XM_001640990.3	""	""	HLH.HG1.77:like:NEUROD1/NEUROD2/NEUROD4/NEUROD6	HLH
Nvec_vc1.1_XM_048724372.1	Msgn1/Mesp2/Mesp1	""	HLH.HG1.79:MESP1/MESP2/MSGN1	HLH
Nvec_vc1.1_XM_032364139.2	Sohlh2	""	HLH.HG1.8:CCDC169-SOHLH2/SOHLH2	HLH
Nvec_vc1.1_XM_032376421.2	""	Ath-like	HLH.HG1.80:like:NEUROD1/NEUROD2/NEUROD4/NEUROD6	HLH
Nvec_vc1.1_XM_001628300.3	""	""	HLH.HG1.84:NEUROG1/NEUROG2/NEUROG3	HLH
Nvec_vc1.1_XM_032384474.2	Tcf15/Scx	""	HLH.HG1.85:SCX/TCF15	HLH
Nvec_vc1.1_XM_032384433.2	Twist2/Twist1	""	HLH.HG1.86:TWIST1/TWIST2	HLH
Nvec_vc1.1_XM_032363017.2	Lyl1/Tal2/Tal1	""	HLH.HG1.87:LYL1/NHLH1/NHLH2/TAL1/TAL2	HLH
Nvec_vc1.1_XM_032362829.1	""	""	HLH.HG1.87:LYL1/NHLH1/NHLH2/TAL1/TAL2	HLH
Nvec_vc1.1_XM_048731942.1	Lyl1/Tal2/Tal1	""	HLH.HG1.87:LYL1/NHLH1/NHLH2/TAL1/TAL2	HLH
Nvec_vc1.1_XM_032385496.2	Ptf1a	PTF1a	HLH.HG1.91:like:FERD3L/PTF1A	HLH
Nvec_vc1.1_XM_032374008.2	""	""	HLH.HG1.92:like:SCX/TCF15	HLH
Nvec_vc1.1_XM_032385184.2	""	Nem24	HLH.HG1.93:like:SCX/TCF15	HLH
Nvec_vc1.1_XM_032385185.2	""	Nem7	HLH.HG1.93:like:SCX/TCF15	HLH
Nvec_vc1.1_XM_001634938.2	""	Nem64	HLH.HG1.93:like:SCX/TCF15	HLH
Nvec_vc1.1_XM_032384492.2	""	""	HLH.HG1.93:like:SCX/TCF15	HLH
Nvec_v1g99666	""	""	HLH.HG1.93:like:SCX/TCF15	HLH
