gene	deepTools_group	rank	gene_length	gene_name	common_name	og	pfam	gene_list
Nvec_NVE4021	cluster_1	154	1095	""	""	""	""	""
Nvec_vc1.1_XM_032370147.2	cluster_1	155	2131	""	""	""	""	""
Nvec_v1g201641	cluster_1	156	1230	Rita1	""	""	RITA/RITA	""
Nvec_vc1.1_XM_001639955.3	cluster_1	157	910	""	""	""	TPMT	""
Nvec_vc1.1_XM_001629987.3	cluster_1	158	1794	""	NvSoxE1	HMGbox_Sox.HG1.42:SOX8/SOX9/SOX10	Sox_N/HMG_box	tfs
Nvec_NVE23944	cluster_1	159	1247	""	""	""	""	""
Nvec_v1g241933	cluster_1	160	988	""	""	""	""	""
Nvec_vc1.1_XM_032381939.2	cluster_1	161	1514	""	""	""	""	""
Nvec_vc1.1_XM_001624066.3	cluster_1	162	2233	""	""	""	Pkinase	""
Nvec_vc1.1_XM_001634766.3	cluster_1	163	4830	""	""	""	""	""
Nvec_vc1.1_XM_048720394.1	cluster_1	164	751	""	""	""	Linker_histone	""
Nvec_vc1.1_XM_032376926.2	cluster_1	165	1540	""	""	bZIP.HG3.2:like:MAF/MAFA/MAFB/NRL	bZIP_Maf	tfs
Nvec_vc1.1_XM_032371878.2	cluster_1	166	1346	""	""	""	""	""
Nvec_vc1.1_XM_048728912.1	cluster_1	167	1430	""	""	""	Retrotrans_gag	""
Nvec_vc1.1_XM_032383770.2	cluster_1	168	1727	""	""	""	""	""
Nvec_vc1.1_XM_001627064.3	cluster_1	169	864	""	""	""	GILT	""
Nvec_vc1.1_XM_032366066.2	cluster_1	170	3974	""	""	""	""	""
Nvec_vc1.1_XM_032366512.2	cluster_1	171	2470	Epop/Skida1	""	""	""	""
Nvec_vc1.1_XM_048731524.1	cluster_1	172	1170	Tor1b/Tor2a/Tor1a/Tor3a	""	""	Torsin	""
Nvec_vc1.1_XM_001631958.3	cluster_1	173	2050	""	""	""	Tubulin/Tubulin_C	""
Nvec_NVE6437	cluster_1	174	974	Fam167a/Fam167b	""	""	""	""
Nvec_vc1.1_XM_032382958.2	cluster_1	175	1263	Ppp1r3g/Ppp1r3a/Ppp1r3e/Ppp1r3d/Ppp1r3f	""	""	CBM_21	""
Nvec_vc1.1_XM_032365678.2	cluster_1	176	781	""	""	""	Linker_histone	""
Nvec_vc1.1_XM_048725821.1	cluster_1	177	933	Dynlt1f/Dynlt1c/Dynlt1b/Dynlt1a	""	""	Tctex-1	""
Nvec_vc1.1_XM_001635447.3	cluster_1	178	2441	""	""	""	""	""
Nvec_vc1.1_XM_001635153.3	cluster_1	179	1250	Tmem263	""	""	""	""
Nvec_vc1.1_XM_001631507.3	cluster_1	180	1442	Cenpl	""	""	CENP-L	""
Nvec_vc1.1_XM_032381871.2	cluster_1	181	1650	""	""	""	""	""
Nvec_vc1.1_XM_032366749.2	cluster_1	182	1296	""	""	""	DUF2475	""
Nvec_vc1.1_XM_001638824.3	cluster_1	183	2750	Mfsd8	""	""	MFS_1	""
Nvec_NVE21868	cluster_1	184	1604	""	""	""	""	""
Nvec_vc1.1_XM_001625313.3	cluster_1	185	1142	Snrpd2	""	""	LSM	""
Nvec_vc1.1_XM_032363790.2	cluster_1	186	2477	Nim1k/Gm4565/Gm4513/Gm5157/Gm6176/Gm5891//Gm10668/Gm4567/Gm5890/Gm6902/Smok3a/Smok3b/4921509C19Rik/Gm4922/Smok3c/Gm10662	""	""	Pkinase	""
Nvec_vc1.1_XM_048726375.1	cluster_1	187	1948	""	""	""	""	""
Nvec_vc1.1_XM_032380273.2	cluster_1	188	2792	""	""	""	7tm_1	""
Nvec_vc1.1_XM_032376709.2	cluster_1	189	1930	""	""	""	""	""
Nvec_vc1.1_XM_032367137.2	cluster_1	190	1905	""	""	""	Mito_carr/Mito_carr/Mito_carr	""
Nvec_vc1.1_XM_032384685.2	cluster_1	191	3616	Spry4/Spry1/Spry2/	""	""	Sprouty	""
Nvec_vc1.1_XM_032384300.2	cluster_1	192	1270	""	""	bZIP.HG3.0:MAFF/MAFG/MAFK	bZIP_Maf	tfs
Nvec_NVE10724	cluster_1	193	964	""	""	""	""	""
Nvec_vc1.1_XM_001639819.3	cluster_1	194	1347	""	""	""	Mito_carr/Mito_carr/Mito_carr	""
Nvec_NVE24623	cluster_1	195	917	""	""	""	""	""
Nvec_vc1.1_XM_001631736.3	cluster_1	196	1050	""	""	""	""	""
Nvec_vc1.1_XM_001625275.3	cluster_1	197	1418	""	""	""	PH	""
Nvec_vc1.1_XM_032367723.2	cluster_1	198	2868	""	""	""	CDI	""
Nvec_vc1.1_XM_001637706.3	cluster_1	199	4423	Mapk6/Mapk4	""	""	Pkinase	""
Nvec_vc1.1_XM_001635266.3	cluster_1	200	2491	""	""	""	DUF4419	""
Nvec_vc1.1_XM_032383948.2	cluster_1	201	1613	Gbx1/Gbx2	""	Homeodomains.HG1.57:GBX1/GBX2	Homeodomain	tfs
Nvec_vc1.1_XM_001636155.3	cluster_1	202	2106	Sox17/Sox18/Sox7	NvSoxF1	HMGbox_Sox.HG1.16:like:PINX1/SOX7/SOX17/SOX18	HMG_box	tfs
Nvec_vc1.1_XM_032372291.2	cluster_1	203	2244	""	""	""	PBD	""
Nvec_vc1.1_XM_001634984.3	cluster_1	204	3206	Tyw5	""	""	Cupin_8	""
Nvec_NVE21866	cluster_1	205	680	""	""	""	""	""
Nvec_vc1.1_XM_001630533.3	cluster_1	206	2300	""	""	""	Actin	""
Nvec_vc1.1_XM_001623976.3	cluster_1	207	936	Atg101	""	""	ATG101	""
Nvec_vc1.1_XM_032380230.2	cluster_1	208	2416	""	""	""	""	""
Nvec_vc1.1_XM_032367033.2	cluster_1	209	1448	""	""	""	DnaJ/DnaJ_C	""
Nvec_vc1.1_XM_032374794.2	cluster_1	210	887	Pithd1	""	""	PITH	""
Nvec_NVE21607	cluster_1	211	942	""	""	""	""	""
Nvec_vc1.1_XM_048731202.1	cluster_1	212	2533	""	""	""	""	""
Nvec_vc1.1_XM_032368655.1	cluster_1	213	2244	""	""	""	""	""
Nvec_vc1.1_XM_032384528.2	cluster_1	214	2164	Sertad4	""	""	SERTA	""
Nvec_vc1.1_XM_001641339.3	cluster_1	215	1090	Nudt7	""	""	NUDIX	""
Nvec_v1g246439	cluster_1	216	1246	Tmem203	""	""	Tmemb_185A	""
Nvec_vc1.1_XM_001620304.3	cluster_1	217	798	Ccdc115	""	""	""	""
Nvec_vc1.1_XM_032376026.2	cluster_1	218	2249	Cfap20	""	""	DUF667	""
Nvec_vc1.1_XM_032375257.2	cluster_1	219	1799	""	""	""	Galactosyl_T	""
Nvec_vc1.1_XM_001635457.3	cluster_1	220	1128	""	""	""	Ca_hom_mod	""
Nvec_vc1.1_XM_032362616.2	cluster_1	221	2917	""	""	""	BTB/BACK/PHR	""
Nvec_vc1.1_XM_001627347.3	cluster_1	222	1643	Tspan10	""	""	Tetraspanin	""
Nvec_vc1.1_XM_032365056.2	cluster_1	223	2548	Tmem177	""	""	Peptidase_M48	""
Nvec_vc1.1_XM_001632620.3	cluster_1	224	1865	""	""	""	Abhydrolase_1	""
Nvec_v1g245614	cluster_1	225	2154	""	""	""	DUF5128	""
Nvec_vc1.1_XM_001632212.3	cluster_1	226	2930	Ndufaf1	""	""	CIA30	""
Nvec_vc1.1_XM_032379775.2	cluster_1	227	1919	Tfap4	""	HLH.HG1.16:TFAP4	HLH	tfs
Nvec_vc1.1_XM_001640544.3	cluster_2	228	2426	Mad2l1bp	""	""	p31comet	""
Nvec_vc1.1_XM_048721766.1	cluster_2	229	2900	""	""	""	SH3_1	""
Nvec_vc1.1_XM_032386221.2	cluster_2	230	2837	""	""	""	""	""
Nvec_vc1.1_XM_001637052.3	cluster_2	231	1893	""	""	""	""	""
Nvec_v1g238274	cluster_2	232	2289	""	""	""	""	""
Nvec_vc1.1_XM_001623756.3	cluster_2	233	1474	Paip2/Paip2b	""	""	PAM2	""
Nvec_vc1.1_XM_048726624.1	cluster_2	234	1693	Dzip3	""	""	HEPN_DZIP3	""
Nvec_vc1.1_XM_001627453.3	cluster_2	235	4491	Maml3/Maml1/Maml2	""	""	MamL-1	""
Nvec_vc1.1_XM_001624451.3	cluster_2	236	1987	""	""	""	""	""
Nvec_vc1.1_XM_048732532.1	cluster_2	237	3753	Ets2/Ets1/Etv2	""	Ets.HG1.8:ETS1/ETS2	Ets	tfs
Nvec_vc1.1_XM_032385145.2	cluster_2	238	2078	D16Ertd472e	""	""	""	""
Nvec_vc1.1_XM_001641820.3	cluster_2	239	3817	Vgll4	""	""	VGLL4	""
Nvec_vc1.1_XM_032380670.2	cluster_2	240	1924	Dnajb2	""	""	DnaJ	""
Nvec_vc1.1_XM_001630781.3	cluster_2	241	1221	""	""	""	""	""
Nvec_vc1.1_XM_001633995.3	cluster_2	242	5512	Irx6	""	Homeodomains.HG3.22:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX	Homeobox_KN	tfs
Nvec_vc1.1_XM_001647478.3	cluster_2	243	2930	Socs4/Socs5	""	""	SH2/SOCS_box	""
Nvec_NVE12432	cluster_2	244	1295	""	""	""	""	""
Nvec_vc1.1_XM_032373624.2	cluster_2	245	2727	Nfe2l2/Nfe2l3/Bach2/Nfe2l1/Nfe2/Bach1	""	bZIP.HG1.2:BACH1/BACH2/NFE2/NFE2L1/NFE2L2/NFE2L3	bZIP_Maf	tfs
Nvec_vc1.1_XM_001630739.3	cluster_2	246	1055	""	""	""	GST_C_3	""
Nvec_vc1.1_XM_048728110.1	cluster_2	247	1768	Mblac2	""	""	Lactamase_B	""
Nvec_vc1.1_XM_001632619.3	cluster_2	248	3266	Glul	""	""	Gln-synt_N/Gln-synt_C	""
Nvec_vc1.1_XM_001627953.3	cluster_2	249	1404	Idi1/Idi2/Idi2l	""	""	NUDIX	""
Nvec_vc1.1_XM_032369434.2	cluster_2	250	2470	Jazf1	""	""	""	""
Nvec_vc1.1_XM_001638847.3	cluster_2	251	1798	B9d2	""	""	B9-C2	""
Nvec_vc1.1_XM_032385528.2	cluster_2	252	1121	""	""	""	CSRNP_N/CSRNP_N	""
Nvec_vc1.1_XM_001633762.3	cluster_2	253	4791	""	""	HMGbox_Sox.HG1.37:like:SSRP1	HMG_box/HMG_box	tfs
Nvec_NVE2086	cluster_2	254	2222	""	""	""	""	""
Nvec_vc1.1_XM_001636882.3	cluster_2	255	1205	Arl4d/Arl4a/Arl4c	""	""	Arf	""
Nvec_vc1.1_XM_032364470.2	cluster_2	256	1398	Liat1	""	""	""	""
Nvec_v1g240931	cluster_2	257	929	Mzt2	""	""	MOZART2	""
Nvec_vc1.1_XM_001641779.2	cluster_2	258	896	""	""	""	""	""
Nvec_vc1.1_XM_001626573.3	cluster_2	259	1652	Cimip1	""	""	LLC1	""
Nvec_vc1.1_XM_001624077.3	cluster_2	260	1055	""	""	""	zf-CCCH_4	""
Nvec_vc1.1_XM_001633907.3	cluster_2	261	1762	Cyp11b2/Cyp11a1/Cyp27b1/Cyp11b1/Cyp24a1/Cyp27a1	""	""	p450	""
Nvec_vc1.1_XM_001638536.3	cluster_2	262	2661	Csnk1a1	""	""	Pkinase	""
Nvec_vc1.1_XM_001626666.3	cluster_2	263	2000	Cfap97	""	""	KIAA1430	""
Nvec_vc1.1_XM_032372114.2	cluster_2	264	1963	Atf4/Atf5	""	bZIP.HG1.8:ATF4/ATF5	bZIP_1	tfs
Nvec_vc1.1_XM_048733383.1	cluster_2	265	3801	""	""	""	Mab-21	""
